"Location","Capacity","28-Jun-08","29-Jun-08","30-Jun-08","","Avg Population"
"Mississippi State Penitentiary","4,527","4,207","4,206","4,213","","4,201"
"Central Mississippi Correctional Facility","3,665","3,789","3,788","3,772","","3,737"
"South Mississippi Correctional Institution","3,204","3,137","3,135","3,134","","3,131"
"County Jails","1,645","1,958","1,958","1,972","","1,965"
"COMMUNITY WORK CENTERS","1,848","1,749","1,746","1,794","","1,773"
"Alcorn Satellite Facility","92","83","83","92","","89"
"Bolivar Satellite Facility","102","98","98","100","","98"
"Forrest Satellite Facility","96","93","93","95","","94"
"George Satellite Facility","102","96","96","98","","99"
"Harrison Satellite Facility","102","95","95","96","","99"
"Jackson Satellite Facility","102","98","98","101","","99"
"Jefferson Satellite Facility","102","100","100","102","","98"
"Leflore Satellite Facility","102","97","97","101","","99"
"Madison Satellite Facility","102","101","100","100","","100"
"Noxubee Satellite Facility","92","85","84","90","","87"
"Pike Satellite Facility","93","84","84","88","","89"
"Quitman Satellite Facility","93","88","88","89","","88"
"Rankin Satellite Facility","260","242","242","248","","246"
"Simpson Satellite Facility","102","98","98","99","","96"
"Washington Satellite Facility","102","96","96","98","","98"
"Wilkinson Satellite Facility","102","97","97","97","","98"
"Yazoo Satellite Facility","102","98","97","100","","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,084","3,084","3,082","","3,083"
"Bolivar County","294","294","294","294","","294"
"Carroll County","280","279","279","279","","280"
"George County","280","279","279","279","","280"
"Holmes County","280","280","280","280","","280"
"Issaquena County","274","275","275","274","","274"
"Jefferson County","280","278","278","278","","279"
"Kemper County","280","280","280","280","","280"
"Leake County","280","279","279","280","","280"
"Marion County","280","280","280","279","","279"
"Stone County","280","280","280","279","","280"
"Winston County","280","280","280","280","","280"
"PRIVATE PRISONS","4,972","4,810","4,808","4,810","","4,805"
"Delta","972","973","973","974","","970"
"East Mississippi","1,000","898","897","898","","896"
"Marshall County","1,000","999","999","1,000","","999"
"Tallahatchie County","0","0","0","0","","0"
"Walnut Grove","1,000","954","954","956","","954"
"Wilkinson County","1,000","986","985","982","","986"
"RESTITUTION CENTERS","16","12","12","12","","15"
"Greenwood","6","5","5","5","","5"
"Hinds","6","4","4","4","","6"
"Pascagoula","4","3","3","3","","3"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","115","171","9","","40"
"TOTALS","22,971","22,867","22,914","22,804","","22,756"
