"Location","Capacity","19-Jul-08","20-Jul-08","21-Jul-08","22-Jul-08","23-Jul-08","24-Jul-08","25-Jul-08","26-Jul-08","27-Jul-08"
"Mississippi State Penitentiary","4,527","4,191","4,192","4,183","4,178","4,177","4,199","4,206","4,203","4,202"
"Central Mississippi Correctional Facility","3,665","3,793","3,792","3,819","3,809","3,819","3,802","3,803","3,800","3,798"
"South Mississippi Correctional Institution","3,204","3,110","3,107","3,103","3,123","3,129","3,135","3,129","3,126","3,126"
"County Jails","1,711","1,996","1,996","1,990","1,983","1,987","2,006","1,986","1,986","1,986"
"COMMUNITY WORK CENTERS","1,848","1,755","1,752","1,773","1,777","1,779","1,790","1,756","1,755","1,754"
"Alcorn Satellite Facility","92","85","85","89","89","89","89","87","87","87"
"Bolivar Satellite Facility","102","97","97","100","99","99","99","96","96","96"
"Forrest Satellite Facility","96","90","90","91","94","92","96","94","94","94"
"George Satellite Facility","102","102","100","99","101","101","102","99","99","99"
"Harrison Satellite Facility","102","100","100","101","100","100","100","97","97","97"
"Jackson Satellite Facility","102","97","97","98","98","98","97","95","95","94"
"Jefferson Satellite Facility","102","97","97","100","99","99","98","102","102","102"
"Leflore Satellite Facility","102","96","96","97","96","99","99","94","94","94"
"Madison Satellite Facility","102","98","98","96","101","101","99","99","99","99"
"Noxubee Satellite Facility","92","91","91","91","91","91","90","89","89","89"
"Pike Satellite Facility","93","89","89","88","88","88","85","84","84","84"
"Quitman Satellite Facility","93","89","89","92","91","91","91","86","86","86"
"Rankin Satellite Facility","260","245","245","247","250","250","250","243","243","243"
"Simpson Satellite Facility","102","98","98","100","100","100","99","97","96","97"
"Washington Satellite Facility","102","91","91","94","94","94","94","94","94","93"
"Wilkinson Satellite Facility","102","94","94","95","92","92","100","99","99","99"
"Yazoo Satellite Facility","102","96","95","95","94","95","102","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,077","3,077","3,076","3,081","3,087","3,085","3,080","3,080","3,076"
"Bolivar County","294","293","293","293","294","294","293","291","291","291"
"Carroll County","280","280","280","280","280","280","280","279","279","279"
"George County","280","278","278","277","279","278","278","280","280","279"
"Holmes County","280","280","280","280","279","280","280","280","280","279"
"Issaquena County","274","272","272","271","273","275","275","273","273","273"
"Jefferson County","280","280","280","279","279","281","281","281","281","281"
"Kemper County","280","280","280","279","280","280","280","280","280","280"
"Leake County","280","278","278","280","280","280","280","278","278","278"
"Marion County","280","278","278","279","279","279","279","279","279","279"
"Stone County","280","279","279","280","280","280","279","279","279","279"
"Winston County","280","279","279","278","278","280","280","280","280","278"
"PRIVATE PRISONS","4,972","4,797","4,797","4,794","4,795","4,794","4,793","4,796","4,794","4,791"
"Delta","972","970","970","970","970","970","970","972","972","972"
"East Mississippi","1,000","885","885","883","883","884","883","883","882","882"
"Marshall County","1,000","1,000","1,000","1,000","998","999","999","1,001","1,000","998"
"Walnut Grove","1,000","951","951","951","953","949","949","947","947","946"
"Wilkinson County","1,000","991","991","990","991","992","992","993","993","993"
"RESTITUTION CENTERS","16","12","10","10","10","10","10","10","11","10"
"Greenwood","6","5","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","4","3"
"GOVERNOR'S MANSION","6","6","6","6","5","5","5","5","5","5"
"E-CODE","0","45","45","3","4","5","7","40","41","42"
"TOTALS","23,037","22,782","22,774","22,757","22,765","22,792","22,832","22,811","22,801","22,790"
