"Location","Capacity","1-Feb-11","2-Feb-11","3-Feb-11","4-Feb-11","5-Feb-11","6-Feb-11","7-Feb-11","8-Feb-11","9-Feb-11"
"Mississippi State Penitentiary","3,356","3,211","3,212","3,205","3,202","3,202","3,199","3,204","3,212","3,205"
"Central Mississippi Correctional Facility","3,449","3,170","3,160","3,155","3,166","3,168","3,165","3,161","3,187","3,161"
"South Mississippi Correctional Institution","3,204","3,172","3,183","3,181","3,176","3,175","3,173","3,176","3,174","3,178"
"County Jails","1,608","1,647","1,645","1,642","1,636","1,636","1,636","1,643","1,635","1,680"
"COMMUNITY WORK CENTERS","1,848","1,429","1,436","1,438","1,403","1,398","1,398","1,422","1,417","1,412"
"Alcorn Satellite Facility","92","67","68","68","65","63","63","65","65","65"
"Bolivar Satellite Facility","102","73","72","75","73","73","73","74","74","73"
"Forrest Satellite Facility","96","71","78","76","74","74","74","76","76","75"
"George Satellite Facility","102","84","88","88","87","86","86","86","85","84"
"Harrison Satellite Facility","102","72","72","72","66","66","66","71","71","71"
"Jackson Satellite Facility","102","79","79","80","77","77","77","80","80","80"
"Jefferson Satellite Facility","102","84","84","84","84","84","84","83","84","82"
"Leflore Satellite Facility","102","69","69","79","78","78","78","78","77","76"
"Madison Satellite Facility","102","86","85","84","83","83","83","84","83","81"
"Noxubee Satellite Facility","92","79","79","77","71","71","71","76","76","76"
"Pike Satellite Facility","93","66","66","66","65","65","65","66","66","69"
"Quitman Satellite Facility","93","82","83","70","69","68","68","68","67","67"
"Rankin Satellite Facility","260","194","192","190","188","188","188","189","188","189"
"Simpson Satellite Facility","102","87","86","88","86","86","86","88","88","88"
"Washington Satellite Facility","102","81","81","81","81","81","81","80","80","80"
"Wilkinson Satellite Facility","102","84","84","84","84","84","84","84","83","83"
"Yazoo Satellite Facility","102","71","70","76","72","71","71","74","74","73"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,003","3,014","3,015","3,012","3,010","3,007","3,015","3,015","3,020"
"Bolivar County","294","234","234","235","234","233","233","233","234","234"
"Carroll County","280","224","224","224","224","224","222","224","224","224"
"Chickasaw County","300","238","248","248","248","248","248","248","248","247"
"George County","280","220","219","222","222","222","222","224","224","224"
"Holmes County","280","224","224","224","223","223","223","224","223","223"
"Issaquena County","274","220","220","220","220","220","220","219","219","222"
"Jefferson County","280","224","224","224","224","224","224","224","223","224"
"Kemper County","355","283","283","283","283","283","283","283","283","284"
"Leake County","280","226","226","224","224","224","224","224","224","225"
"Marion County","280","224","224","224","224","223","223","226","225","225"
"Stone County","280","222","224","223","222","222","222","224","224","224"
"Winston County","280","224","224","224","224","224","223","223","224","224"
"Yazoo County","300","240","240","240","240","240","240","239","240","240"
"PRIVATE PRISONS","5,972","5,208","5,209","5,217","5,213","5,210","5,203","5,212","5,206","5,222"
"Delta","972","901","901","905","904","903","901","900","900","903"
"East Mississippi","1,500","1,357","1,358","1,358","1,354","1,353","1,353","1,359","1,359","1,362"
"Marshall County","1,000","921","921","921","925","925","923","922","921","921"
"Walnut Grove","1,500","1,141","1,142","1,146","1,143","1,143","1,141","1,145","1,142","1,151"
"Wilkinson County","1,000","888","887","887","887","886","885","886","884","885"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","8","9","10","41","39","38","6","6","7"
"TOTALS","23,222","20,863","20,883","20,878","20,864","20,853","20,834","20,854","20,867","20,900"
