"Location","Capacity","1-Oct-09","2-Oct-09","3-Oct-09","4-Oct-09","5-Oct-09","6-Oct-09","7-Oct-09","8-Oct-09","9-Oct-09"
"Mississippi State Penitentiary","4,435","3,935","3,939","3,937","3,936","3,934","3,934","3,939","3,942","3,943"
"Central Mississippi Correctional Facility","3,665","3,307","3,266","3,265","3,264","3,279","3,289","3,292","3,318","3,273"
"South Mississippi Correctional Institution","3,204","2,715","2,728","2,725","2,725","2,727","2,731","2,738","2,735","2,722"
"County Jails","1,487","1,558","1,580","1,580","1,580","1,596","1,612","1,621","1,598","1,606"
"COMMUNITY WORK CENTERS","1,848","1,484","1,456","1,454","1,454","1,502","1,496","1,475","1,474","1,464"
"Alcorn Satellite Facility","92","61","56","56","56","61","61","61","61","59"
"Bolivar Satellite Facility","102","73","72","72","72","73","72","73","73","68"
"Forrest Satellite Facility","96","70","67","67","67","73","73","73","75","73"
"George Satellite Facility","102","81","88","87","87","87","86","84","84","84"
"Harrison Satellite Facility","102","76","74","74","74","76","73","71","69","68"
"Jackson Satellite Facility","102","83","80","80","80","82","81","80","79","79"
"Jefferson Satellite Facility","102","79","75","75","75","79","79","79","79","76"
"Leflore Satellite Facility","102","63","54","54","54","60","60","59","59","58"
"Madison Satellite Facility","102","80","92","92","92","93","92","91","91","87"
"Noxubee Satellite Facility","92","73","72","72","72","74","74","73","73","80"
"Pike Satellite Facility","93","87","85","85","85","90","87","85","87","83"
"Quitman Satellite Facility","93","88","85","85","85","89","89","89","89","89"
"Rankin Satellite Facility","260","233","233","233","233","234","234","230","228","233"
"Simpson Satellite Facility","102","92","91","91","91","92","93","89","89","85"
"Washington Satellite Facility","102","71","65","65","65","70","69","68","68","67"
"Wilkinson Satellite Facility","102","84","81","81","81","83","86","84","84","89"
"Yazoo Satellite Facility","102","90","86","85","85","86","87","86","86","86"
"REGIONAL CORRECTIONAL FACILITIES","3,163","3,005","3,005","3,000","2,998","3,003","3,003","3,004","3,008","3,012"
"Bolivar County","294","280","280","279","279","280","280","280","281","280"
"Carroll County","280","265","265","264","264","264","264","266","266","265"
"George County","280","263","262","262","262","264","265","265","265","266"
"Holmes County","280","266","267","266","266","266","266","266","266","265"
"Issaquena County","274","260","260","260","260","260","259","260","260","261"
"Jefferson County","280","266","266","266","266","266","265","266","266","266"
"Kemper County","355","341","341","341","341","341","341","340","341","341"
"Leake County","280","267","267","267","267","267","267","266","265","267"
"Marion County","280","265","266","266","266","266","266","266","266","266"
"Stone County","280","266","266","265","263","264","264","266","266","266"
"Winston County","280","266","265","264","264","265","266","263","266","269"
"PRIVATE PRISONS","5,972","5,555","5,554","5,551","5,550","5,545","5,547","5,543","5,539","5,556"
"Delta","972","957","958","956","956","955","957","957","957","957"
"East Mississippi","1,500","1,359","1,358","1,358","1,358","1,358","1,362","1,359","1,356","1,358"
"Marshall County","1,000","983","983","982","982","979","978","983","982","983"
"Walnut Grove","1,500","1,279","1,279","1,279","1,278","1,279","1,277","1,270","1,267","1,283"
"Wilkinson County","1,000","977","976","976","976","974","973","974","977","975"
"RESTITUTION CENTERS","16","10","9","9","9","10","10","10","10","12"
"Greenwood","6","5","4","4","4","5","5","5","5","6"
"Hinds","6","3","3","3","3","3","3","3","3","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","8","56","56","56","9","9","11","11","32"
"TOTALS","23,796","21,583","21,599","21,583","21,578","21,611","21,637","21,639","21,641","21,626"
"","","1-Oct-09","2-Oct-09","3-Oct-09","4-Oct-09","5-Oct-09","6-Oct-09","7-Oct-09","8-Oct-09","9-Oct-09"
