"Location","Capacity","10-Aug-07","11-Aug-07","12-Aug-07","13-Aug-07","14-Aug-07","15-Aug-07","16-Aug-07","17-Aug-07","18-Aug-07"
"Mississippi State Penitentiary","4,527","4,473","4,470","4,469","4,466","4,477","4,483","4,467","4,479","4,474"
"Central Mississippi Correctional Facility","3,425","3,457","3,453","3,453","3,470","3,457","3,475","3,465","3,443","3,442"
"South Mississippi Correctional Institution","2,884","2,656","2,655","2,656","2,656","2,669","2,673","2,684","2,661","2,657"
"County Jails","1,787","1,772","1,771","1,772","1,774","1,767","1,757","1,764","1,773","1,773"
"COMMUNITY WORK CENTERS","1,816","1,764","1,761","1,760","1,778","1,777","1,772","1,773","1,772","1,770"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","91","88","88"
"Bolivar Satellite Facility","102","102","102","102","102","102","102","101","100","100"
"Forrest Satellite Facility","96","94","94","94","95","94","94","94","95","95"
"George Satellite Facility","102","100","99","99","97","98","98","98","99","99"
"Harrison Satellite Facility","102","101","101","101","102","102","102","102","101","101"
"Jackson Satellite Facility","102","97","97","97","99","99","99","101","98","98"
"Jefferson Satellite Facility","102","98","98","97","100","98","99","99","101","101"
"Leflore Satellite Facility","102","99","99","99","102","102","102","102","102","102"
"Madison Satellite Facility","102","101","101","101","100","100","100","101","101","101"
"Noxubee Satellite Facility","92","90","90","90","91","91","90","90","90","90"
"Pike Satellite Facility","93","86","86","86","88","88","88","88","91","90"
"Quitman Satellite Facility","93","91","91","91","92","91","92","91","89","88"
"Rankin Satellite Facility","228","216","215","215","218","219","219","220","216","216"
"Simpson Satellite Facility","102","101","101","101","101","98","98","98","100","100"
"Washington Satellite Facility","102","100","100","100","102","102","100","100","99","99"
"Wilkinson Satellite Facility","102","99","99","99","100","100","97","97","101","101"
"Yazoo Satellite Facility","102","97","96","96","97","101","100","100","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,075","3,072","3,072","3,076","3,081","3,081","3,079","3,076","3,076"
"Bolivar County","294","294","294","294","293","294","294","294","294","294"
"Carroll County","280","280","280","280","280","280","280","279","278","278"
"George County","280","278","278","278","278","280","280","280","280","280"
"Holmes County","280","278","278","278","280","280","280","280","280","280"
"Issaquena County","274","273","272","272","274","274","274","274","275","275"
"Jefferson County","274","274","274","274","274","274","274","274","274","274"
"Kemper County","280","280","280","280","280","280","280","278","278","278"
"Leake County","280","280","280","280","280","280","280","280","278","278"
"Marion County","280","279","278","278","278","280","280","280","279","279"
"Stone County","280","280","279","279","280","280","280","280","280","280"
"Winston County","280","279","279","279","279","279","279","280","280","280"
"PRIVATE PRISONS","4,972","4,774","4,771","4,770","4,776","4,774","4,773","4,786","4,777","4,774"
"Delta","972","970","969","969","970","972","971","971","968","967"
"East Mississippi","1,000","886","885","885","883","886","885","886","886","886"
"Marshall County","1,000","995","995","995","995","994","993","994","994","993"
"Tallahatchie County","0","1","1","1","0","0","0","0","0","0"
"Walnut Grove","1,000","943","943","943","945","942","944","950","941","941"
"Wilkinson County","1,000","979","978","977","983","980","980","985","988","987"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","4","4","4","4","4","4","5","5","5"
"E-CODE","","36","37","36","13","14","8","6","32","31"
"TOTALS","22,515","22,024","22,007","22,005","22,026","22,033","22,039","22,042","22,031","22,015"
"","","10-Aug-07","11-Aug-07","12-Aug-07","13-Aug-07","14-Aug-07","15-Aug-07","16-Aug-07","17-Aug-07","18-Aug-07"
