"Location","Capacity","28-Aug-07","29-Aug-07","30-Aug-07","31-Aug-07","","Avg Population"
"Mississippi State Penitentiary","4,527","4,463","4,463","4,455","4,461","","4,473"
"Central Mississippi Correctional Facility","3,425","3,401","3,403","3,409","3,380","","3,436"
"South Mississippi Correctional Institution","2,884","2,756","2,778","2,781","2,758","","2,685"
"County Jails","1,787","1,758","1,747","1,768","1,800","","1,776"
"COMMUNITY WORK CENTERS","1,816","1,778","1,770","1,776","1,765","","1,765"
"Alcorn Satellite Facility","92","92","92","92","92","","91"
"Bolivar Satellite Facility","102","99","99","102","97","","100"
"Forrest Satellite Facility","96","89","89","88","90","","93"
"George Satellite Facility","102","101","101","101","102","","99"
"Harrison Satellite Facility","102","102","102","102","101","","101"
"Jackson Satellite Facility","102","102","102","102","99","","100"
"Jefferson Satellite Facility","102","101","101","101","97","","99"
"Leflore Satellite Facility","102","99","98","99","100","","101"
"Madison Satellite Facility","102","102","102","102","100","","100"
"Noxubee Satellite Facility","92","90","92","92","92","","89"
"Pike Satellite Facility","93","92","91","90","91","","89"
"Quitman Satellite Facility","93","89","88","87","91","","89"
"Rankin Satellite Facility","228","217","216","217","215","","217"
"Simpson Satellite Facility","102","102","102","102","102","","101"
"Washington Satellite Facility","102","99","97","101","100","","100"
"Wilkinson Satellite Facility","102","102","96","96","95","","98"
"Yazoo Satellite Facility","102","100","102","102","101","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,076","3,068","3,071","3,077","","3,073"
"Bolivar County","294","293","292","293","293","","293"
"Carroll County","280","280","280","280","280","","280"
"George County","280","280","277","277","279","","279"
"Holmes County","280","280","280","280","280","","280"
"Issaquena County","274","273","274","274","274","","273"
"Jefferson County","274","273","273","271","273","","273"
"Kemper County","280","280","279","279","279","","279"
"Leake County","280","280","280","280","280","","279"
"Marion County","280","279","278","279","280","","279"
"Stone County","280","278","277","280","280","","279"
"Winston County","280","280","278","278","279","","279"
"PRIVATE PRISONS","4,972","4,774","4,781","4,787","4,786","","4,777"
"Delta","972","969","971","971","972","","970"
"East Mississippi","1,000","887","887","887","891","","887"
"Marshall County","1,000","995","994","994","994","","994"
"Tallahatchie County","0","0","0","0","0","","0"
"Walnut Grove","1,000","942","943","941","938","","941"
"Wilkinson County","1,000","981","986","994","991","","985"
"RESTITUTION CENTERS","16","13","13","13","13","","13"
"Greenwood","6","4","4","4","4","","4"
"Hinds","6","5","5","5","5","","5"
"Pascagoula","4","4","4","4","4","","4"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","","10","11","9","6","","22"
"TOTALS","22,515","22,034","22,039","22,074","22,051","","22,025"
