"Location","Capacity","1-Aug-10","2-Aug-10","3-Aug-10","4-Aug-10","5-Aug-10","6-Aug-10","7-Aug-10","8-Aug-10","9-Aug-10"
"Mississippi State Penitentiary","4,435","3,452","3,462","3,458","3,458","3,462","3,455","3,453","3,450","3,454"
"Central Mississippi Correctional Facility","3,449","3,255","3,250","3,263","3,251","3,247","3,241","3,239","3,239","3,247"
"South Mississippi Correctional Institution","3,204","3,160","3,169","3,170","3,171","3,170","3,166","3,165","3,164","3,163"
"County Jails","1,485","1,620","1,615","1,598","1,590","1,608","1,592","1,592","1,592","1,602"
"COMMUNITY WORK CENTERS","1,848","1,617","1,630","1,632","1,642","1,639","1,662","1,659","1,657","1,674"
"Alcorn Satellite Facility","92","75","75","75","76","76","82","80","80","82"
"Bolivar Satellite Facility","102","84","87","89","89","89","92","92","92","94"
"Forrest Satellite Facility","96","67","67","70","69","69","70","70","70","72"
"George Satellite Facility","102","96","96","96","98","97","96","96","96","100"
"Harrison Satellite Facility","102","85","85","85","89","87","87","87","87","86"
"Jackson Satellite Facility","102","94","96","94","94","94","93","93","93","94"
"Jefferson Satellite Facility","102","87","90","89","89","89","94","94","94","93"
"Leflore Satellite Facility","102","81","80","85","85","85","91","91","91","92"
"Madison Satellite Facility","102","93","91","91","91","90","95","95","95","95"
"Noxubee Satellite Facility","92","85","86","84","84","84","90","90","90","89"
"Pike Satellite Facility","93","91","92","92","92","92","91","90","90","91"
"Quitman Satellite Facility","93","93","92","91","91","91","74","74","74","75"
"Rankin Satellite Facility","260","229","227","226","228","227","231","231","232","232"
"Simpson Satellite Facility","102","92","97","97","97","100","98","98","98","100"
"Washington Satellite Facility","102","83","86","88","86","86","90","90","88","89"
"Wilkinson Satellite Facility","102","83","85","85","85","85","91","91","90","90"
"Yazoo Satellite Facility","102","99","98","95","99","98","97","97","97","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,518","2,521","2,520","2,522","2,524","2,517","2,516","2,514","2,521"
"Bolivar County","294","233","234","234","234","234","233","233","233","231"
"Carroll County","280","224","223","223","223","223","224","224","224","224"
"George County","280","224","224","224","224","224","223","223","223","224"
"Holmes County","280","224","224","222","224","224","222","221","220","224"
"Issaquena County","274","221","221","221","221","221","220","220","220","220"
"Jefferson County","280","224","224","224","224","224","224","224","224","224"
"Kemper County","355","277","277","277","277","277","273","273","273","276"
"Leake County","280","225","225","224","223","225","226","226","225","226"
"Marion County","280","219","221","223","224","224","224","224","224","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","223","224","224","224","224","224","224","224","224"
"PRIVATE PRISONS","5,972","5,296","5,292","5,300","5,308","5,321","5,319","5,318","5,314","5,312"
"Delta","972","897","899","901","902","905","904","903","901","900"
"East Mississippi","1,500","1,356","1,355","1,354","1,359","1,365","1,364","1,364","1,363","1,362"
"Marshall County","1,000","899","899","899","899","900","900","900","899","901"
"Walnut Grove","1,500","1,198","1,195","1,196","1,197","1,200","1,200","1,200","1,200","1,198"
"Wilkinson County","1,000","946","944","950","951","951","951","951","951","951"
"RESTITUTION CENTERS","16","11","10","10","10","10","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","4","4","4","4","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","30","11","14","14","7","28","27","28","11"
"TOTALS","23,578","20,965","20,966","20,971","20,972","20,994","20,997","20,986","20,975","21,001"
"","","1-Aug-10","2-Aug-10","3-Aug-10","4-Aug-10","5-Aug-10","6-Aug-10","7-Aug-10","8-Aug-10","9-Aug-10"
