"Location","Capacity","12-Jul-14","13-Jul-14","14-Jul-14","15-Jul-14","16-Jul-14","17-Jul-14","18-Jul-14","19-Jul-14","20-Jul-14","21-Jul-14"
"Mississippi State Penitentiary","4,648","3,342","3,342","3,356","3,366","3,369","3,367","3,366","3,366","3,367","3,355"
"Central Mississippi Correctional Facility","3,665","2,613","2,611","2,611","2,621","2,599","2,580","2,539","2,537","2,539","2,535"
"Youthful Offender Unit","42","44","44","44","44","44","44","43","43","43","42"
"South Mississippi Correctional Institution","3,282","3,174","3,174","3,179","3,175","3,166","3,173","3,199","3,199","3,195","3,202"
"County Jails","2,020","1,750","1,750","1,708","1,696","1,712","1,726","1,733","1,733","1,732","1,715"
"COMMUNITY WORK CENTERS","1,848","1,151","1,149","1,182","1,189","1,195","1,203","1,208","1,204","1,203","1,205"
"Alcorn Satellite Facility","92","90","88","88","87","87","87","87","87","87","86"
"Bolivar Satellite Facility","102","45","45","45","46","46","47","47","47","47","47"
"Forrest Satellite Facility","96","52","52","54","54","55","55","55","55","55","54"
"George Satellite Facility","102","59","59","60","64","64","64","65","65","65","60"
"Harrison Satellite Facility","102","55","55","56","56","56","56","55","55","55","59"
"Jackson Satellite Facility","102","47","47","49","48","48","48","49","49","49","50"
"Jefferson Satellite Facility","102","47","47","48","48","48","46","45","44","44","43"
"Leflore Satellite Facility","102","47","47","49","49","49","48","46","45","45","47"
"Madison Satellite Facility","102","65","65","70","70","69","75","75","75","75","73"
"Noxubee Satellite Facility","92","74","74","80","80","79","80","77","77","77","79"
"Pike Satellite Facility","93","80","80","81","81","84","87","86","86","86","86"
"Quitman Satellite Facility","93","63","63","63","69","70","72","73","72","72","74"
"Rankin Satellite Facility","260","194","194","197","197","199","196","205","204","204","203"
"Simpson Satellite Facility","102","95","95","101","101","101","101","101","101","101","102"
"Washington Satellite Facility","102","48","48","48","46","48","49","48","48","48","49"
"Wilkinson Satellite Facility","102","48","48","49","49","48","48","48","48","47","47"
"Yazoo Satellite Facility","102","42","42","44","44","44","44","46","46","46","46"
"REGIONAL CORRECTIONAL FACILITIES","4,560","4,419","4,419","4,414","4,401","4,411","4,421","4,421","4,420","4,420","4,417"
"Alcorn County","360","300","300","300","300","299","299","298","298","298","298"
"Bolivar County","369","368","368","366","365","364","367","369","369","369","369"
"Carroll County","280","279","279","279","278","278","279","279","278","278","277"
"Chickasaw County","362","300","300","299","299","299","300","300","300","300","298"
"George County","280","280","279","279","279","279","279","278","278","278","278"
"Holmes County","280","280","280","280","279","280","278","280","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","271","271","271","278","278","280","280","280","280","279"
"Kemper County","355","355","355","354","351","351","355","354","354","354","352"
"Leake County","280","278","279","279","273","280","280","276","276","276","274"
"Marion County","280","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","280","280","279","277","280","280","280","280","280","280"
"Washington County","300","297","297","297","294","298","298","300","300","300","299"
"Winston County","280","278","278","278","277","274","276","276","276","276","279"
"Yazoo County","300","299","299","299","297","297","296","297","297","297","300"
"PRIVATE PRISONS","5000","4279","4279","4282","4277","4272","4274","4274","4274","4273","4297"
"East Mississippi","1,500","1,197","1,197","1,201","1,202","1,201","1,201","1,201","1,201","1,201","1,199"
"Marshall County","1,000","1000","1,000","1000","1,000","999","999","999","999","999","999"
"Walnut Grove","1,500","1,253","1,253","1,252","1,249","1,247","1,250","1,249","1,249","1,249","1,276"
"Wilkinson County","1,000","829","829","829","826","825","824","825","825","824","823"
"RESTITUTION CENTERS","16","11","11","11","11","10","10","10","11","11","9"
"Greenwood","6","5","5","6","6","6","6","6","6","6","6"
"Hinds","6","5","5","4","4","3","3","3","4","4","2"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1"
"TOTALS","25,081","20,783","20,779","20,787","20,780","20,778","20,798","20,793","20,787","20,783","20,777"
