"Location","Capacity","10-Dec-10","11-Dec-10","12-Dec-10","13-Dec-10","14-Dec-10","15-Dec-10","16-Dec-10","17-Dec-10","18-Dec-10"
"Mississippi State Penitentiary","4,435","3,264","3,262","3,262","3,251","3,256","3,258","3,257","3,251","3,251"
"Central Mississippi Correctional Facility","3,449","3,165","3,163","3,164","3,182","3,196","3,204","3,223","3,212","3,213"
"South Mississippi Correctional Institution","3,204","3,181","3,180","3,176","3,173","3,177","3,170","3,171","3,177","3,177"
"County Jails","1,543","1,661","1,661","1,661","1,688","1,682","1,687","1,673","1,664","1,664"
"COMMUNITY WORK CENTERS","1,848","1,595","1,594","1,594","1,581","1,576","1,576","1,568","1,588","1,587"
"Alcorn Satellite Facility","92","81","81","81","80","81","81","81","81","81"
"Bolivar Satellite Facility","102","81","81","81","80","79","79","79","83","83"
"Forrest Satellite Facility","96","72","72","72","70","71","69","73","73","73"
"George Satellite Facility","102","86","86","86","85","85","86","86","86","86"
"Harrison Satellite Facility","102","76","76","76","76","76","76","75","75","75"
"Jackson Satellite Facility","102","84","84","84","83","83","85","85","85","85"
"Jefferson Satellite Facility","102","98","98","98","98","98","98","97","97","97"
"Leflore Satellite Facility","102","84","84","84","83","82","82","81","83","83"
"Madison Satellite Facility","102","102","102","102","102","100","100","100","101","101"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Pike Satellite Facility","93","90","90","90","90","92","92","86","86","86"
"Quitman Satellite Facility","93","62","62","62","63","65","64","64","67","67"
"Rankin Satellite Facility","260","220","219","219","215","213","213","213","217","217"
"Simpson Satellite Facility","102","100","100","100","100","99","99","98","101","101"
"Washington Satellite Facility","102","84","84","84","83","82","82","81","84","84"
"Wilkinson Satellite Facility","102","82","82","82","82","80","80","80","84","84"
"Yazoo Satellite Facility","102","101","101","101","99","98","98","97","93","92"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,008","3,006","3,005","3,005","3,010","3,010","3,006","3,004","3,003"
"Bolivar County","294","235","235","235","234","234","234","234","235","235"
"Carroll County","280","222","221","221","221","224","224","224","224","223"
"Chickasaw County","300","240","240","240","240","240","240","238","237","237"
"George County","280","224","224","223","224","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","218","218","218"
"Jefferson County","280","224","224","224","224","223","224","224","223","223"
"Kemper County","355","284","284","284","284","284","284","284","284","284"
"Leake County","280","226","225","225","225","225","225","225","225","225"
"Marion County","280","224","224","224","224","224","224","224","224","224"
"Stone County","280","222","222","222","223","224","224","224","223","223"
"Winston County","280","223","223","223","223","224","223","222","222","222"
"Yazoo County","300","241","241","241","240","241","241","241","241","241"
"PRIVATE PRISONS","5,972","5,252","5,251","5,248","5,239","5,239","5,248","5,241","5,242","5,242"
"Delta","972","902","902","902","901","900","900","899","900","900"
"East Mississippi","1,500","1,357","1,357","1,356","1,355","1,359","1,358","1,360","1,359","1,359"
"Marshall County","1,000","910","910","909","907","906","905","903","903","903"
"Walnut Grove","1,500","1,197","1,196","1,196","1,195","1,193","1,198","1,194","1,197","1,197"
"Wilkinson County","1,000","886","886","885","881","881","887","885","883","883"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","8","8","8"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","13","13","12","15","15","14","15","17","14"
"TOTALS","24,236","21,153","21,144","21,136","21,148","21,165","21,181","21,167","21,168","21,164"
