"Location","Capacity","18-Sep-18","19-Sep-18","20-Sep-18","21-Sep-18","22-Sep-18","23-Sep-18","24-Sep-18","25-Sep-18","26-Sep-18","27-Sep-18","28-Sep-18","29-Sep-18","30-Sep-18","Avg Population"
"Mississippi State Penitentiary","3,560","3,244","3,265","3,280","3,280","3,279","3,278","3,271","3,263","3,278","3,258","3,263","3,263","3,262","3,263"
"Central Mississippi Correctional Facility","4,129","3,895","3,886","3,859","3,852","3,854","3,854","3,833","3,820","3,768","3,769","3,788","3,787","3,784","3,831"
"Youthful Offender Unit","58","38","38","38","38","38","38","38","38","38","38","38","38","38","38"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,056","3,064","3,059","3,049","3,049","3,049","3,053","3,053","3,064","3,065","3,058","3,059","3,059","3,052"
"County Jails","1,791","1,296","1,282","1,297","1,286","1,286","1,286","1,284","1,298","1,299","1,315","1,297","1,297","1,297","1317"
"COMMUNITY WORK CENTERS","1,512","1,004","1,021","1,017","1,008","1,008","999","1,000","1,001","1,015","1,016","1,028","1,028","1,020","1014"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","77","77","76","76","76","76","76","75","75","75","75","76","76","77"
"Delta TVC","300","266","275","274","273","273","264","259","260","277","277","275","275","267","270"
"Forrest Satellite Facility","96","61","59","61","55","55","55","57","57","57","57","65","65","65","61"
"George Satellite Facility","102","71","72","72","72","72","72","72","72","72","72","69","69","69","70"
"Harrison Satellite Facility","102","49","50","51","51","51","51","52","52","52","52","53","53","53","51"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","66","66","65","68","68","68","68","68","68","68","66","66","66","66"
"Noxubee Satellite Facility","58","46","46","46","42","42","42","45","45","45","45","45","45","45","45"
"Pike Satellite Facility","93","69","76","75","74","74","74","73","72","72","72","72","71","71","71"
"Quitman Satellite Facility","93","50","51","51","51","51","51","51","54","54","54","53","53","53","52"
"Rankin Satellite Facility","178","146","146","145","142","142","142","145","145","145","145","156","156","156","144"
"Rankin RID","28","19","19","19","19","19","19","19","19","19","19","21","21","21","19"
