"Location","Capacity","1-Dec-09","2-Dec-09","3-Dec-09","4-Dec-09","5-Dec-09","6-Dec-09","7-Dec-09","8-Dec-09","9-Dec-09"
"Mississippi State Penitentiary","4,435","3,933","3,928","3,916","3,931","3,930","3,927","3,933","3,941","3,938"
"Central Mississippi Correctional Facility","3,665","3,196","3,195","3,202","3,189","3,191","3,190","3,190","3,202","3,229"
"South Mississippi Correctional Institution","3,204","2,782","2,812","2,808","2,802","2,801","2,800","2,822","2,850","2,881"
"County Jails","1,486","1,637","1,619","1,625","1,651","1,651","1,651","1,635","1,604","1,559"
"COMMUNITY WORK CENTERS","1,848","1,796","1,792","1,791","1,785","1,781","1,780","1,776","1,772","1,761"
"Alcorn Satellite Facility","92","89","89","89","88","89","89","89","88","88"
"Bolivar Satellite Facility","102","100","100","94","92","92","92","92","91","93"
"Forrest Satellite Facility","96","93","93","92","92","92","92","95","94","94"
"George Satellite Facility","102","101","101","102","101","100","100","98","98","98"
"Harrison Satellite Facility","102","100","100","99","99","99","99","96","96","94"
"Jackson Satellite Facility","102","101","100","99","98","98","98","97","97","95"
"Jefferson Satellite Facility","102","102","102","99","99","99","98","98","98","97"
"Leflore Satellite Facility","102","101","100","100","100","100","100","102","102","102"
"Madison Satellite Facility","102","102","101","100","102","101","102","102","102","101"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Pike Satellite Facility","93","87","86","86","87","87","87","84","84","84"
"Quitman Satellite Facility","93","80","83","93","93","93","93","92","93","92"
"Rankin Satellite Facility","260","253","253","251","251","251","251","251","251","251"
"Simpson Satellite Facility","102","99","98","98","100","98","98","98","97","96"
"Washington Satellite Facility","102","100","102","99","98","97","97","96","96","94"
"Wilkinson Satellite Facility","102","99","99","98","95","95","95","94","93","91"
"Yazoo Satellite Facility","102","97","93","100","98","98","97","100","100","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,787","2,803","2,815","2,822","2,821","2,821","2,821","2,816","2,816"
"Bolivar County","294","250","251","253","262","262","262","260","258","260"
"Carroll County","280","242","250","251","251","251","251","251","251","251"
"George County","280","248","247","247","250","250","250","249","248","248"
"Holmes County","280","241","248","251","251","251","251","251","250","249"
"Issaquena County","274","236","240","245","243","243","243","245","245","245"
"Jefferson County","280","250","249","248","250","250","250","251","251","251"
"Kemper County","355","316","316","317","317","317","317","317","317","317"
"Leake County","280","250","250","250","250","250","250","249","250","250"
"Marion County","280","256","254","254","251","251","251","251","250","249"
"Stone County","280","250","250","250","250","250","250","250","248","248"
"Winston County","280","248","248","249","247","246","246","247","248","248"
"PRIVATE PRISONS","5,972","5,321","5,308","5,303","5,296","5,293","5,292","5,288","5,284","5,290"
"Delta","972","905","905","900","899","899","899","896","896","898"
"East Mississippi","1,500","1,324","1,325","1,326","1,325","1,324","1,323","1,321","1,321","1,322"
"Marshall County","1,000","934","915","914","913","913","913","913","913","912"
"Walnut Grove","1,500","1,209","1,213","1,213","1,209","1,208","1,208","1,210","1,212","1,211"
"Wilkinson County","1,000","949","950","950","950","949","949","948","942","947"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","9","9","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","2","2","2","2","2","2","2","2","3"
"Pascagoula","4","2","2","2","2","2","2","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","11","9","9","9","10","11","11","10","11"
"TOTALS","23,795","21,479","21,482","21,485","21,501","21,494","21,488","21,491","21,494","21,501"
