"Location","Capacity","27-Jun-04","28-Jun-04","29-Jun-04","30-Jun-04"
"MS STATE PENITENTIARY    (See Note Below)","5,024","4,905","4,926","4,934","4,918"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,185","3,163","3,151","3,157"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,190","2,186","2,197","2,185"
"COUNTY JAILS","2,224","2,122","2,130","2,133","2,156"
"COMMUNITY WORK CENTERS","1,816","1,693","1,743","1,747","1,743"
"Alcorn Satellite Facility","92","89","90","90","91"
"Bolivar Satellite Facility","102","96","100","100","99"
"Forrest Satellite Facility","96","91","95","95","95"
"George Satellite Facility","102","95","101","101","100"
"Harrison Satellite Facility","102","93","95","101","101"
"Jackson Satellite Facility","102","98","98","97","95"
"Jefferson Satellite Facility","102","95","96","96","101"
"Leflore Satellite Facility","102","98","101","101","100"
"Madison Satellite Facility","102","100","100","101","100"
"Noxubee Satellite Facility","92","88","92","92","91"
"Pike Satellite Facility","93","68","72","72","72"
"Quitman Satellite Facility","93","82","82","83","83"
"Rankin Satellite Facility","228","213","217","217","215"
"Simpson Satellite Facility","102","100","102","99","98"
"Washington Satellite Facility","102","90","101","101","101"
"Wilkinson Satellite Facility","102","96","99","99","99"
"Yazoo Satellite Facility","102","101","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,746","2,744","2,741"
"Bolivar County","250","250","250","250","249"
"Carroll County","250","250","250","250","250"
"George County","250","250","249","249","249"
"Holmes County","250","250","250","250","250"
"Issaquena County","250","250","249","247","248"
"Jefferson County","250","250","250","250","249"
"Kemper County","250","249","250","250","249"
"Leake County","250","248","249","249","249"
"Marion County","250","249","250","250","250"
"Stone County","250","250","249","249","248"
"Winston County","250","250","250","250","250"
"PRIVATE PRISONS","4,950","4,401","4,399","4,404","4,397"
"Delta       (Reopened 04-01-04)","950","948","947","947","950"
"East MS","1,000","728","728","727","725"
"Marshall County","1,000","994","994","994","993"
"Walnut Grove                        (See Note Below)","1,000","736","735","742","737"
"Wilkinson County","1,000","995","995","994","992"
"RESITITUTION CENTERS","24","16","16","16","16"
"Greenwood","6","6","6","6","6"
"Hinds","12","6","6","6","6"
"Pascagoula","6","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","48","6","6","7"
"TOTALS","22,241","21,311","21,320","21,337","21,325"
