"Location","Capacity","19-Mar-09","20-Mar-09","21-Mar-09","22-Mar-09","23-Mar-09","24-Mar-09","25-Mar-09","26-Mar-09","27-Mar-09"
"Mississippi State Penitentiary","4,627","4,113","4,111","4,108","4,105","4,096","4,086","4,088","4,082","4,098"
"Central Mississippi Correctional Facility","3,665","3,561","3,554","3,552","3,553","3,542","3,538","3,559","3,535","3,541"
"South Mississippi Correctional Institution","3,204","3,092","3,074","3,075","3,072","3,081","3,091","3,097","3,096","3,095"
"County Jails","1,777","1,661","1,691","1,691","1,691","1,706","1,712","1,701","1,715","1,726"
"COMMUNITY WORK CENTERS","1,848","1,770","1,710","1,707","1,705","1,752","1,759","1,765","1,775","1,730"
"Alcorn Satellite Facility","92","90","86","86","86","89","89","88","88","88"
"Bolivar Satellite Facility","102","98","93","93","93","98","97","97","94","90"
"Forrest Satellite Facility","96","93","89","89","89","91","91","91","91","86"
"George Satellite Facility","102","102","102","102","102","101","101","101","101","99"
"Harrison Satellite Facility","102","100","97","97","97","98","99","98","97","97"
"Jackson Satellite Facility","102","99","93","93","93","98","98","102","101","99"
"Jefferson Satellite Facility","102","98","90","90","90","96","95","93","100","99"
"Leflore Satellite Facility","102","92","90","90","90","93","93","96","96","92"
"Madison Satellite Facility","102","100","98","98","98","99","99","97","96","93"
"Noxubee Satellite Facility","92","87","84","83","83","85","85","85","85","84"
"Pike Satellite Facility","93","87","83","82","82","85","87","87","85","83"
"Quitman Satellite Facility","93","86","78","78","78","83","83","84","84","73"
"Rankin Satellite Facility","260","252","247","247","247","255","254","254","255","254"
"Simpson Satellite Facility","102","97","96","95","94","95","95","102","102","101"
"Washington Satellite Facility","102","94","89","89","89","90","94","94","101","99"
"Wilkinson Satellite Facility","102","98","96","96","95","95","99","97","100","96"
"Yazoo Satellite Facility","102","97","99","99","99","101","100","99","99","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,921","2,919","2,917","2,917","2,922","2,931","2,929","2,929","2,924"
"Bolivar County","294","280","280","280","280","280","280","280","280","280"
"Carroll County","280","264","264","264","264","266","266","266","266","266"
"George County","280","265","264","264","264","264","265","266","266","266"
"Holmes County","280","265","267","267","267","266","266","266","266","266"
"Issaquena County","274","259","259","259","259","259","260","259","258","258"
"Jefferson County","280","265","265","264","264","264","265","265","265","261"
"Kemper County","280","266","265","264","264","266","266","266","266","266"
"Leake County","280","262","260","260","260","262","266","266","266","266"
"Marion County","280","265","265","265","265","266","266","266","266","266"
"Stone County","280","266","265","265","265","265","266","265","265","266"
"Winston County","280","264","265","265","265","264","265","264","265","263"
"PRIVATE PRISONS","5,972","5,437","5,433","5,431","5,430","5,435","5,434","5,439","5,440","5,455"
"Delta","972","950","951","951","950","952","954","954","953","955"
"East Mississippi","1,500","1,344","1,341","1,340","1,340","1,340","1,339","1,341","1,343","1,346"
"Marshall County","1,000","981","980","980","980","984","983","983","982","982"
"Walnut Grove","1,500","1,187","1,184","1,184","1,184","1,182","1,183","1,189","1,191","1,200"
"Wilkinson County","1,000","975","977","976","976","977","975","972","971","972"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","19","62","64","62","10","14","13","11","33"
"TOTALS","24,203","22,591","22,571","22,562","22,552","22,561","22,582","22,608","22,600","22,619"
