"Location","Capacity","1-Jul-05","2-Jul-05","3-Jul-05","4-Jul-05","5-Jul-05","6-Jul-05","7-Jul-05","8-Jul-05","9-Jul-05","10-Jul-05","11-Jul-05","12-Jul-05","13-Jul-05"
"Mississippi State Penitentiary","4,630","4,614","4,610","4,608","4,603","4,619","4,612","4,599","4,597","4,593","4,593","4,601","4,598","4,585"
"Central Mississippi Correctional Facility","3,233","3,166","3,161","3,160","3,158","3,153","3,116","3,118","3,138","3,134","3,134","3,118","3,107","3,104"
"South Mississippi Correctional Institution","2,226","2,172","2,171","2,169","2,169","2,175","2,187","2,186","2,180","2,181","2,181","2,179","2,198","2,197"
"County Jails","2,247","1,630","1,630","1,630","1,631","1,615","1,627","1,644","1,647","1,647","1,647","1,638","1,632","1,653"
"COMMUNITY WORK CENTERS","1,816","1,674","1,673","1,670","1,666","1,661","1,670","1,670","1,641","1,640","1,640","1,680","1,688","1,693"
"Alcorn Satellite Facility","92","89","89","88","88","88","91","91","84","84","85","91","91","91"
"Bolivar Satellite Facility","102","100","100","100","99","99","98","98","95","95","95","97","96","98"
"Forrest Satellite Facility","96","94","94","94","94","93","93","93","93","93","93","93","93","96"
"George Satellite Facility","102","93","92","92","92","91","89","88","90","90","89","89","88","88"
"Harrison Satellite Facility","102","94","94","93","93","92","94","94","94","94","94","93","95","94"
"Jackson Satellite Facility","102","96","96","96","96","96","96","95","94","94","94","94","94","95"
"Jefferson Satellite Facility","102","80","80","80","80","80","91","91","89","89","89","94","94","96"
"Leflore Satellite Facility","102","94","94","94","94","94","93","96","94","94","94","99","99","100"
"Madison Satellite Facility","102","94","94","94","94","94","97","96","98","98","98","102","102","102"
"Noxubee Satellite Facility","92","91","91","91","91","90","89","89","79","79","80","87","87","87"
"Pike Satellite Facility","93","84","84","84","84","84","84","84","84","84","84","84","85","85"
"Quitman Satellite Facility","93","71","71","71","70","70","70","74","71","70","69","70","70","70"
"Rankin Satellite Facility","228","210","210","210","209","209","209","205","202","202","202","203","208","207"
"Simpson Satellite Facility","102","94","94","94","94","93","91","90","90","90","90","90","90","89"
"Washington Satellite Facility","102","102","102","101","100","100","99","99","96","96","96","99","99","99"
"Wilkinson Satellite Facility","102","87","87","87","87","87","87","89","97","97","97","97","96","95"
"Yazoo Satellite Facility","102","101","101","101","101","101","99","98","91","91","91","98","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,834","2,743","2,741","2,741","2,741","2,742","2,743","2,743","2,739","2,739","2,737","2,740","2,742","2,746"
"Bolivar County","250","249","249","249","249","249","249","250","250","250","250","249","249","249"
"Carroll County","250","250","249","249","249","249","250","248","248","248","248","248","250","250"
"George County","250","249","249","249","249","249","250","250","250","250","250","250","250","250"
"Holmes County","250","249","249","249","249","246","248","249","249","249","249","249","250","250"
"Issaquena County","274","250","250","250","250","250","247","247","247","247","246","250","250","249"
"Jefferson County","250","250","250","250","250","250","249","249","249","249","249","249","248","249"
"Kemper County","250","249","249","249","249","250","250","250","250","250","250","248","248","250"
"Leake County","280","249","249","249","249","249","250","250","250","250","250","249","249","250"
"Marion County","250","250","250","250","250","250","250","250","248","248","248","248","248","249"
"Stone County","280","248","248","248","248","250","250","250","248","248","247","250","250","250"
"Winston County","250","250","249","249","249","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","5,100","4,838","4,838","4,837","4,835","4,834","4,835","4,835","4,829","4,825","4,825","4,840","4,845","4,854"
"Delta","972","960","960","960","959","959","957","966","965","964","964","970","970","972"
"East Mississippi","1,000","870","870","870","870","870","868","868","868","868","868","875","874","874"
"Marshall County","1,000","995","995","994","993","992","995","994","993","992","992","994","994","993"
"Tallahatchie County","128","127","127","127","127","127","127","126","125","125","125","126","126","126"
"Walnut Grove","1,000","899","899","899","899","899","901","897","894","892","892","892","900","900"
"Wilkinson County","1,000","987","987","987","987","987","987","984","984","984","984","983","981","989"
"RESTITUTION CENTERS","16","15","15","15","15","15","14","14","13","13","13","14","14","14"
"Greenwood","6","6","6","6","6","6","5","5","4","4","4","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","1","2","3","4","4","7","7","48","46","42","5","5","3"
"TOTALS","22,108","20,858","20,846","20,838","20,827","20,823","20,816","20,821","20,837","20,823","20,817","20,820","20,834","20,854"
"","","1-Jul-05","2-Jul-05","3-Jul-05","4-Jul-05","5-Jul-05","6-Jul-05","7-Jul-05","8-Jul-05","9-Jul-05","10-Jul-05","11-Jul-05","12-Jul-05","13-Jul-05"
