"Location","Capacity","10-Nov-06","11-Nov-06","12-Nov-06","13-Nov-06","14-Nov-06","15-Nov-06","16-Nov-06","17-Nov-06","18-Nov-06"
"Mississippi State Penitentiary","4,534","4,524","4,518","4,519","4,518","4,491","4,481","4,503","4,512","4,503"
"Central Mississippi Correctional Facility","3,381","3,375","3,376","3,374","3,376","3,370","3,393","3,384","3,391","3,389"
"South Mississippi Correctional Institution","2,395","2,240","2,236","2,235","2,235","2,250","2,267","2,268","2,255","2,256"
"County Jails","1,786","1,823","1,823","1,823","1,825","1,813","1,792","1,780","1,786","1,786"
"COMMUNITY WORK CENTERS","1,816","1,685","1,684","1,685","1,772","1,777","1,765","1,770","1,764","1,764"
"Alcorn Satellite Facility","92","83","83","83","92","92","91","91","91","90"
"Bolivar Satellite Facility","102","96","96","96","101","102","102","102","98","98"
"Forrest Satellite Facility","96","88","88","88","93","93","90","93","93","93"
"George Satellite Facility","102","98","98","98","102","102","102","101","102","102"
"Harrison Satellite Facility","102","94","94","94","99","101","102","101","102","102"
"Jackson Satellite Facility","102","96","96","96","101","100","99","100","99","99"
"Jefferson Satellite Facility","102","91","91","91","98","102","101","98","95","95"
"Leflore Satellite Facility","102","95","95","95","101","101","101","101","100","100"
"Madison Satellite Facility","102","99","99","99","100","97","97","102","102","102"
"Noxubee Satellite Facility","92","82","82","82","90","89","87","87","88","89"
"Pike Satellite Facility","93","85","85","85","86","85","84","84","84","84"
"Quitman Satellite Facility","93","85","84","84","91","91","90","89","91","91"
"Rankin Satellite Facility","228","211","211","211","219","220","218","218","219","219"
"Simpson Satellite Facility","102","94","94","95","98","101","101","101","101","101"
"Washington Satellite Facility","102","99","99","99","101","101","100","99","100","100"
"Wilkinson Satellite Facility","102","95","95","95","100","100","100","101","99","99"
"Yazoo Satellite Facility","102","94","94","94","100","100","100","102","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,071","3,071","3,070","3,069","3,077","3,071","3,074","3,076","3,072"
"Bolivar County","294","293","293","293","292","295","291","291","294","292"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"George County","280","280","280","280","280","280","280","280","277","276"
"Holmes County","280","280","280","280","280","280","279","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","273","273","273"
"Jefferson County","274","272","272","271","271","271","273","273","274","274"
"Kemper County","280","278","278","278","278","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","280","281","280"
"Marion County","280","279","279","279","279","279","276","279","279","279"
"Stone County","280","278","278","278","278","280","280","280","280","280"
"Winston County","280","277","277","277","277","278","278","278","278","278"
"PRIVATE PRISONS","5,100","4,858","4,854","4,852","4,848","4,857","4,865","4,858","4,866","4,861"
"Delta","972","968","968","968","967","969","971","971","970","967"
"East Mississippi","1,000","871","869","868","867","865","865","865","869","869"
"Marshall County","1,000","995","995","995","995","995","994","994","994","994"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","945","943","943","943","944","945","938","941","941"
"Wilkinson County","1,000","951","951","950","948","956","962","962","964","962"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","96","95","94","2","2","2","2","3","1"
"TOTALS","22,116","21,689","21,674","21,669","21,662","21,654","21,653","21,656","21,670","21,649"
"","","10-Nov-06","11-Nov-06","12-Nov-06","13-Nov-06","14-Nov-06","15-Nov-06","16-Nov-06","17-Nov-06","18-Nov-06"
