"Location","Capacity","10-Jul-07","11-Jul-07","12-Jul-07","13-Jul-07","14-Jul-07","15-Jul-07","16-Jul-07","17-Jul-07","18-Jul-07"
"Mississippi State Penitentiary","4,534","4,491","4,497","4,487","4,484","4,480","4,478","4,470","4,455","4,450"
"Central Mississippi Correctional Facility","3,425","3,369","3,390","3,415","3,417","3,413","3,412","3,420","3,430","3,455"
"South Mississippi Correctional Institution","2,784","2,616","2,612","2,625","2,604","2,604","2,603","2,612","2,621","2,619"
"County Jails","1,787","1,818","1,830","1,807","1,817","1,817","1,817","1,823","1,814","1,802"
"COMMUNITY WORK CENTERS","1,816","1,785","1,786","1,780","1,672","1,670","1,671","1,779","1,783","1,786"
"Alcorn Satellite Facility","92","92","92","92","82","82","82","92","92","92"
"Bolivar Satellite Facility","102","102","102","102","91","91","91","101","101","102"
"Forrest Satellite Facility","96","95","95","95","93","93","93","96","95","96"
"George Satellite Facility","102","100","101","98","89","89","89","98","102","101"
"Harrison Satellite Facility","102","101","102","101","94","94","94","100","99","101"
"Jackson Satellite Facility","102","101","101","102","92","92","93","102","102","102"
"Jefferson Satellite Facility","102","100","100","96","87","87","87","101","100","100"
"Leflore Satellite Facility","102","101","101","101","97","97","97","99","99","99"
"Madison Satellite Facility","102","102","102","102","97","97","97","100","102","101"
"Noxubee Satellite Facility","92","92","92","92","85","84","84","91","91","91"
"Pike Satellite Facility","93","90","87","86","87","86","86","89","90","90"
"Quitman Satellite Facility","93","86","86","89","83","83","83","89","91","90"
"Rankin Satellite Facility","228","224","223","223","210","210","210","219","219","219"
"Simpson Satellite Facility","102","99","102","101","98","98","98","101","101","101"
"Washington Satellite Facility","102","101","101","101","95","95","95","101","100","99"
"Wilkinson Satellite Facility","102","99","99","100","97","97","97","101","101","101"
"Yazoo Satellite Facility","102","100","100","99","95","95","95","99","98","101"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,069","3,071","3,063","3,065","3,061","3,059","3,061","3,064","3,051"
"Bolivar County","294","294","293","292","293","292","291","293","294","294"
"Carroll County","280","279","280","278","276","276","276","276","280","280"
"George County","280","273","276","275","275","274","274","272","270","274"
"Holmes County","280","280","279","279","277","276","276","276","275","279"
"Issaquena County","274","273","275","275","275","275","275","275","273","270"
"Jefferson County","274","274","274","273","273","273","273","274","274","270"
"Kemper County","280","280","280","278","279","279","279","280","280","279"
"Leake County","280","279","277","276","280","280","280","280","280","276"
"Marion County","280","279","279","279","280","280","280","280","279","276"
"Stone County","280","278","279","279","279","278","277","277","279","278"
"Winston County","280","280","279","279","278","278","278","278","280","275"
"PRIVATE PRISONS","5,100","4,894","4,882","4,889","4,883","4,883","4,881","4,875","4,880","4,895"
"Delta","972","970","968","969","964","964","964","962","959","969"
"East Mississippi","1,000","874","871","873","871","871","871","871","872","873"
"Marshall County","1,000","995","995","996","995","995","995","993","995","995"
"Tallahatchie County","128","128","128","127","127","127","127","128","128","128"
"Walnut Grove","1,000","952","948","951","953","953","951","951","954","953"
"Wilkinson County","1,000","975","972","973","973","973","973","970","972","977"
"RESTITUTION CENTERS","16","12","12","12","11","11","12","12","12","12"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","2","2","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","12","12","11","115","115","113","7","8","10"
"TOTALS","22,550","22,071","22,097","22,094","22,073","22,059","22,051","22,064","22,072","22,085"
