"Location","Capacity","14-Dec-05","15-Dec-05","16-Dec-05","17-Dec-05","18-Dec-05","19-Dec-05","20-Dec-05","21-Dec-05","22-Dec-05","23-Dec-05","24-Dec-05","25-Dec-05","26-Dec-05"
"Mississippi State Penitentiary","4,730","4,346","4,348","4,334","4,330","4,322","4,323","4,338","4,343","4,361","4,356","4,343","4,339","4,340"
"Central Mississippi Correctional Facility","3,233","3,148","3,100","3,099","3,098","3,097","3,087","3,120","3,146","3,139","3,140","3,139","3,139","3,136"
"South Mississippi Correctional Institution","2,306","2,165","2,171","2,187","2,186","2,186","2,169","2,143","2,154","2,158","2,156","2,151","2,150","2,150"
"County Jails","2,168","1,627","1,633","1,613","1,613","1,613","1,626","1,588","1,543","1,503","1,504","1,504","1,504","1,504"
"COMMUNITY WORK CENTERS","1,816","1,680","1,711","1,713","1,706","1,706","1,720","1,729","1,720","1,707","1,703","1,700","1,698","1,698"
"Alcorn Satellite Facility","92","85","90","90","90","90","90","91","91","91","91","91","91","91"
"Bolivar Satellite Facility","102","84","90","99","98","98","98","99","100","101","100","100","99","99"
"Forrest Satellite Facility","96","95","96","95","95","95","96","96","96","95","95","95","95","95"
"George Satellite Facility","102","101","100","100","99","100","100","102","101","101","100","100","100","100"
"Harrison Satellite Facility","102","102","102","102","102","102","101","101","101","101","101","101","101","101"
"Jackson Satellite Facility","102","101","102","100","100","99","99","101","101","100","100","100","100","100"
"Jefferson Satellite Facility","102","100","100","100","100","100","100","99","99","92","92","91","90","90"
"Leflore Satellite Facility","102","87","100","98","98","98","100","100","98","99","99","99","99","99"
"Madison Satellite Facility","102","102","102","101","101","101","99","102","101","100","100","100","100","100"
"Noxubee Satellite Facility","92","84","92","92","92","92","91","91","84","85","85","84","84","84"
"Pike Satellite Facility","93","67","67","67","65","65","66","67","73","77","77","77","77","77"
"Quitman Satellite Facility","93","75","75","76","76","76","76","78","79","76","75","75","75","75"
"Rankin Satellite Facility","228","227","228","228","227","227","226","225","222","223","222","222","222","222"
"Simpson Satellite Facility","102","101","99","99","98","99","99","99","100","97","97","96","96","96"
"Washington Satellite Facility","102","93","93","93","93","93","101","100","99","99","99","99","99","99"
"Wilkinson Satellite Facility","102","78","78","78","78","77","76","76","73","71","71","71","71","71"
"Yazoo Satellite Facility","102","98","97","95","94","94","102","102","102","99","99","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,025","3,023","3,024","3,023","3,023","3,015","3,014","3,019","3,025","3,016","3,016","3,016","3,014"
"Bolivar County","294","293","294","294","294","294","293","290","291","294","294","294","294","294"
"Carroll County","250","250","250","249","249","249","249","250","250","250","250","250","250","250"
"George County","280","280","279","279","279","279","277","277","277","281","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","280","279","278","277","277","277","277"
"Issaquena County","274","272","271","273","273","273","271","271","273","272","272","272","272","271"
"Jefferson County","250","250","250","250","249","249","249","250","250","250","250","250","250","249"
"Kemper County","280","280","280","280","280","280","278","278","280","280","278","278","278","278"
"Leake County","280","280","280","280","280","280","280","280","280","280","279","279","279","279"
"Marion County","280","280","280","280","280","280","279","278","279","280","278","278","278","278"
"Stone County","280","280","280","280","280","280","280","280","280","280","280","280","280","280"
"Winston County","280","280","279","279","279","279","279","280","280","280","278","278","278","278"
"PRIVATE PRISONS","5,100","4,796","4,798","4,802","4,800","4,797","4,789","4,783","4,783","4,786","4,779","4,776","4,774","4,772"
"Delta","972","972","970","970","970","969","969","968","971","970","969","967","967","967"
"East Mississippi","1,000","844","847","846","846","844","843","842","842","842","840","839","838","838"
"Marshall County","1,000","992","995","994","992","992","994","993","992","994","992","992","992","991"
"Tallahatchie County","128","128","128","127","127","127","126","126","125","125","125","125","125","125"
"Walnut Grove","1,000","923","917","925","925","925","920","920","919","922","921","921","921","920"
"Wilkinson County","1,000","937","941","940","940","940","937","934","934","933","932","932","931","931"
"RESTITUTION CENTERS","16","15","16","16","16","16","16","16","15","17","17","17","17","17"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","4","4","4","4","4","4"
"Pascagoula","4","6","7","7","7","7","7","7","7","9","9","9","9","9"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","7","8","9","7","9","8","8","8","5","5","5","4"
"TOTALS","22,403","20,813","20,812","20,801","20,786","20,772","20,759","20,744","20,736","20,709","20,681","20,656","20,647","20,640"
"","","14-Dec-05","15-Dec-05","16-Dec-05","17-Dec-05","18-Dec-05","19-Dec-05","20-Dec-05","21-Dec-05","22-Dec-05","23-Dec-05","24-Dec-05","25-Dec-05","26-Dec-05"
