"Location","Capacity","14-Nov-05","15-Nov-05","16-Nov-05","17-Nov-05","18-Nov-05","19-Nov-05","20-Nov-05","21-Nov-05","22-Nov-05","23-Nov-05","24-Nov-05","25-Nov-05","26-Nov-05"
"Mississippi State Penitentiary","4,730","4,381","4,386","4,380","4,386","4,381","4,372","4,367","4,387","4,361","4,357","4,354","4,349","4,347"
"Central Mississippi Correctional Facility","3,219","3,119","3,141","3,167","3,172","3,168","3,168","3,163","3,134","3,152","3,134","3,132","3,130","3,127"
"South Mississippi Correctional Institution","2,306","2,196","2,210","2,220","2,218","2,216","2,216","2,211","2,203","2,185","2,193","2,193","2,192","2,192"
"County Jails","2,192","1,713","1,669","1,676","1,681","1,669","1,669","1,669","1,673","1,683","1,671","1,671","1,672","1,672"
"COMMUNITY WORK CENTERS","1,816","1,630","1,623","1,616","1,615","1,612","1,611","1,611","1,616","1,603","1,620","1,612","1,610","1,606"
"Alcorn Satellite Facility","92","89","89","90","90","89","89","89","89","87","87","87","87","87"
"Bolivar Satellite Facility","102","83","82","81","81","81","81","81","81","81","83","82","82","82"
"Forrest Satellite Facility","96","94","94","94","94","94","94","94","96","93","90","90","89","89"
"George Satellite Facility","102","91","89","89","94","94","94","94","93","94","94","93","93","93"
"Harrison Satellite Facility","102","92","93","93","92","91","90","90","90","89","91","91","91","89"
"Jackson Satellite Facility","102","77","78","76","76","76","76","76","76","75","75","74","74","74"
"Jefferson Satellite Facility","102","77","77","77","77","76","76","76","76","76","91","90","89","88"
"Leflore Satellite Facility","102","99","96","95","88","88","88","88","88","87","86","83","83","83"
"Madison Satellite Facility","102","98","98","98","100","100","100","100","100","100","98","98","98","98"
"Noxubee Satellite Facility","92","90","89","88","89","89","89","89","92","91","92","92","92","91"
"Pike Satellite Facility","93","70","69","69","68","68","68","68","70","70","71","70","70","70"
"Quitman Satellite Facility","93","83","82","82","82","82","82","82","82","82","81","81","81","81"
"Rankin Satellite Facility","228","221","222","219","220","222","222","222","222","218","219","219","219","219"
"Simpson Satellite Facility","102","99","98","98","97","96","96","96","96","96","95","95","95","95"
"Washington Satellite Facility","102","88","88","88","88","87","87","87","86","86","89","89","89","89"
"Wilkinson Satellite Facility","102","85","85","85","83","83","83","83","83","83","83","83","83","83"
"Yazoo Satellite Facility","102","94","94","94","96","96","96","96","96","95","95","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,005","3,011","3,017","3,018","3,021","3,014","3,013","3,014","3,022","3,019","3,017","3,016","3,014"
"Bolivar County","294","289","289","294","294","294","293","293","294","293","293","293","293","293"
"Carroll County","250","247","250","249","248","248","247","246","246","250","246","246","246","246"
"George County","280","279","280","279","279","280","279","279","279","278","278","278","278","277"
"Holmes County","280","279","278","278","279","278","277","277","277","280","280","280","279","279"
"Issaquena County","274","270","269","273","271","271","270","270","270","273","274","273","273","273"
"Jefferson County","250","245","249","248","248","250","250","250","250","250","249","249","249","249"
"Kemper County","280","278","278","280","280","280","280","280","279","280","280","280","280","280"
"Leake County","280","279","279","280","279","280","280","280","280","280","280","279","279","279"
"Marion County","280","279","280","277","280","280","280","280","280","279","279","279","279","279"
"Stone County","280","280","280","280","280","280","279","279","280","280","280","280","280","279"
"Winston County","280","280","279","279","280","280","279","279","279","279","280","280","280","280"
"PRIVATE PRISONS","5,100","4,818","4,820","4,821","4,818","4,813","4,805","4,799","4,800","4,811","4,802","4,800","4,799","4,799"
"Delta","972","967","967","963","971","970","967","966","964","970","965","965","965","965"
"East Mississippi","1,000","856","857","856","855","855","853","853","852","852","851","850","850","850"
"Marshall County","1,000","995","995","995","994","994","991","990","989","991","990","990","990","990"
"Tallahatchie County","128","128","128","128","127","127","127","127","127","127","128","128","128","128"
"Walnut Grove","1,000","916","913","919","914","911","911","909","917","921","917","916","915","915"
"Wilkinson County","1,000","956","960","960","957","956","956","954","951","950","951","951","951","951"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","10","4","5","5","4","2","3","4","6","3","4","4","4"
"TOTALS","22,413","20,887","20,879","20,917","20,928","20,899","20,872","20,851","20,846","20,838","20,814","20,798","20,787","20,776"
