"Location","Capacity","14-May-04","15-May-04","16-May-04","17-May-04","18-May-04","19-May-04","20-May-04","21-May-04","22-May-04","23-May-04","24-May-04","25-May-04","26-May-04"
"MS STATE PENITENTIARY (See note at bottom)","5,396","5,202","5,201","5,201","5,198","5,141","5,159","5,108","5,116","5,115","5,114","5,106","5,081","5,082"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,131","3,132","3,130","3,127","3,144","3,134","3,143","3,129","3,128","3,128","3,138","3,133","3,156"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,169","2,167","2,167","2,182","2,182","2,176","2,192","2,191","2,192","2,192","2,190","2,192","2,185"
"COUNTY JAILS","2,224","2,150","2,150","2,150","2,144","2,136","2,133","2,118","2,149","2,149","2,149","2,160","2,181","2,181"
"COMMUNITY WORK CENTERS","1,816","1,664","1,665","1,665","1,734","1,743","1,741","1,739","1,665","1,665","1,662","1,748","1,751","1,746"
"Alcorn Satellite Facility","92","84","84","84","92","92","91","91","88","88","88","92","92","91"
"Bolivar Satellite Facility","102","96","96","96","97","101","102","102","94","94","93","102","102","101"
"Forrest Satellite Facility","96","86","86","86","95","95","95","94","94","94","94","96","96","96"
"George Satellite Facility","102","92","92","92","98","98","98","98","96","96","96","98","102","102"
"Harrison Satellite Facility","102","98","98","98","99","99","98","98","92","92","92","102","102","102"
"Jackson Satellite Facility","102","92","92","92","96","96","95","95","88","88","88","95","95","101"
"Jefferson Satellite Facility","102","95","95","95","99","100","98","98","93","93","92","100","100","100"
"Leflore Satellite Facility","102","96","96","96","102","102","101","101","91","91","91","100","100","100"
"Madison Satellite Facility","102","100","100","100","102","102","101","101","96","96","95","101","101","101"
"Noxubee Satellite Facility","92","89","89","89","91","92","92","92","89","89","89","92","92","89"
"Pike Satellite Facility","93","67","67","67","67","67","69","68","66","66","66","67","67","68"
"Quitman Satellite Facility","93","76","76","76","80","80","82","82","77","77","77","82","81","80"
"Rankin Satellite Facility","228","211","211","211","216","214","214","215","212","212","212","217","217","212"
"Simpson Satellite Facility","102","95","95","95","101","102","101","101","97","97","97","102","102","102"
"Washington Satellite Facility","102","93","94","94","100","100","100","100","97","97","97","100","100","100"
"Wilkinson Satellite Facility","102","96","96","96","97","101","102","101","99","99","99","100","100","100"
"Yazoo Satellite Facility","102","98","98","98","102","102","102","102","96","96","96","102","102","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,743","2,743","2,742","2,742","2,743","2,743","2,746","2,748","2,747","2,746","2,748","2,748","2,745"
"Bolivar County","250","249","249","249","249","250","250","250","250","250","250","250","250","250"
"Carroll County","250","249","249","248","250","249","249","250","250","250","250","250","248","246"
"George County","250","249","249","249","249","250","250","249","250","249","248","249","251","250"
"Holmes County","250","249","249","249","249","249","249","250","250","250","250","250","250","250"
"Issaquena County","250","249","249","249","247","249","247","247","250","250","250","250","250","250"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","250","250","249","250","250","249","249","249","249","249","250"
"Leake County","250","250","250","250","250","249","250","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","248","248","250","250","250","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","250","249","249","249","250","250","249"
"Winston County","250","248","248","248","248","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","4,700","3,986","3,984","3,983","3,983","4,029","4,029","4,069","4,074","4,070","4,070","4,071","4,116","4,122"
"Delta       (Reopened 04-01-04)","950","568","568","567","565","610","610","653","653","653","653","652","697","697"
"East MS","1,000","726","726","726","725","727","724","724","729","729","729","729","728","727"
"Marshall County","1,000","991","990","990","991","994","994","994","994","993","993","993","992","995"
"Walnut Grove","750","709","709","709","708","704","708","707","708","708","708","705","708","708"
"Wilkinson County","1,000","992","991","991","994","994","993","991","990","987","987","992","991","995"
"RESITITUTION CENTERS","24","15","15","15","15","15","15","15","15","15","15","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","74","73","73","5","8","0","7","91","92","92","6","5","4"
"TOTALS","22,363","21,139","21,135","21,131","21,135","21,146","21,135","21,142","21,183","21,178","21,173","21,188","21,228","21,242"
