"Location","Capacity","1-Nov-10","2-Nov-10","3-Nov-10","4-Nov-10","5-Nov-10","6-Nov-10","7-Nov-10","8-Nov-10","9-Nov-10"
"Mississippi State Penitentiary","4,435","3,272","3,275","3,266","3,261","3,263","3,262","3,261","3,254","3,252"
"Central Mississippi Correctional Facility","3,449","3,170","3,200","3,195","3,201","3,161","3,159","3,163","3,167","3,153"
"South Mississippi Correctional Institution","3,204","3,168","3,159","3,169","3,166","3,180","3,179","3,176","3,152","3,167"
"County Jails","1,539","1,584","1,573","1,588","1,605","1,613","1,613","1,613","1,603","1,618"
"COMMUNITY WORK CENTERS","1,848","1,525","1,525","1,517","1,517","1,542","1,536","1,536","1,547","1,561"
"Alcorn Satellite Facility","92","73","72","72","71","75","75","75","80","79"
"Bolivar Satellite Facility","102","81","81","82","82","81","80","80","80","80"
"Forrest Satellite Facility","96","73","73","76","75","75","75","75","75","75"
"George Satellite Facility","102","88","88","88","92","91","91","91","91","91"
"Harrison Satellite Facility","102","78","81","79","78","78","78","78","78","79"
"Jackson Satellite Facility","102","75","77","77","77","76","76","76","76","75"
"Jefferson Satellite Facility","102","88","88","88","86","86","86","86","86","86"
"Leflore Satellite Facility","102","78","78","77","75","82","82","82","82","81"
"Madison Satellite Facility","102","98","98","98","98","98","98","98","99","99"
"Noxubee Satellite Facility","92","81","80","79","79","82","82","82","83","88"
"Pike Satellite Facility","93","80","79","79","78","77","77","77","81","91"
"Quitman Satellite Facility","93","71","71","70","69","79","79","79","79","79"
"Rankin Satellite Facility","260","216","214","210","214","216","215","215","214","215"
"Simpson Satellite Facility","102","97","97","97","98","96","92","92","91","90"
"Washington Satellite Facility","102","79","79","79","79","79","79","79","78","78"
"Wilkinson Satellite Facility","102","70","70","70","69","75","75","75","78","78"
"Yazoo Satellite Facility","102","99","99","96","97","96","96","96","96","97"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,005","3,006","3,007","3,004","3,003","3,000","2,995","3,004","3,011"
"Bolivar County","294","235","235","235","235","234","234","234","234","234"
"Carroll County","280","225","225","226","226","226","226","226","225","225"
"Chickasaw County","300","240","240","240","240","240","240","240","239","239"
"George County","280","224","223","221","221","224","224","220","224","224"
"Holmes County","280","224","224","224","224","221","220","220","220","225"
"Issaquena County","274","216","218","217","219","219","218","217","218","219"
"Jefferson County","280","223","224","224","222","223","223","223","224","224"
"Kemper County","355","281","281","284","283","282","282","282","283","283"
"Leake County","280","225","225","225","224","224","224","224","224","225"
"Marion County","280","224","224","224","224","224","224","224","224","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","224","224","223","222","222","221","221","224","223"
"Yazoo County","300","240","239","240","240","240","240","240","241","242"
"PRIVATE PRISONS","5,972","5,277","5,273","5,262","5,258","5,248","5,248","5,245","5,242","5,234"
"Delta","972","901","901","904","902","900","900","899","900","900"
"East Mississippi","1,500","1,359","1,359","1,361","1,360","1,356","1,356","1,355","1,352","1,348"
"Marshall County","1,000","942","941","938","937","937","937","937","935","935"
"Walnut Grove","1,500","1,200","1,198","1,197","1,199","1,196","1,196","1,196","1,201","1,198"
"Wilkinson County","1,000","875","874","862","860","859","859","858","854","853"
"RESTITUTION CENTERS","16","11","11","10","10","10","10","10","10","10"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","7","11","7","7","20","20","21","6","7"
"TOTALS","24,232","21,024","21,038","21,026","21,034","21,045","21,032","21,025","20,990","21,018"
"","","1-Nov-10","2-Nov-10","3-Nov-10","4-Nov-10","5-Nov-10","6-Nov-10","7-Nov-10","8-Nov-10","9-Nov-10"
