"Location","Capacity 1-Mar-18","","2-Mar-18","3-Mar-18","4-Mar-18","5-Mar-18","6-Mar-18","7-Mar-18","8-Mar-18","9-Mar-18","10-Mar-18","11-Mar-18","12-Mar-18","13-Mar-18","14-Mar-18","15-Mar-18","16-Mar-18","17-Mar-18"
"Mississippi State Penitentiary","3,590","3,389","3,398","3,397","3,395","3,388","3,397","3,402","3,392","3,409","3,409","3,409","3,410","3,401","3,394","3,385","3,389","3,386"
"Central Mississippi Correctional Facility","3,830","3,387","3,383","3,387","3,383","3,394","3,424","3,437","3,472","3,422","3,420","3,420","3,455","3,488","3,467","3,494","3,445","3,443"
"Youthful Offender Unit","58","29","29","29","29","29","30","30","30","30","30","30","30","30","30","30","30","30"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,658","2,654","2,655","2,655","2,660","2,664","2,656","2,660","2,644","2,643","2,643","2,630","2,633","2,661","2,657","2,659","2,658"
"County Jails","1,781","1,274","1,297","1,297","1,297","1,300","1,300","1,337","1,334","1,309","1,309","1,309","1,371","1,323","1,320","1,334","1,342","1,342"
"COMMUNITY WORK CENTERS","1,188","783","779","779","778","783","787","778","772","791","790","789","794","748","774","773","787","784"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","61","60","60","60","60","65","64","64","61","61","61","62","62","61","61","58","58"
"George Satellite Facility","102","56","51","51","51","57","57","61","60","60","60","60","65","65","64","64","61","60"
"Harrison Satellite Facility","102","46","46","46","46","46","46","46","45","51","51","51","50","50","49","48","47","47"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","25","30","30","30","30","30","25","23","37","37","36","30","28","26","24","25","24"
