"Location","Capacity","19-Feb-10","20-Feb-10","21-Feb-10","22-Feb-10","23-Feb-10","24-Feb-10","25-Feb-10","26-Feb-10","27-Feb-10"
"Mississippi State Penitentiary","4,435","3,897","3,893","3,889","3,881","3,879","3,899","3,902","3,920","3,914"
"Central Mississippi Correctional Facility","3,665","3,243","3,242","3,241","3,269","3,306","3,364","3,378","3,364","3,359"
"South Mississippi Correctional Institution","3,204","3,100","3,097","3,097","3,099","3,106","3,105","3,091","3,082","3,079"
"County Jails","1,470","1,377","1,377","1,377","1,395","1,388","1,358","1,352","1,419","1,419"
"COMMUNITY WORK CENTERS","1,848","1,729","1,727","1,724","1,751","1,762","1,758","1,733","1,694","1,690"
"Alcorn Satellite Facility","92","89","89","89","88","92","91","88","80","80"
"Bolivar Satellite Facility","102","99","99","99","101","101","100","97","91","91"
"Forrest Satellite Facility","96","91","90","89","88","87","86","95","93","93"
"George Satellite Facility","102","97","98","98","101","99","102","99","100","100"
"Harrison Satellite Facility","102","97","96","96","98","98","98","101","97","97"
"Jackson Satellite Facility","102","98","98","98","102","102","102","95","98","98"
"Jefferson Satellite Facility","102","100","100","99","97","99","99","96","95","91"
"Leflore Satellite Facility","102","68","68","68","71","71","71","68","69","69"
"Madison Satellite Facility","102","98","98","98","100","99","99","96","93","93"
"Noxubee Satellite Facility","92","87","87","85","89","92","85","83","81","81"
"Pike Satellite Facility","93","88","87","87","90","90","93","93","92","92"
"Quitman Satellite Facility","93","88","87","87","91","92","92","91","91","91"
"Rankin Satellite Facility","260","235","236","236","236","237","237","233","226","226"
"Simpson Satellite Facility","102","99","99","99","100","99","99","101","101","101"
"Washington Satellite Facility","102","96","96","96","100","100","100","99","94","94"
"Wilkinson Satellite Facility","102","98","98","99","98","102","102","100","97","97"
"Yazoo Satellite Facility","102","101","101","101","101","102","102","98","96","96"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,717","2,715","2,714","2,699","2,673","2,652","2,576","2,529","2,527"
"Bolivar County","294","253","253","253","253","253","253","250","235","235"
"Carroll County","280","240","240","240","240","238","228","224","224","224"
"George County","280","242","242","242","241","236","232","230","227","227"
"Holmes County","280","242","241","241","241","241","241","223","224","224"
"Issaquena County","274","236","236","236","235","232","232","232","219","219"
"Jefferson County","280","243","242","241","235","235","233","224","223","222"
"Kemper County","355","304","304","304","298","296","296","284","285","285"
"Leake County","280","237","237","237","236","227","225","225","225","224"
"Marion County","280","241","241","241","241","241","240","222","220","220"
"Stone County","280","242","242","242","242","242","241","239","224","224"
"Winston County","280","237","237","237","237","232","231","223","223","223"
"PRIVATE PRISONS","5,972","5,214","5,211","5,210","5,210","5,218","5,212","5,231","5,206","5,203"
"Delta","972","900","900","900","900","903","901","901","899","898"
"East Mississippi","1,500","1,265","1,264","1,263","1,263","1,263","1,262","1,263","1,264","1,263"
"Marshall County","1,000","899","899","899","899","900","900","900","900","900"
"Walnut Grove","1,500","1,198","1,197","1,197","1,197","1,201","1,198","1,216","1,192","1,191"
"Wilkinson County","1,000","952","951","951","951","951","951","951","951","951"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","8","9","9"
"Greenwood","6","6","6","6","6","6","6","4","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","49","48","49","13","12","13","12","50","51"
"TOTALS","23,779","21,342","21,326","21,317","21,333","21,360","21,377","21,289","21,279","21,257"
"","","19-Feb-10","20-Feb-10","21-Feb-10","22-Feb-10","23-Feb-10","24-Feb-10","25-Feb-10","26-Feb-10","27-Feb-10"
