"Location","Capacity","1-Sep-02","2-Sep-02","3-Sep-02","4-Sep-02","5-Sep-02","6-Sep-02","7-Sep-02","8-Sep-02","9-Sep-02","10-Sep-02"
"MS STATE PENITENTIARY","5,551","5,094","5,091","5,111","5,095","5,127","5,132","5,130","5,126","5,177","5,233"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,930","2,931","2,929","2,923","2,901","2,864","2,865","2,866","2,858","2,837"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,006","2,006","1,999","2,000","1,992","2,015","2,015","2,014","1,999","1,998"
"COUNTY JAILS","2,113","1,938","1,940","1,921","1,951","1,941","1,954","1,954","1,954","1,973","2,009"
"COMMUNITY WORK CENTERS","1,350","1,299","1,299","1,287","1,290","1,289","1,248","1,247","1,247","1,301","1,303"
"Alcorn Satellite Facility","75","75","75","74","74","74","71","71","71","73","74"
"Bolivar Satellite Facility","75","71","71","70","70","69","62","62","62","73","73"
"Forrest Satellite Facility","75","75","75","74","74","74","72","72","72","73","75"
"George Satellite Facility","75","75","75","73","75","75","75","75","75","74","74"
"Harrison Satellite Facility","75","74","74","73","72","71","70","70","70","74","73"
"Jackson Satellite Facility","75","74","74","73","72","75","75","75","75","74","75"
"Jefferson Satellite Facility","75","75","75","75","75","75","75","75","74","73","73"
"Leflore Satellite Facility","75","70","70","71","73","73","71","71","71","72","72"
"Madison Satellite Facility","75","75","75","75","75","75","74","74","74","75","74"
"Noxubee Satellite Facility","75","72","72","73","71","71","66","66","66","71","70"
"Pike Satellite Facility","75","70","70","68","69","69","69","69","69","73","73"
"Quitman Satellite Facility","75","62","62","62","61","60","60","60","60","70","71"
"Rankin Satellite Facility","150","139","139","137","136","136","130","130","130","135","135"
"Simpson Satellite Facility","75","70","70","67","71","70","66","66","66","69","69"
"Washington Satellite Facility","75","72","72","72","72","72","66","66","66","72","72"
"Wilkinson Satellite Facility","75","75","75","75","75","75","73","73","73","75","75"
"Yazoo Satellite Facility","75","75","75","75","75","75","73","72","73","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,012","2,011","2,009","2,011","2,011","2,013","2,015","2,015","2,010","2,009"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","202","202","201","201","201","201","201","201","200","200"
"George County (opened on May 10th)","250","201","201","201","201","201","202","202","202","200","201"
"Holmes County","250","201","201","201","200","200","202","202","202","201","201"
"Issaquena County","250","201","201","200","201","201","200","200","200","200","200"
"Jefferson County","250","201","201","201","201","201","201","201","201","201","201"
"Kemper County","250","202","202","202","202","202","202","202","202","202","202"
"Leake County","250","199","199","202","202","202","202","202","202","202","202"
"Marion County","250","202","201","198","201","201","201","202","202","200","201"
"Stone County","250","202","202","202","201","201","201","202","202","203","200"
"Winston County","250","201","201","201","201","201","201","201","201","201","201"
"PRIVATE PRISONS","4,750","4,002","4,001","3,995","3,992","3,991","3,987","3,985","3,985","3,931","3,888"
"Delta","1,000","792","792","791","791","791","790","790","790","691","648"
"East MS","1,000","731","731","730","730","730","730","729","729","729","726"
"Marshall County","1,000","985","985","984","984","984","983","983","983","988","987"
"Walnut Grove","750","506","506","505","505","503","502","502","502","545","551"
"Wilkinson County","1,000","988","987","985","982","983","982","981","981","978","976"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","21,857","19,299","19,297","19,269","19,280","19,270","19,231","19,229","19,225","19,267","19,295"
