"Location","Capacity","28-Nov-07","29-Nov-07","30-Nov-07","","Avg Population"
"Mississippi State Penitentiary","4,527","4,325","4,297","4,296","","4,362"
"Central Mississippi Correctional Facility","3,515","3,480","3,485","3,499","","3,478"
"South Mississippi Correctional Institution","3,124","3,002","3,032","3,049","","3,002"
"County Jails","1,589","1,789","1,795","1,778","","1,773"
"COMMUNITY WORK CENTERS","1,848","1,816","1,816","1,820","","1,798"
"Alcorn Satellite Facility","92","91","91","92","","90"
"Bolivar Satellite Facility","102","102","102","102","","100"
"Forrest Satellite Facility","96","96","95","96","","95"
"George Satellite Facility","102","102","102","100","","101"
"Harrison Satellite Facility","102","100","100","100","","100"
"Jackson Satellite Facility","102","99","99","101","","99"
"Jefferson Satellite Facility","102","99","99","98","","99"
"Leflore Satellite Facility","102","102","102","101","","101"
"Madison Satellite Facility","102","101","101","101","","100"
"Noxubee Satellite Facility","92","92","91","91","","91"
"Pike Satellite Facility","93","93","93","92","","90"
"Quitman Satellite Facility","93","87","87","93","","89"
"Rankin Satellite Facility","260","251","253","253","","244"
"Simpson Satellite Facility","102","99","97","100","","100"
"Washington Satellite Facility","102","102","102","100","","101"
"Wilkinson Satellite Facility","102","101","101","101","","100"
"Yazoo Satellite Facility","102","99","101","99","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,083","3,078","3,079","","3,081"
"Bolivar County","294","293","292","291","","294"
"Carroll County","280","279","279","280","","280"
"George County","280","279","279","279","","279"
"Holmes County","280","280","280","280","","279"
"Issaquena County","274","273","271","273","","272"
"Jefferson County","280","280","280","280","","279"
"Kemper County","280","280","280","280","","280"
"Leake County","280","279","279","279","","280"
"Marion County","280","280","279","278","","279"
"Stone County","280","280","280","279","","279"
"Winston County","280","280","279","280","","280"
"PRIVATE PRISONS","4,972","4,793","4,801","4,804","","4,794"
"Delta","972","970","973","973","","971"
"East Mississippi","1,000","884","885","887","","888"
"Marshall County","1,000","997","1,000","998","","997"
"Tallahatchie County","0","0","0","0","","0"
"Walnut Grove","1,000","943","946","950","","943"
"Wilkinson County","1,000","999","997","996","","996"
"RESTITUTION CENTERS","16","12","12","12","","13"
"Greenwood","6","5","5","5","","5"
"Hinds","6","4","4","4","","5"
"Pascagoula","4","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","","5"
"E-CODE","0","10","14","11","","15"
"TOTALS","22,685","22,315","22,335","22,353","","22,321"
"","","28-Nov-07","29-Nov-07","30-Nov-07","",""
