"Location","Capacity","10-Oct-08","11-Oct-08","12-Oct-08","13-Oct-08","14-Oct-08","15-Oct-08","16-Oct-08","17-Oct-08","18-Oct-08"
"Mississippi State Penitentiary","4,627","4,010","4,007","4,004","4,022","4,025","3,993","4,013","4,019","4,013"
"Central Mississippi Correctional Facility","3,665","3,679","3,678","3,673","3,655","3,649","3,662","3,615","3,623","3,617"
"South Mississippi Correctional Institution","3,204","3,072","3,071","3,069","3,074","3,091","3,082","3,100","3,101","3,099"
"County Jails","1,808","2,173","2,173","2,173","2,160","2,154","2,133","2,137","2,120","2,120"
"COMMUNITY WORK CENTERS","1,848","1,770","1,768","1,768","1,811","1,812","1,820","1,817","1,770","1,767"
"Alcorn Satellite Facility","92","92","92","92","92","92","91","91","89","89"
"Bolivar Satellite Facility","102","95","95","95","100","100","100","100","98","98"
"Forrest Satellite Facility","96","94","94","94","96","96","96","96","96","96"
"George Satellite Facility","102","100","100","100","99","99","102","101","101","101"
"Harrison Satellite Facility","102","97","97","97","101","101","102","101","98","98"
"Jackson Satellite Facility","102","96","96","96","99","99","101","100","100","100"
"Jefferson Satellite Facility","102","101","101","101","102","102","101","101","96","96"
"Leflore Satellite Facility","102","96","97","97","102","102","102","101","89","88"
"Madison Satellite Facility","102","97","96","96","99","99","102","102","100","100"
"Noxubee Satellite Facility","92","88","88","88","89","89","89","92","88","88"
"Pike Satellite Facility","93","90","90","90","93","92","92","92","89","88"
"Quitman Satellite Facility","93","91","91","91","92","92","91","91","87","86"
"Rankin Satellite Facility","260","244","244","244","247","247","247","246","241","241"
"Simpson Satellite Facility","102","97","96","96","102","102","102","101","100","100"
"Washington Satellite Facility","102","99","99","99","100","102","102","102","101","101"
"Wilkinson Satellite Facility","102","99","98","98","97","97","99","99","99","99"
"Yazoo Satellite Facility","102","94","94","94","101","101","101","101","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,080","3,077","3,075","3,076","3,077","3,079","3,082","3,081","3,081"
"Bolivar County","294","294","294","294","294","293","293","293","292","292"
"Carroll County","280","280","280","280","278","278","277","277","280","280"
"George County","280","277","277","276","277","277","280","280","279","279"
"Holmes County","280","276","276","276","280","280","280","280","280","280"
"Issaquena County","274","275","274","273","273","274","273","273","274","274"
"Jefferson County","280","280","279","279","279","280","280","280","279","279"
"Kemper County","280","280","280","280","279","280","280","280","279","279"
"Leake County","280","279","279","279","279","278","279","281","281","281"
"Marion County","280","281","281","281","281","281","280","280","280","280"
"Stone County","280","278","277","277","278","278","277","278","277","277"
"Winston County","280","280","280","280","278","278","280","280","280","280"
"PRIVATE PRISONS","5,972","5,156","5,154","5,153","5,165","5,172","5,221","5,222","5,223","5,221"
"Delta","972","968","968","967","966","967","970","971","969","969"
"East Mississippi","1,500","995","994","994","995","993","1,041","1,040","1,040","1,040"
"Marshall County","1,000","1,000","999","999","998","1,000","999","999","999","999"
"Walnut Grove","1,500","1,199","1,199","1,199","1,208","1,213","1,212","1,214","1,218","1,218"
"Wilkinson County","1,000","994","994","994","998","999","999","998","997","995"
"RESTITUTION CENTERS","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","54","55","55","7","10","10","9","57","57"
"TOTALS","24,234","23,016","23,005","22,992","22,992","23,012","23,022","23,017","23,016","22,997"
"","","10-Oct-08","11-Oct-08","12-Oct-08","13-Oct-08","14-Oct-08","15-Oct-08","16-Oct-08","17-Oct-08","18-Oct-08"
