"Location","Capacity","28-Feb-10","","Avg Population"
"Mississippi State Penitentiary","4,435","3,908","","3,898"
"Central Mississippi Correctional Facility","3,665","3,359","","3,190"
"South Mississippi Correctional Institution","3,204","3,075","","3,090"
"County Jails","1,470","1,419","","1,468"
"COMMUNITY WORK CENTERS","1,848","1,691","","1,733"
"Alcorn Satellite Facility","92","80","","87"
"Bolivar Satellite Facility","102","91","","94"
"Forrest Satellite Facility","96","93","","92"
"George Satellite Facility","102","100","","94"
"Harrison Satellite Facility","102","97","","95"
"Jackson Satellite Facility","102","98","","98"
"Jefferson Satellite Facility","102","91","","97"
"Leflore Satellite Facility","102","69","","82"
"Madison Satellite Facility","102","93","","100"
"Noxubee Satellite Facility","92","81","","88"
"Pike Satellite Facility","93","92","","91"
"Quitman Satellite Facility","93","91","","91"
"Rankin Satellite Facility","260","226","","234"
"Simpson Satellite Facility","102","101","","99"
"Washington Satellite Facility","102","94","","94"
"Wilkinson Satellite Facility","102","98","","97"
"Yazoo Satellite Facility","102","96","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,526","","2,693"
"Bolivar County","294","235","","251"
"Carroll County","280","224","","238"
"George County","280","227","","239"
"Holmes County","280","224","","239"
"Issaquena County","274","219","","234"
"Jefferson County","280","222","","237"
"Kemper County","355","284","","303"
"Leake County","280","224","","237"
"Marion County","280","220","","239"
"Stone County","280","224","","239"
"Winston County","280","223","","237"
"PRIVATE PRISONS","5,972","5,203","","5,206"
"Delta","972","898","","899"
"East Mississippi","1,500","1,263","","1,262"
"Marshall County","1,000","900","","899"
"Walnut Grove","1,500","1,191","","1,197"
"Wilkinson County","1,000","951","","949"
"RESTITUTION CENTERS","16","9","","9"
"Greenwood","6","5","","6"
"Hinds","6","3","","2"
"Pascagoula","4","1","","1"
"GOVERNOR'S MANSION","6","6","","6"
"E-CODE","0","48","","30"
"TOTALS","23,779","21,244","","21,322"
"","","28-Feb-10","",""
