"Location","Capacity","28-Dec-10","29-Dec-10","30-Dec-10","","31-Dec-10 Avg Population"
"Mississippi State Penitentiary","4,435","3,270","3,277","3,267","3,265","3,257"
"Central Mississippi Correctional Facility","3,449","3,215","3,235","3,240","3,244","3,198"
"South Mississippi Correctional Institution","3,204","3,178","3,177","3,181","3,179","3,179"
"County Jails","1,543","1,628","1,608","1,612","1,612","1,645"
"COMMUNITY WORK CENTERS","1,848","1,523","1,530","1,528","1,526","1,560"
"Alcorn Satellite Facility","92","77","77","77","77","79"
"Bolivar Satellite Facility","102","80","81","81","81","82"
"Forrest Satellite Facility","96","71","75","74","73","72"
"George Satellite Facility","102","84","82","82","82","85"
"Harrison Satellite Facility","102","73","77","75","75","75"
"Jackson Satellite Facility","102","81","80","81","81","82"
"Jefferson Satellite Facility","102","90","92","92","92","95"
"Leflore Satellite Facility","102","79","79","78","78","82"
"Madison Satellite Facility","102","97","99","99","99","99"
"Noxubee Satellite Facility","92","90","90","90","90","88"
"Pike Satellite Facility","93","80","79","79","79","86"
"Quitman Satellite Facility","93","70","74","74","74","67"
"Rankin Satellite Facility","260","200","198","198","198","211"
"Simpson Satellite Facility","102","94","94","96","95","98"
"Washington Satellite Facility","102","88","88","87","87","85"
"Wilkinson Satellite Facility","102","84","84","84","84","81"
"Yazoo Satellite Facility","102","85","81","81","81","92"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,007","3,011","3,012","3,011","3,006"
"Bolivar County","294","234","235","235","235","234"
"Carroll County","280","222","224","224","224","223"
"Chickasaw County","300","238","238","237","237","238"
"George County","280","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224"
"Issaquena County","274","219","219","220","219","218"
"Jefferson County","280","223","223","224","224","224"
"Kemper County","355","284","284","285","285","284"
"Leake County","280","228","228","227","227","226"
"Marion County","280","224","224","224","224","224"
"Stone County","280","223","224","224","224","223"
"Winston County","280","223","224","224","224","223"
"Yazoo County","300","241","240","240","240","241"
"PRIVATE PRISONS","5,972","5,253","5,247","5,245","5,241","5,249"
"Delta","972","903","902","902","902","901"
"East Mississippi","1,500","1,363","1,361","1,358","1,356","1,360"
"Marshall County","1,000","900","900","899","899","906"
"Walnut Grove","1,500","1,201","1,198","1,200","1,199","1,197"
"Wilkinson County","1,000","886","886","886","885","885"
"RESTITUTION CENTERS","16","8","8","8","8","7"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","8","7","10","7","12"
"TOTALS","24,236","21,095","21,105","21,108","21,098","21,118"
"","","28-Dec-10","29-Dec-10","30-Dec-10","31-Dec-10",""
