"Location","Capacity","28-Jun-12","29-Jun-12","30-Jun-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,274","3,273","3,271","3,287"
"Central Mississippi Correctional Facility","3,665","3,234","3,212","3,214","3,195"
"South Mississippi Correctional Institution","3,282","3,193","3,190","3,191","3,182"
"County Jails","1,678","2,065","2,075","2,075","2,072"
"COMMUNITY WORK CENTERS","1,848","1,610","1,613","1,610","1,598"
"Alcorn Satellite Facility","92","91","91","91","91"
"Bolivar Satellite Facility","102","76","76","76","82"
"Forrest Satellite Facility","96","86","85","85","76"
"George Satellite Facility","102","90","89","89","90"
"Harrison Satellite Facility","102","78","80","80","81"
"Jackson Satellite Facility","102","76","75","74","79"
"Jefferson Satellite Facility","102","82","80","80","79"
"Leflore Satellite Facility","102","83","83","83","82"
"Madison Satellite Facility","102","96","99","98","93"
"Noxubee Satellite Facility","92","80","80","80","78"
"Pike Satellite Facility","93","92","93","93","92"
"Quitman Satellite Facility","93","89","89","88","90"
"Rankin Satellite Facility","260","238","239","239","233"
"Simpson Satellite Facility","102","99","99","99","99"
"Washington Satellite Facility","102","84","84","84","81"
"Wilkinson Satellite Facility","102","79","80","80","84"
"Yazoo Satellite Facility","102","91","91","91","88"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,347","4,352","4,350","4,335"
"Alcorn County","300","298","297","297","298"
"Bolivar County","369","369","369","369","355"
"Carroll County","280","279","279","279","279"
"Chickasaw County","300","300","300","300","299"
"George County","280","280","279","279","279"
"Holmes County","280","280","280","279","280"
"Issaquena County","274","273","274","274","274"
"Jefferson County","280","280","278","278","279"
"Kemper County","355","339","339","339","339"
"Leake County","280","280","280","280","279"
"Marion County","280","280","280","280","279"
"Stone County","280","280","280","280","280"
"Washington County","300","233","239","239","236"
"Winston County","280","278","279","279","280"
"Yazoo County","300","298","299","298","299"
"PRIVATE PRISONS","5,972","4,308","4,311","4,303","4,294"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,359","1,360","1,358","1,361"
"Marshall County","1,000","1,000","1,000","998","982"
"Walnut Grove","1,500","1,046","1,048","1,046","1,049"
"Wilkinson County","1,000","903","903","901","902"
"RESTITUTION CENTERS","16","11","11","11","11"
"Greenwood","6","5","5","5","5"
"Hinds","6","2","2","2","2"
"Pascagoula","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","4","8","6","18"
"TOTALS","25,553","22,046","22,045","22,031","21,993"
