"Location","Capacity","1-Feb-12","2-Feb-12","3-Feb-12","4-Feb-12","5-Feb-12","6-Feb-12","7-Feb-12","8-Feb-12","9-Feb-12"
"Mississippi State Penitentiary","4,648","3,240","3,240","3,242","3,242","3,242","3,231","3,230","3,225","3,217"
"Central Mississippi Correctional Facility","3,665","3,075","3,106","3,092","3,094","3,093","3,098","3,099","3,108","3,059"
"South Mississippi Correctional Institution","3,282","3,140","3,139","3,151","3,151","3,151","3,152","3,157","3,156","3,157"
"County Jails","1,668","2,122","2,135","2,120","2,120","2,120","2,143","2,188","2,183","2,218"
"COMMUNITY WORK CENTERS","1,848","1,343","1,350","1,346","1,343","1,344","1,373","1,362","1,364","1,349"
"Alcorn Satellite Facility","92","91","91","91","91","91","91","91","90","90"
"Bolivar Satellite Facility","102","56","65","66","66","66","66","66","66","64"
"Forrest Satellite Facility","96","84","84","81","81","81","83","82","82","79"
"George Satellite Facility","102","74","74","80","80","80","81","80","82","81"
"Harrison Satellite Facility","102","88","85","83","82","83","85","84","87","84"
"Jackson Satellite Facility","102","85","81","79","79","79","82","82","85","84"
"Jefferson Satellite Facility","102","70","70","69","69","69","71","68","67","65"
"Leflore Satellite Facility","102","74","74","71","70","70","75","76","77","77"
"Madison Satellite Facility","102","81","81","83","83","83","83","83","76","85"
"Noxubee Satellite Facility","92","72","72","73","73","73","75","75","75","72"
"Pike Satellite Facility","93","48","48","48","48","48","47","44","44","45"
"Quitman Satellite Facility","93","44","44","49","49","49","49","49","49","49"
"Rankin Satellite Facility","260","175","174","167","167","167","172","172","172","173"
"Simpson Satellite Facility","102","84","88","90","90","90","89","89","89","85"
"Washington Satellite Facility","102","71","74","73","72","72","74","73","73","70"
"Wilkinson Satellite Facility","102","66","65","66","66","66","68","66","66","64"
"Yazoo Satellite Facility","102","80","80","77","77","77","82","82","84","82"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,271","4,269","4,262","4,257","4,257","4,267","4,266","4,266","4,271"
"Alcorn County","300","297","296","298","298","298","297","297","296","301"
"Bolivar County","294","294","293","293","293","293","293","293","293","293"
"Carroll County","280","280","280","279","279","279","280","279","279","279"
"Chickasaw County","300","296","296","299","297","297","297","297","297","300"
"George County","280","279","278","278","276","276","277","280","279","278"
"Holmes County","280","280","280","280","279","279","280","280","280","280"
"Issaquena County","274","273","274","270","270","270","272","274","273","274"
"Jefferson County","280","280","280","279","279","279","278","277","281","281"
"Kemper County","355","340","340","338","338","338","339","339","339","339"
"Leake County","280","280","279","279","279","279","280","280","280","281"
"Marion County","280","279","280","280","280","280","280","279","280","280"
"Stone County","280","280","280","280","280","280","280","280","278","278"
"Washington County","300","233","233","233","233","233","232","231","231","229"
"Winston County","280","280","280","278","278","278","280","278","278","276"
"Yazoo County","300","300","300","298","298","298","302","302","302","302"
"PRIVATE PRISONS","5,972","4,167","4,155","4,157","4,157","4,154","4,158","4,162","4,162","4,165"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,316","1,318","1,321","1,321","1,319","1,320","1,321","1,320","1,320"
"Marshall County","1,000","999","999","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","969","955","953","953","952","955","960","961","962"
"Wilkinson County","1,000","883","883","883","883","883","883","881","881","883"
"RESTITUTION CENTERS","16","13","13","11","11","11","11","11","11","11"
"Greenwood","6","6","6","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","7","42","41","41","5","3","6","6"
"TOTALS","25,468","21,377","21,414","21,423","21,416","21,413","21,438","21,478","21,481","21,453"
