"Location","Capacity 1-Dec-18","","2-Dec-18","3-Dec-18","4-Dec-18","5-Dec-18","6-Dec-18","7-Dec-18","8-Dec-18","9-Dec-18","10-Dec-18","11-Dec-18","12-Dec-18","13-Dec-18","14-Dec-18","15-Dec-18","16-Dec-18","17-Dec-18","18-Dec-18","19-Dec-18"
"Mississippi State Penitentiary","3,560","3,262","3,259","3,274","3,284","3,286","3,287","3,282","3,281","3,280","3,272","3,266","3,286","3,291","3,287","3,286","3,286","3,282","3,272","3,280"
"Central Mississippi Correctional Facility","4,131","3,870","3,869","3,853","3,857","3,852","3,860","3,866","3,864","3,863","3,887","3,891","3,895","3,848","3,878","3,878","3,879","3,917","3,900","3,897"
"Youthful Offender Unit","58","37","36","36","36","37","35","35","35","35","35","35","36","37","37","37","37","37","39","39"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,044","3,044","3,046","3,040","3,056","3,060","3,060","3,060","3,060","3,062","3,061","3,060","3,052","3,055","3,053","3,049","3,046","3,055","3,056"
"County Jails","1,781","1,250","1,250","1,259","1,284","1,286","1,271","1,314","1,314","1,314","1,298","1,318","1,295","1,347","1,350","1,350","1,350","1,303","1,273","1,264"
"COMMUNITY WORK CENTERS","1,536","985","984","1,002","996","1,015","1,012","1,007","1,007","993","1,005","1,004","1,012","1,016","1,011","1,007","1,000","1,006","990","1,005"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","77","77","76","76","76","76","74","74","74","78","78","78","79","82","82","81","81","81","81"
"Delta TVC","324","251","250","264","252","266","263","260","260","248","263","258","265","261","258","256","251","263","256","270"
"Forrest Satellite Facility","96","57","57","57","56","56","56","58","58","58","57","56","54","53","53","53","53","51","51","50"
"George Satellite Facility","102","74","74","76","76","76","75","75","75","75","75","74","77","77","75","75","75","75","75","75"
"Harrison Satellite Facility","102","49","49","50","49","49","49","49","49","49","47","49","49","51","51","51","51","51","50","48"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","70","70","70","68","68","70","69","69","69","69","68","68","68","68","68","68","67","66","66"
"Noxubee Satellite Facility","58","35","35","35","35","40","40","40","40","40","40","47","47","48","47","47","47","47","45","45"
"Pike Satellite Facility","93","68","68","72","72","72","71","71","71","71","69","70","70","70","70","70","70","70","69","69"
"Quitman Satellite Facility","93","53","53","53","52","52","54","55","55","55","55","55","55","55","55","55","55","55","54","55"
"Rankin Satellite Facility","178","154","154","153","152","152","152","151","151","151","150","149","149","154","154","154","154","152","149","149"
"Rankin RID","28","20","20","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19"
"Flowood TVC","50","20","20","20","33","33","33","32","32","30","29","27","27","27","26","26","25","24","25","28"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","57","56","56","54","54","54","54","54","54","54","54","53","51","51","51","50","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,708","3,708","3,708","3,698","3,705","3,715","3,711","3,708","3,707","3,706","3,712","3,712","3,712","3,730","3,730","3,725","3,717","3,718","3,721"
"Alcorn County","300","237","236","236","236","235","239","239","239","239","239","239","239","238","238","238","238","237","239","240"
"Bolivar County","369","294","294","294","293","293","293","292","292","292","292","293","292","292","292","292","291","290","294","292"
"Carroll County","280","266","269","269","269","269","270","270","270","270","270","270","270","270","270","270","269","269","269","269"
"Chickasaw County","310","241","241","241","240","240","239","238","238","238","240","240","240","240","240","240","240","240","240","240"
"George County","342","201","200","200","200","200","200","200","200","200","200","199","199","201","201","201","201","200","199","199"
"Holmes County","280","198","198","198","198","198","200","200","200","200","200","200","200","200","200","200","199","199","200","198"
"Issaquena County","274","266","267","267","266","265","269","269","268","268","267","269","269","269","269","269","269","269","269","269"
"Jefferson County","280","265","265","265","263","268","268","267","267","267","267","267","267","263","269","269","269","269","268","270"
"Kemper County","355","259","258","258","257","257","257","257","257","257","257","257","257","257","260","260","260","257","256","260"
"Leake County","280","269","268","268","267","266","266","266","265","265","264","264","263","263","269","269","268","268","268","270"
"Marion County","280","268","270","270","269","269","269","269","269","268","268","267","269","269","269","269","269","269","269","268"
"Stone County","326","265","265","265","265","265","265","264","264","264","264","263","263","263","265","265","264","264","264","264"
"Washington County","300","169","169","169","169","169","169","169","169","169","168","176","176","176","176","176","176","175","174","174"
"Winston County","280","270","268","268","267","267","267","267","266","266","267","266","266","269","270","270","270","269","269","268"
"Yazoo County","300","240","240","240","239","244","244","244","244","244","243","242","242","242","242","242","242","242","240","240"
"PRIVATE PRISONS","5,472","3,193","3,192","3,188","3,189","3,188","3,203","3,202","3,202","3,202","3,199","3,191","3,190","3,197","3,192","3,189","3,187","3,186","3,203","3,208"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,259","1,259","1,256","1,259","1,259","1,272","1,272","1,272","1,272","1,270","1,264","1,263","1,271","1,267","1,265","1,264","1,264","1,273","1,273"
"Marshall County","1,000","1,000","999","999","998","998","1,000","1,000","1,000","1,000","1,000","999","999","998","998","998","998","997","997","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","934","934","933","932","931","931","930","930","930","929","928","928","928","927","926","925","925","933","938"
"RESTITUTION CENTERS","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"TRANSITIONAL HOUSING","122","43","43","43","43","44","44","23","23","23","23","23","23","23","23","23","23","21","21","21"
"Madison","40","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Noxubee","34","33","33","33","33","33","33","13","13","13","13","13","14","14","14","14","14","14","14","14"
"Rankin/Flowood","8","8","8","8","8","9","9","8","8","8","8","8","7","7","7","7","7","5","5","5"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,308","19,402","19,395","19,419","19,437","19,479","19,497","19,510","19,504","19,487","19,497","19,511","19,519","19,533","19,573","19,563","19,546","19,525","19,481","19,501"
"","","1-Dec-18","2-Dec-18","3-Dec-18","4-Dec-18","5-Dec-18","6-Dec-18","7-Dec-18","8-Dec-18","9-Dec-18","10-Dec-18","11-Dec-18","12-Dec-18","13-Dec-18","14-Dec-18","15-Dec-18","16-Dec-18","17-Dec-18","18-Dec-18","19-Dec-18"
