"Location","Capacity","1-Jul-01","2-Jul-01","3-Jul-01","4-Jul-01","5-Jul-01","6-Jul-01","7-Jul-01","8-Jul-01","9-Jul-01","10-Jul-01"
"MS STATE PENITENTIARY  (capacity decreased by 80 7/27)","5,692","5,206","5,224","5,220","5,219","5,227","5,220","5,220","5,219","5,250","5,250"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,030","3,020","3,041","3,044","3,033","3,066","3,064","3,064","3,035","3,039"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,904","1,904","1,904","1,904","1,902","1,912","1,911","1,911","1,903","1,901"
"COUNTY JAILS","2,122","1,364","1,362","1,390","1,390","1,427","1,370","1,369","1,369","1,404","1,448"
"COMMUNITY WORK CENTERS","1,320","1,269","1,283","1,277","1,277","1,279","1,269","1,269","1,268","1,280","1,277"
"Alcorn Satellite Facility","75","75","75","74","74","75","73","73","73","74","74"
"Bolivar Satellite Facility","75","75","75","74","74","75","75","75","75","75","74"
"Forrest Satellite Facility","75","73","75","75","75","75","70","70","70","75","75"
"George Satellite Facility","75","72","73","73","72","72","72","72","71","73","72"
"Harrison Satellite Facility","75","70","73","73","73","73","73","73","73","75","75"
"Jackson Satellite Facility","75","74","74","74","75","75","74","74","74","75","75"
"Jefferson Satellite Facility","75","75","75","73","73","75","75","75","75","75","74"
"Leflore Satellite Facility","75","70","74","74","74","75","75","75","75","75","75"
"Madison Satellite Facility","75","75","75","75","75","74","74","74","74","74","75"
"Noxubee Satellite Facility","75","74","74","74","74","74","74","74","74","74","74"
"Pike Satellite Facility","75","71","71","69","69","69","69","69","69","67","67"
"Quitman Satellite Facility","75","61","60","58","58","59","60","60","60","60","60"
"Rankin Satellite Facility","120","112","112","114","114","113","113","113","113","112","112"
"Simpson Satellite Facility","75","74","74","74","74","74","74","74","74","74","74"
"Washington Satellite Facility","75","74","74","74","74","73","72","72","72","74","73"
"Wilikinson Satellite Facility","75","73","74","74","74","73","71","71","71","73","73"
"Yazoo Satellite Facility","75","71","75","75","75","75","75","75","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,026","2,040","2,035","2,034","2,035","2,035","2,035","2,034","2,032","2,028"
"Bolivar County","250","198","207","207","207","207","207","207","207","207","206"
"Carroll County","250","200","201","202","202","201","201","201","201","201","201"
"Holmes County","250","200","201","201","201","200","200","200","200","200","200"
"Issaquena County","250","197","195","193","193","196","196","196","196","196","195"
"Jefferson County","250","213","213","212","212","212","212","212","212","212","212"
"Kemper County","250","224","227","225","224","224","225","225","225","224","224"
"Leake County","250","198","200","199","199","199","199","199","199","199","199"
"Marion County","250","199","197","197","197","197","197","197","197","197","196"
"Stone County","250","200","200","200","200","199","198","198","197","197","197"
"Winston County","250","197","199","199","199","200","200","200","200","199","198"
"PRIVATE PRISONS","3,900","3,466","3,464","3,467","3,467","3,465","3,467","3,467","3,467","3,466","3,465"
"Delta","1,000","843","842","842","842","840","843","843","843","842","842"
"East MS","500","499","499","499","499","499","499","499","499","498","498"
"Marshall County","1,000","869","869","869","869","869","869","869","869","867","867"
"Walnut Grove","500","382","382","385","385","385","385","385","385","389","388"
"Wilkinson County","900","873","872","872","872","872","871","871","871","870","870"
"RESITITUTION CENTERS","24","17","17","17","17","17","17","17","17","17","17"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,827","18,288","18,320","18,357","18,358","18,391","18,362","18,358","18,355","18,393","18,431"
"","","1-Jul","2-Jul","3-Jul","4-Jul","5-Jul","6-Jul","7-Jul","8-Jul","9-Jul","10-Jul"
