"Location","Capacity","1-Mar-14","2-Mar-14","3-Mar-14","4-Mar-14","5-Mar-14","6-Mar-14","7-Mar-14","8-Mar-14","9-Mar-14","10-Mar-14"
"Mississippi State Penitentiary","4,648","3,325","3,325","3,330","3,324","3,333","3,331","3,313","3,315","3,315","3,326"
"Central Mississippi Correctional Facility","3,665","2,960","2,960","2,983","2,999","2,975","2,995","2,977","2,980","2,979","2,988"
"Youthful Offender Unit","42","34","34","34","34","35","36","33","35","35","35"
"South Mississippi Correctional Institution","3,282","3,239","3,236","3,230","3,224","3,236","3,237","3,216","3,219","3,218","3,211"
"County Jails","2,020","1,969","1,969","1,973","1,898","1,917","2,017","1,999","2,003","2,001","1,998"
"COMMUNITY WORK CENTERS","1,848","1,175","1,172","1,182","1,170","1,179","1,179","1,135","1,169","1,170","1,181"
"Alcorn Satellite Facility","92","84","83","83","81","85","85","82","84","84","84"
"Bolivar Satellite Facility","102","57","55","55","55","55","55","51","53","53","52"
"Forrest Satellite Facility","96","53","53","54","51","50","50","47","49","49","50"
"George Satellite Facility","102","63","63","63","62","61","60","59","61","61","60"
"Harrison Satellite Facility","102","48","48","48","48","48","48","44","46","46","49"
"Jackson Satellite Facility","102","56","56","56","55","54","54","52","54","54","52"
"Jefferson Satellite Facility","102","50","50","51","52","55","53","50","52","52","51"
"Leflore Satellite Facility","102","49","49","49","47","48","48","47","49","49","50"
"Madison Satellite Facility","102","45","45","49","46","44","45","41","43","43","44"
"Noxubee Satellite Facility","92","72","72","76","76","75","75","73","75","75","75"
"Pike Satellite Facility","93","88","88","88","89","89","89","85","87","87","88"
"Quitman Satellite Facility","93","75","75","75","75","75","80","81","83","84","83"
"Rankin Satellite Facility","260","197","197","197","201","203","200","195","197","197","199"
"Simpson Satellite Facility","102","89","89","89","87","93","93","90","92","92","94"
"Washington Satellite Facility","102","51","51","51","51","50","50","48","50","50","57"
"Wilkinson Satellite Facility","102","40","40","40","39","39","40","41","43","43","42"
"Yazoo Satellite Facility","102","58","58","58","55","55","54","49","51","51","51"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,403","4,401","4,384","4,385","4,387","4,324","4,382","4,392","4,392","4,399"
"Alcorn County","300","299","298","298","298","298","298","296","297","297","294"
"Bolivar County","369","367","366","366","365","365","369","367","368","368","367"
"Carroll County","280","280","280","280","277","279","279","277","279","279","279"
"Chickasaw County","300","300","300","299","298","297","297","298","300","300","299"
"George County","280","276","276","278","278","279","278","275","277","277","279"
"Holmes County","280","280","280","280","279","280","280","278","280","280","280"
"Issaquena County","274","272","272","271","271","269","269","270","270","270","272"
"Jefferson County","280","279","279","279","279","274","272","272","272","272","270"
"Kemper County","355","352","352","351","353","355","355","355","355","355","355"
"Leake County","280","275","275","275","272","275","275","269","269","269","277"
"Marion County","280","280","280","281","280","280","279","278","278","278","280"
"Stone County","280","277","277","279","277","277","280","280","280","280","280"
"Washington County","300","297","297","297","297","295","298","296","296","296","294"
"Winston County","280","274","274","275","271","275","278","276","276","276","276"
"Yazoo County","300","295","295","275","290","289","217","295","295","295","297"
"PRIVATE PRISONS","5000","4392","4390","4388","4385","4386","4384","4384","4375","4372","4366"
"East Mississippi","1,500","1,198","1,198","1,197","1,197","1,200","1,199","1,199","1,200","1,198","1,197"
"Marshall County","1,000","998","997","998","995","994","993","993","1,000","1,000","1,000"
"Walnut Grove","1,500","1,314","1,313","1,313","1,316","1,316","1,317","1,317","1,301","1,300","1,295"
"Wilkinson County","1,000","882","882","880","877","876","875","875","874","874","874"
"RESTITUTION CENTERS","16","12","12","13","12","12","12","12","12","12","12"
"Greenwood","6","6","4","5","6","6","6","6","6","6","6"
"Hinds","6","3","5","5","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"TOTALS","24,959","21,509","21,499","21,517","21,431","21,460","21,515","21,451","21,500","21,494","21,516"
