"Location","Capacity","19-Feb-13","20-Feb-13","21-Feb-13","22-Feb-13","23-Feb-13","24-Feb-13","25-Feb-13","26-Feb-13","27-Feb-13"
"Mississippi State Penitentiary","4,648","3,331","3,333","3,326","3,337","3,333","3,330","3,341","3,346","3,334"
"Central Mississippi Correctional Facility","3,557","3,162","3,185","3,185","3,195","3,194","3,193","3,185","3,213","3,210"
"Youthful Offender Unit","42","24","24","24","26","26","25","26","26","27"
"South Mississippi Correctional Institution 3,282","","3,225","3,242","3,242","3,236","3,236","3,233","3,230","3,228","3,228"
"County Jails","1,832","2,213","2,198","2,228","2,225","2,225","2,225","2,229","2,224","2,246"
"COMMUNITY WORK CENTERS","1,848","1,532","1,529","1,531","1,530","1,529","1,528","1,554","1,549","1,550"
"Alcorn Satellite Facility","92","91","89","90","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","77","77","74","73","73","73","79","79","78"
"Forrest Satellite Facility","96","71","69","70","69","68","68","72","75","75"
"George Satellite Facility","102","77","76","77","75","75","75","76","76","76"
"Harrison Satellite Facility","102","78","78","81","77","78","78","81","81","81"
"Jackson Satellite Facility","102","77","76","73","72","72","72","73","70","70"
"Jefferson Satellite Facility","102","82","82","82","80","80","80","79","73","73"
"Leflore Satellite Facility","102","77","76","77","76","76","76","75","75","83"
"Madison Satellite Facility","102","80","80","80","83","83","83","84","83","83"
"Noxubee Satellite Facility","92","80","80","76","72","72","72","76","75","75"
"Pike Satellite Facility","93","91","91","92","92","92","92","93","93","91"
"Quitman Satellite Facility","93","81","81","85","89","89","89","89","88","88"
"Rankin Satellite Facility","260","246","246","245","249","249","249","251","250","249"
"Simpson Satellite Facility","102","92","96","96","98","98","98","99","99","97"
"Washington Satellite Facility","102","78","78","78","76","76","75","77","78","78"
"Wilkinson Satellite Facility","102","70","70","68","72","71","71","71","76","74"
"Yazoo Satellite Facility","102","84","84","87","85","85","85","87","86","87"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,362","4,366","4,364","4,364","4,361","4,359","4,356","4,361","4,367"
"Alcorn County","300","298","298","298","298","298","298","298","298","300"
"Bolivar County","369","368","367","370","370","370","369","369","369","369"
"Carroll County","280","277","278","279","280","280","280","281","281","281"
"Chickasaw County","300","300","300","300","300","300","300","299","299","300"
"George County","280","276","280","279","279","279","279","277","278","280"
"Holmes County","280","279","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","279","279","279","279","279","278","280","280"
"Kemper County","355","340","339","340","340","340","340","339","339","339"
"Leake County","280","277","279","278","278","278","278","280","280","280"
"Marion County","280","278","280","279","278","277","276","277","280","279"
"Stone County","280","279","279","278","279","278","278","279","280","280"
"Washington County","300","261","255","253","250","250","250","250","247","247"
"Winston County","280","276","278","277","279","279","279","279","279","280"
"Yazoo County","300","299","300","300","300","299","299","296","297","298"
"PRIVATE PRISONS","5,972","4,302","4,305","4,300","4,291","4,289","4,286","4,296","4,296","4,301"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,124","1,125","1,124","1,122","1,121","1,121","1,121","1,120","1,122"
"Marshall County","1,000","999","999","998","998","997","997","996","996","999"
"Walnut Grove","1,500","1,274","1,277","1,274","1,269","1,269","1,267","1,276","1,273","1,273"
"Wilkinson County","1,000","905","904","904","902","902","901","903","907","907"
"RESTITUTION CENTERS","16","26","21","12","41","40","41","20","22","22"
"Greenwood","6","5","5","5","4","4","4","4","4","4"
"Hinds","6","6","4","3","3","3","3","3","3","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","11","8","0","30","29","30","9","11","9"
"TOTALS","25,641","22,177","22,203","22,212","22,245","22,233","22,220","22,237","22,265","22,285"
"","","19-Feb-13","20-Feb-13","21-Feb-13","22-Feb-13","23-Feb-13","24-Feb-13","25-Feb-13","26-Feb-13","27-Feb-13"
