"Location","Capacity","1-Jan-16","2-Jan-16","3-Jan-16","4-Jan-16","5-Jan-16","6-Jan-16","7-Jan-16","8-Jan-16","9-Jan-16"
"Mississippi State Penitentiary","3,590","3,276","3,276","3,276","3,280","3,274","3,279","3,265","3,264","3,265"
"MSP TVC","","24","24","24","24","23","22","21","20","20"
"Central Mississippi Correctional Facility","2,824","2,799","2,797","2,797","2,789","2,795","2,780","2,773","2,774","2,774"
"Youthful Offender Unit","58","28","28","28","28","28","30","30","30","30"
"CMCF TVC","","12","11","11","10","14","20","20","21","21"
"South Mississippi Correctional Institution","2,882","2,706","2,707","2,709","2,700","2,696","2,702","2,698","2,698","2,698"
"SMCI TVC","","16","15","14","13","13","13","13","13","13"
"County Jails","1,780","1,037","1,037","1,037","1,018","1,007","982","978","977","977"
"COMMUNITY WORK CENTERS","1,848","1,067","1,063","1,062","1,047","1,045","1,063","1,057","1,007","1,004"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","46","46","46","44","44","44","42","42","42"
"Forrest Satellite Facility","96","71","70","70","70","70","70","70","63","63"
"George Satellite Facility","102","55","55","55","55","55","60","61","55","55"
"Harrison Satellite Facility","102","66","66","66","64","64","64","63","61","61"
"Jackson Satellite Facility","102","51","50","50","50","49","49","49","45","45"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","47","47","47","46","46","45","39","36","35"
"Madison Satellite Facility","102","70","70","70","70","70","74","76","72","72"
"Noxubee Satellite Facility","92","82","82","82","81","80","80","83","82","82"
"Pike Satellite Facility","93","78","78","78","73","73","73","75","74","74"
"Quitman Satellite Facility","93","69","69","69","68","71","71","72","72","72"
"Rankin Satellite Facility","260","169","169","169","167","166","167","165","154","154"
"Flowood TVC","","0","0","0","0","0","0","0","0","0"
"Simpson TVC and Simpson TVC support","102","63","61","60","62","62","64","62","58","56"
"Washington Satellite Facility","102","89","89","89","88","87","87","86","86","86"
"Wilkinson Satellite Facility","102","57","57","57","55","55","62","61","60","60"
"Yazoo Satellite Facility","102","54","54","54","54","53","53","53","47","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,847","3,846","3,844","3,857","3,855","3,857","3,888","3,899","3,897"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","345","345","344","346","352","351","351","351","351"
"Carroll County","280","268","268","268","274","274","268","266","268","268"
"Chickasaw County","300","257","257","257","257","257","257","264","263","263"
"George County","280","265","265","265","269","266","266","275","275","275"
"Holmes County","280","270","270","270","279","279","279","278","278","278"
"Issaquena County","274","244","244","244","244","244","244","244","251","251"
"Jefferson County","280","275","275","275","274","275","275","272","273","272"
"Kemper County","355","329","328","327","323","320","327","339","338","338"
"Leake County","280","266","266","266","263","258","260","260","264","264"
"Marion County","280","276","276","276","278","279","280","280","279","279"
"Stone County","280","276","276","276","278","278","278","278","279","279"
"Washington County","300","225","225","225","224","224","223","233","232","231"
"Winston County","280","271","271","271","269","264","265","265","265","265"
"Yazoo County","300","280","280","280","279","285","284","283","283","283"
"PRIVATE PRISONS","5,972","3,921","3,920","3,919","3,911","3,926","3,941","3,941","3,944","3,943"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,146","1,146","1,146","1,144","1,142","1,142","1,142","1,141","1,141"
"Marshall County","1,000","997","997","996","996","1,001","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","913","913","913","909","913","930","931","935","934"
"Wilkinson County","1,000","865","864","864","862","870","869","868","868","868"
"RESTITUTION CENTERS","16","10","10","10","11","11","11","11","10","10"
"Greenwood","6","2","2","2","3","3","3","3","2","2"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,408","18,743","18,734","18,731","18,688","18,687","18,700","18,695","18,657","18,652"
"","","1-Jan-16","2-Jan-16","3-Jan-16","4-Jan-16","5-Jan-16","6-Jan-16","7-Jan-16","8-Jan-16","9-Jan-16"
