"Location","Capacity","1-Jul-06","2-Jul-06","3-Jul-06","4-Jul-06","5-Jul-06","6-Jul-06","7-Jul-06","8-Jul-06","9-Jul-06"
"Mississippi State Penitentiary","4,529","4,442","4,441","4,443","4,442","4,434","4,452","4,460","4,456","4,450"
"Central Mississippi Correctional Facility","3,293","3,324","3,321","3,295","3,293","3,257","3,269","3,273","3,273","3,273"
"South Mississippi Correctional Institution","2,075","2,001","2,000","1,993","1,994","2,014","2,012","2,027","2,026","2,023"
"County Jails","1,953","1,675","1,675","1,669","1,669","1,711","1,711","1,709","1,709","1,709"
"COMMUNITY WORK CENTERS","1,816","1,778","1,776","1,777","1,775","1,782","1,781","1,686","1,683","1,683"
"Alcorn Satellite Facility","92","91","91","91","91","92","92","81","81","82"
"Bolivar Satellite Facility","102","101","101","101","101","102","102","94","94","93"
"Forrest Satellite Facility","96","95","94","94","94","94","96","92","92","92"
"George Satellite Facility","102","102","102","101","101","101","100","97","97","97"
"Harrison Satellite Facility","102","97","97","101","101","101","101","95","95","95"
"Jackson Satellite Facility","102","99","99","99","98","98","96","94","94","94"
"Jefferson Satellite Facility","102","102","102","101","101","101","101","90","90","90"
"Leflore Satellite Facility","102","101","101","101","101","101","101","97","97","97"
"Madison Satellite Facility","102","100","100","100","100","102","102","98","98","98"
"Noxubee Satellite Facility","92","91","91","91","91","91","91","86","85","85"
"Pike Satellite Facility","93","82","82","82","82","82","82","81","79","79"
"Quitman Satellite Facility","93","88","87","86","86","89","89","84","84","84"
"Rankin Satellite Facility","228","225","225","226","225","225","225","220","220","220"
"Simpson Satellite Facility","102","101","101","100","100","100","99","95","95","95"
"Washington Satellite Facility","102","101","101","101","101","101","101","97","97","97"
"Wilkinson Satellite Facility","102","100","100","100","100","100","101","93","93","93"
"Yazoo Satellite Facility","102","102","102","102","102","102","102","92","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,032","3,031","3,040","3,037","3,044","3,054","3,044","3,042","3,040"
"Bolivar County","294","292","292","294","293","294","290","290","289","289"
"Carroll County","280","280","280","280","280","280","279","278","278","278"
"George County","280","277","277","279","278","278","280","280","280","279"
"Holmes County","280","276","275","274","274","274","278","275","274","274"
"Issaquena County","274","270","270","271","271","274","275","273","273","273"
"Jefferson County","250","244","244","246","246","246","252","252","252","252"
"Kemper County","280","277","277","277","277","279","278","277","277","277"
"Leake County","280","280","280","280","280","279","281","281","281","281"
"Marion County","280","279","279","279","278","280","281","279","279","278"
"Stone County","280","279","279","280","280","280","280","279","279","279"
"Winston County","280","278","278","280","280","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,857","4,856","4,870","4,867","4,864","4,872","4,865","4,858","4,857"
"Delta","972","964","963","965","964","961","966","964","962","962"
"East Mississippi","1,000","868","868","868","867","866","867","867","865","865"
"Marshall County","1,000","992","992","994","993","995","995","993","992","992"
"Tallahatchie County","128","127","127","127","127","127","128","128","128","128"
"Walnut Grove","1,000","943","943","948","948","947","951","951","950","949"
"Wilkinson County","1,000","963","963","968","968","968","965","962","961","961"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","9","9","9"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","5","5","5","5","5","5","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","5","5","5","5","5","102","101","100"
"TOTALS","21,846","21,129","21,121","21,108","21,098","21,127","21,172","21,180","21,162","21,149"
"","","1-Jul-06","2-Jul-06","3-Jul-06","4-Jul-06","5-Jul-06","6-Jul-06","7-Jul-06","8-Jul-06","9-Jul-06"
