"Location","Capacity","10-Oct-15","11-Oct-15","12-Oct-15","13-Oct-15","14-Oct-15","15-Oct-15","16-Oct-15","17-Oct-15","18-Oct-15"
"Mississippi State Penitentiary","3,590","3,145","3,145","3,146","3,146","3,146","3,146","3,147","3,147","3,147"
"MSP TVC","","70","70","71","71","71","71","72","72","72"
"Central Mississippi Correctional Facility","2,932","2,588","2,588","2,589","2,589","2,589","2,589","2,590","2,590","2,590"
"Youthful Offender Unit","58","28","28","29","29","29","29","30","30","30"
"CMCF TVC","","140","140","141","141","141","141","142","142","142"
"South Mississippi Correctional Institution 2,882","","2,701","2,701","2,702","2,702","2,702","2,702","2,702","2,701","2,701"
"SMCI TVC","","95","95","96","96","96","96","96","95","95"
"County Jails","2,002","1,254","1,254","1,260","1,250","1,250","1,233","1,245","1,244","1,245"
"COMMUNITY WORK CENTERS","1,870","1,149","1,141","1,156","1,156","1,156","1,156","1,156","1,144","1,139"
"Alcorn Satellite Facility","92","88","88","89","89","89","89","89","88","88"
"Bolivar Satellite Facility","102","71","71","72","72","72","72","72","71","71"
"Forrest Satellite Facility","96","53","53","54","54","54","54","54","53","53"
"George Satellite Facility","102","51","51","52","52","52","52","52","51","51"
"Harrison Satellite Facility","102","46","46","47","47","47","47","47","46","46"
"Jackson Satellite Facility","102","50","50","51","51","51","51","51","50","50"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","73","73","74","74","74","74","74","73","73"
"Madison Satellite Facility","102","63","62","63","63","63","63","63","62","62"
"Noxubee Satellite Facility","92","68","67","68","68","68","68","68","67","67"
"Pike Satellite Facility","93","81","80","81","81","81","81","81","80","79"
"Quitman Satellite Facility","93","57","56","57","57","57","57","57","56","55"
"Rankin Satellite Facility","260","169","169","169","169","169","169","169","169","169"
"Simpson Satellite Facility","102","96","95","96","96","96","96","96","95","94"
"Washington Satellite Facility","102","71","70","71","71","71","71","71","71","70"
"Wilkinson Satellite Facility","102","49","48","49","49","49","49","49","49","48"
"Yazoo Satellite Facility","102","63","62","63","63","63","63","63","63","63"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,936","3,933","3,947","3,960","3,960","3,970","3,970","3,970","3,970"
"Alcorn County","300","285","284","285","285","285","285","285","285","285"
"Bolivar County","369","318","317","318","319","319","319","319","319","319"
"Carroll County","280","233","232","233","234","234","234","234","234","234"
"Chickasaw County","300","292","292","293","294","294","294","294","294","294"
"George County","280","240","240","241","242","242","243","243","243","243"
"Holmes County","280","261","261","262","263","263","264","264","264","264"
"Issaquena County","274","259","259","260","261","261","262","262","262","262"
"Jefferson County","280","247","247","248","249","249","250","250","250","250"
"Kemper County","355","322","322","323","324","324","325","325","325","325"
"Leake County","280","248","248","249","250","250","251","251","251","251"
"Marion County","280","251","251","252","253","253","254","254","254","254"
"Stone County","280","273","273","274","275","275","276","276","276","276"
"Washington County","300","197","197","197","197","197","197","197","197","197"
"Winston County","280","254","254","255","256","256","257","257","257","257"
"Yazoo County","300","256","256","257","258","258","259","259","259","259"
"PRIVATE PRISONS","5,972","3,797","3,797","3,801","3,805","3,805","3,805","3,805","3,805","3,805"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,115","1,115","1,116","1,117","1,117","1,117","1,117","1,117","1,117"
"Marshall County","1,000","994","994","995","996","996","996","996","996","996"
"Walnut Grove","1,500","855","855","856","857","857","857","857","857","857"
"Wilkinson County","1,000","833","833","834","835","835","835","835","835","835"
"RESTITUTION CENTERS","16","8","8","14","14","14","14","14","14","14"
"Greenwood","6","4","4","6","6","6","6","6","6","6"
"Hinds","6","4","4","6","6","6","6","6","6","6"
"Pascagoula","4","0","0","2","2","2","2","2","2","2"
"TOTALS","23,744","18,911","18,900","18,952","18,959","18,959","18,952","18,969","18,954","18,950"
