"Location","Capacity","1-Feb-15","2-Feb-15","3-Feb-15","4-Feb-15","5-Feb-15","6-Feb-15","7-Feb-15","8-Feb-15","9-Feb-15"
"Mississippi State Penitentiary","4,648","3,110","3,184","3,131","3,137","3,158","3,145","3,145","3,147","3,146"
"MSP TVC","108","74","74","74","95","90","90","89","88","88"
"Central Mississippi Correctional Facility","3,469","2,196","2,220","2,215","2,268","2,303","2,363","2,325","2,329","2,363"
"Youthful Offender Unit","58","27","27","27","26","27","27","27","27","27"
"CMCF TVC","158","125","125","123","122","116","118","117","115","115"
"South Mississippi Correctional Institution 3,282","","2,365","2,313","2,415","2,416","2,416","2,408","2,408","2,405","2,403"
"SMCI TVC","0","147","95","98","93","93","93","91","90","85"
"County Jails","1,995","1,472","1,478","1,476","1,480","1,469","1,454","1,490","1,491","1,473"
"COMMUNITY WORK CENTERS","1,848","1,068","1,068","1,080","1,077","1,077","1,059","1,059","1,056","1,065"
"Alcorn Satellite Facility","92","59","59","59","56","57","57","57","57","57"
"Bolivar Satellite Facility","102","56","56","55","55","55","54","54","54","55"
"Forrest Satellite Facility","96","46","46","52","52","51","51","51","51","50"
"George Satellite Facility","102","50","50","53","53","52","55","55","55","54"
"Harrison Satellite Facility","102","49","49","51","52","51","50","50","50","50"
"Jackson Satellite Facility","102","46","46","46","51","51","47","47","47","52"
"Jefferson Satellite Facility","102","51","51","52","52","52","48","48","48","53"
"Leflore Satellite Facility","102","44","44","49","49","49","45","45","45","48"
"Madison Satellite Facility","102","50","50","48","47","46","47","47","47","46"
"Noxubee Satellite Facility","92","65","65","64","64","66","65","65","65","65"
"Pike Satellite Facility","93","88","88","83","82","81","79","79","78","75"
"Quitman Satellite Facility","93","63","63","61","61","61","61","61","61","61"
"Rankin Satellite Facility","260","173","173","173","170","175","170","170","168","170"
"Simpson Satellite Facility","102","99","99","100","100","98","100","100","100","100"
"Washington Satellite Facility","102","45","45","44","44","43","43","43","43","42"
"Wilkinson Satellite Facility","102","38","38","40","40","40","40","40","40","39"
"Yazoo Satellite Facility","102","46","46","50","49","49","47","47","47","48"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,131","4,131","4,142","4,213","4,229","4,225","4,222","4,218","4,214"
"Alcorn County","300","299","299","299","296","296","299","299","298","297"
"Bolivar County","369","362","362","360","359","356","354","354","353","352"
"Carroll County","280","261","261","261","272","277","274","274","274","272"
"Chickasaw County","300","297","297","299","299","296","301","300","299","299"
"George County","280","248","248","248","248","264","264","264","264","263"
"Holmes County","280","252","252","258","265","264","263","263","263","263"
"Issaquena County","274","254","254","254","264","265","266","266","266","266"
"Jefferson County","280","251","251","248","247","257","257","256","255","252"
"Kemper County","355","319","319","326","338","338","337","336","336","336"
"Leake County","280","241","241","246","263","262","253","253","253","254"
"Marion County","280","274","274","275","275","274","274","274","274","272"
"Stone County","280","266","266","266","266","266","269","269","269","279"
"Washington County","300","265","265","264","262","262","260","260","260","260"
"Winston County","280","263","263","259","271","263","265","265","265","259"
"Yazoo County","300","279","279","279","288","289","289","289","289","290"
"PRIVATE PRISONS","5,972","4,208","4,208","4,210","4,086","4,024","4,026","4,024","4,024","4,019"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,180","1,180","1,180","1,182","1,181","1,180","1,178","1,178","1,176"
"Marshall County","1,000","996","996","995","996","996","996","996","996","996"
"Walnut Grove","1,500","1,142","1,142","1,146","1,018","958","961","961","961","960"
"Wilkinson County","1,000","890","890","889","890","889","889","889","889","887"
"RESTITUTION CENTERS","16","9","9","7","7","7","6","6","6","7"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","2","2","2","1","1","1","2"
"Pascagoula","4","2","2","1","1","1","1","1","1","1"
"TOTALS","25,726","18,932","18,932","18,998","19,020","19,009","19,014","19,003","18,996","19,005"
"","","1-Feb-15","2-Feb-15","3-Feb-15","4-Feb-15","5-Feb-15","6-Feb-15","7-Feb-15","8-Feb-15","9-Feb-15"
