"Location","Capacity","","10-May-16 11-May-16 12-May-16 13-May-16 14-May-16 15-May-16 16-May-16 17-May-16 18-May-16","","","","","","",""
"Mississippi State Penitentiary","3,590","3,354","3,380","3,370","3,371","3,368","3,365","3,366","3,361","3,348"
"Central Mississippi Correctional Facility","3,506","2,995","2,923","2,923","2,889","2,888","2,886","2,888","2,909","2,939"
"Youthful Offender Unit","58","33","33","33","33","33","33","32","32","32"
"CMCF TVC","","6","6","6","2","2","2","1","1","1"
"South Mississippi Correctional Institution","3,082","2,935","3,001","3,005","3,009","3,010","3,009","3,000","3,009","3,006"
"County Jails","1,986","1,513","1,504","1,513","1,531","1,531","1,531","1,514","1,505","1,485"
"COMMUNITY WORK CENTERS","1,848","1,147","1,153","1,158","1,154","1,153","1,153","1,181","1,177","1,171"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","26","26","24","23","23","23","24","23","23"
"Forrest Satellite Facility","96","82","81","81","76","76","75","78","78","78"
"George Satellite Facility","102","82","84","84","81","81","81","89","89","88"
"Harrison Satellite Facility","102","79","78","80","79","78","78","80","79","78"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC","82","71","71","71","77","77","78","76","76","73"
"Lefore TVC Support","20","17","20","20","19","19","19","19","19","20"
"Madison Satellite Facility","102","90","94","94","94","94","94","93","93","93"
"Noxubee Satellite Facility","92","89","88","92","92","92","92","92","92","92"
"Pike Satellite Facility","93","79","80","80","79","79","79","86","86","86"
"Quitman Satellite Facility","93","89","87","88","87","87","87","86","85","85"
"Rankin Satellite Facility","260","165","170","168","163","163","163","170","170","170"
"Flowood TVC","","27","27","27","33","33","33","32","32","32"
"Simpson TVC support","20","75","15","15","13","13","13","15","15","15"
"Simpson TVC","82","15","73","72","79","79","79","79","79","77"
"Washington Satellite Facility","102","100","99","96","95","95","95","97","98","98"
"Wilkinson Satellite Facility","102","61","60","66","64","64","64","65","63","63"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,412","3,410","3,403","3,407","3,405","3,403","3,407","3,406","3,415"
"Alcorn County","240","240","239","239","239","238","238","238","238","240"
"Bolivar County","369","293","293","293","294","294","294","293","293","293"
"Carroll County","280","240","240","240","239","239","239","238","238","240"
"Chickasaw County","300","240","240","240","239","239","239","238","238","240"
"George County","280","200","199","196","196","196","196","197","199","199"
"Holmes County","280","199","196","199","198","198","198","198","198","200"
"Issaquena County","274","240","240","239","239","239","239","238","238","240"
"Jefferson County","280","238","238","238","241","240","240","240","240","240"
"Kemper County","355","260","259","258","259","259","258","259","257","259"
"Leake County","280","198","199","197","197","197","197","199","199","198"
"Marion County","280","201","201","200","201","201","201","203","203","203"
"Stone County","280","200","200","200","200","200","200","199","199","199"
"Washington County","300","229","229","227","227","227","227","227","226","225"
"Winston County","280","200","199","199","199","199","199","200","200","199"
"Yazoo County","300","234","238","238","239","239","238","240","240","240"
"PRIVATE PRISONS","5,972","3,916","3,921","3,916","3,927","3,925","3,924","3,919","3,924","3,919"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,095","1,098","1,100","1,100","1,099","1,099","1,097","1,097","1,094"
"Marshall County","1,000","996","995","993","991","991","990","999","998","997"
"Walnut Grove","1,500","931","928","924","938","938","938","925","932","931"
"Wilkinson County","1,000","894","900","899","898","897","897","898","897","897"
"RESTITUTION CENTERS","16","14","13","13","12","12","12","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","4","3","3","2","2","2","3","3","3"
"TOTALS","24,436","19,325","19,344","19,340","19,335","19,327","19,318","19,321","19,337","19,329"
"","","","10-May-16 11-May-16 12-May-16 13-May-16 14-May-16 15-May-16 16-May-16 17-May-16 18-May-16","","","","","","",""
