"Location","Capacity","1-May-02","2-May-02","3-May-02","4-May-02","5-May-02","6-May-02","7-May-02","8-May-02","9-May-02","10-May-02"
"MS STATE PENITENTIARY","5,551","5,313","5,332","5,315","5,315","5,315","5,306","5,318","5,316","5,310","5,343"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,983","2,973","2,984","2,983","2,982","3,025","3,042","3,054","3,084","2,993"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,070","2,066","2,080","2,081","2,080","2,071","2,064","2,062","2,070","2,044"
"COUNTY JAILS","2,137","1,622","1,645","1,650","1,287","1,652","1,625","1,640","1,648","1,635","1,675"
"COMMUNITY WORK CENTERS","1,328","1,288","1,285","1,266","1,265","1,265","1,288","1,291","1,280","1,276","1,229"
"Alcorn Satellite Facility","75","75","75","75","75","75","75","75","74","74","68"
"Bolivar Satellite Facility","75","74","74","68","68","68","74","75","74","74","71"
"Forrest Satellite Facility","75","74","74","73","73","73","75","74","74","75","67"
"George Satellite Facility","75","74","74","74","73","73","74","74","71","71","69"
"Harrison Satellite Facility","75","75","75","75","75","75","74","73","74","73","71"
"Jackson Satellite Facility","75","73","73","72","72","72","75","75","74","75","74"
"Jefferson Satellite Facility","75","74","74","73","73","73","74","74","74","74","69"
"Leflore Satellite Facility","75","73","72","72","72","72","72","75","74","74","74"
"Madison Satellite Facility","75","75","75","74","74","74","74","74","74","74","73"
"Noxubee Satellite Facility","75","74","74","74","74","74","74","75","75","75","73"
"Pike Satellite Facility","75","71","71","68","68","68","75","75","73","73","73"
"Quitman Satellite Facility","75","60","59","60","60","60","61","60","60","60","59"
"Rankin Satellite Facility","128","119","118","114","114","114","115","115","115","113","109"
"Simpson Satellite Facility","75","74","74","74","74","74","72","75","74","72","64"
"Washington Satellite Facility","75","74","74","73","73","73","74","73","72","72","69"
"Wilikinson Satellite Facility","75","75","75","74","74","74","75","75","75","75","75"
"Yazoo Satellite Facility","75","74","74","73","73","73","75","74","73","72","71"
"REGIONAL CORRECTIONAL FACILITIES","2,750","1,970","1,968","1,967","1,966","1,966","1,962","1,960","1,957","1,954","1,966"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","214","213","211","211","211","211","210","210","209","209"
"George County (opened on May 10th)","250","0","0","0","0","0","0","0","0","0","15"
"Holmes County","250","216","216","217","216","216","216","216","216","216","216"
"Issaquena County","250","209","209","209","209","209","209","209","208","207","207"
"Jefferson County","250","226","226","226","226","226","226","226","225","225","224"
"Kemper County","250","242","242","242","242","242","242","241","241","241","239"
"Leake County","250","216","216","216","216","216","216","215","214","214","214"
"Marion County","250","215","215","214","214","214","213","213","213","213","213"
"Stone County","250","216","216","217","217","217","215","215","215","215","215"
"Winston County","250","216","215","215","215","215","214","215","215","214","214"
"PRIVATE PRISONS","4,650","3,580","3,575","3,567","3,566","3,566","3,567","3,568","3,564","3,566","3,585"
"Delta","1,000","857","857","854","854","854","852","850","850","849","849"
"East MS","1,000","499","499","499","499","499","499","500","499","499","498"
"Marshall County","1,000","880","880","878","878","878","878","878","877","877","882"
"Walnut Grove","750","495","493","493","493","493","496","495","495","498","512"
"Wilkinson County","900","849","846","843","842","842","842","845","843","843","844"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","9","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","5","5","5","5","6"
"TOTALS","21,709","18,848","18,866","18,851","18,485","18,848","18,865","18,904","18,902","18,916","18,857"
