"Location","Capacity","28-Apr-12","29-Apr-12","","30-Apr-12 Avg Population"
"Mississippi State Penitentiary","4,648","3,291","3,290","3,289","3,283"
"Central Mississippi Correctional Facility","3,665","3,136","3,136","3,137","3,111"
"South Mississippi Correctional Institution","3,282","3,181","3,181","3,180","3,174"
"County Jails","1,753","2,242","2,242","2,246","2,209"
"COMMUNITY WORK CENTERS","1,848","1,550","1,549","1,558","1,526"
"Alcorn Satellite Facility","92","92","92","92","91"
"Bolivar Satellite Facility","102","79","79","79","77"
"Forrest Satellite Facility","96","79","79","79","83"
"George Satellite Facility","102","82","82","82","77"
"Harrison Satellite Facility","102","86","86","86","81"
"Jackson Satellite Facility","102","79","79","80","79"
"Jefferson Satellite Facility","102","71","71","72","76"
"Leflore Satellite Facility","102","86","86","86","81"
"Madison Satellite Facility","102","89","89","89","91"
"Noxubee Satellite Facility","92","73","73","73","77"
"Pike Satellite Facility","93","93","93","93","91"
"Quitman Satellite Facility","93","91","91","91","90"
"Rankin Satellite Facility","260","207","207","207","195"
"Simpson Satellite Facility","102","100","100","102","101"
"Washington Satellite Facility","102","87","87","88","81"
"Wilkinson Satellite Facility","102","70","69","72","69"
"Yazoo Satellite Facility","102","86","86","87","86"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,268","4,265","4,264","4,269"
"Alcorn County","300","300","300","300","298"
"Bolivar County","294","294","294","294","292"
"Carroll County","280","279","278","278","279"
"Chickasaw County","300","295","294","293","298"
"George County","280","279","279","279","280"
"Holmes County","280","280","280","280","279"
"Issaquena County","274","275","275","275","274"
"Jefferson County","280","280","280","280","279"
"Kemper County","355","340","340","340","339"
"Leake County","280","278","278","278","279"
"Marion County","280","280","280","280","280"
"Stone County","280","281","281","281","279"
"Washington County","300","228","228","228","234"
"Winston County","280","278","278","278","279"
"Yazoo County","300","301","300","300","300"
"PRIVATE PRISONS","5,972","4,194","4,193","4,192","4,188"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,362","1,362","1,361","1,358"
"Marshall County","1,000","974","974","974","978"
"Walnut Grove","1,500","972","971","971","966"
"Wilkinson County","1,000","886","886","886","886"
"RESTITUTION CENTERS","16","10","10","10","9"
"Greenwood","6","6","6","6","5"
"Hinds","6","3","3","3","3"
"Pascagoula","4","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","11","10","4","12"
"TOTALS","25,553","21,883","21,876","21,880","21,782"
"","","28-Apr-12","29-Apr-12","30-Apr-12",""
