"Location","Capacity","28-Oct-10","29-Oct-10","30-Oct-10","31-Oct-10","Avg Population"
"Mississippi State Penitentiary","4,435","3,285","3,287","3,283","3,279","3,259"
"Central Mississippi Correctional Facility","3,449","3,203","3,147","3,142","3,139","3,144"
"South Mississippi Correctional Institution","3,204","3,175","3,175","3,175","3,170","3,170"
"County Jails","1,539","1,577","1,594","1,594","1,594","1,608"
"COMMUNITY WORK CENTERS","1,848","1,530","1,511","1,506","1,506","1,517"
"Alcorn Satellite Facility","92","74","71","71","71","70"
"Bolivar Satellite Facility","102","81","81","81","81","81"
"Forrest Satellite Facility","96","75","75","73","73","73"
"George Satellite Facility","102","88","89","88","88","89"
"Harrison Satellite Facility","102","77","77","77","77","81"
"Jackson Satellite Facility","102","75","73","72","73","76"
"Jefferson Satellite Facility","102","87","86","86","86","85"
"Leflore Satellite Facility","102","78","78","78","78","79"
"Madison Satellite Facility","102","99","95","95","95","94"
"Noxubee Satellite Facility","92","82","80","80","80","86"
"Pike Satellite Facility","93","80","80","80","80","81"
"Quitman Satellite Facility","93","73","70","70","70","73"
"Rankin Satellite Facility","260","217","214","213","212","216"
"Simpson Satellite Facility","102","97","95","95","95","89"
"Washington Satellite Facility","102","82","78","78","78","81"
"Wilkinson Satellite Facility","102","70","68","69","69","68"
"Yazoo Satellite Facility","102","95","101","100","100","97"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,007","3,008","3,008","3,008","3,004"
"Bolivar County","294","233","235","235","235","234"
"Carroll County","280","225","225","225","225","224"
"Chickasaw County","300","240","240","240","240","239"
"George County","280","222","224","224","224","223"
"Holmes County","280","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219"
"Jefferson County","280","224","224","224","224","223"
"Kemper County","355","284","283","283","283","283"
"Leake County","280","224","223","223","223","224"
"Marion County","280","224","224","224","224","224"
"Stone County","280","224","224","224","224","223"
"Winston County","280","224","223","223","223","223"
"Yazoo County","300","240","240","240","240","240"
"PRIVATE PRISONS","5,972","5,277","5,293","5,287","5,280","5,312"
"Delta","972","903","903","903","903","901"
"East Mississippi","1,500","1,359","1,362","1,361","1,359","1,360"
"Marshall County","1,000","948","947","946","943","935"
"Walnut Grove","1,500","1,200","1,204","1,201","1,200","1,198"
"Wilkinson County","1,000","867","877","876","875","918"
"RESTITUTION CENTERS","16","10","11","11","11","10"
"Greenwood","6","5","5","5","5","5"
"Hinds","6","3","4","4","4","3"
"Pascagoula","4","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","9","29","29","9","20"
"TOTALS","24,232","21,078","21,060","21,040","21,001","21,048"
