"Location","Capacity","10-Oct-07","11-Oct-07","12-Oct-07","13-Oct-07","14-Oct-07","15-Oct-07","16-Oct-07","17-Oct-07","18-Oct-07"
"Mississippi State Penitentiary","4,527","4,354","4,350","4,370","4,367","4,364","4,357","4,365","4,367","4,371"
"Central Mississippi Correctional Facility","3,425","3,462","3,468","3,435","3,436","3,437","3,438","3,467","3,472","3,465"
"South Mississippi Correctional Institution","3,084","2,900","2,920","2,923","2,919","2,921","2,921","2,910","2,925","2,941"
"County Jails","1,597","1,910","1,910","1,901","1,901","1,901","1,907","1,916","1,903","1,901"
"COMMUNITY WORK CENTERS","1,816","1,781","1,777","1,737","1,735","1,733","1,784","1,781","1,778","1,777"
"Alcorn Satellite Facility","92","92","92","84","84","84","92","91","91","91"
"Bolivar Satellite Facility","102","101","101","98","98","98","99","98","97","101"
"Forrest Satellite Facility","96","95","94","88","88","88","94","93","95","95"
"George Satellite Facility","102","99","99","98","97","96","97","97","101","101"
"Harrison Satellite Facility","102","95","95","98","98","98","99","98","95","97"
"Jackson Satellite Facility","102","98","97","95","95","95","102","102","102","102"
"Jefferson Satellite Facility","102","99","99","100","100","100","102","102","102","102"
"Leflore Satellite Facility","102","101","102","93","93","93","102","102","102","102"
"Madison Satellite Facility","102","102","102","99","99","99","99","99","99","98"
"Noxubee Satellite Facility","92","90","91","89","89","89","91","91","90","90"
"Pike Satellite Facility","93","93","93","90","90","90","93","93","92","91"
"Quitman Satellite Facility","93","90","90","90","90","90","91","91","88","86"
"Rankin Satellite Facility","228","222","220","219","219","218","220","220","220","220"
"Simpson Satellite Facility","102","101","100","99","99","99","100","101","101","101"
"Washington Satellite Facility","102","101","101","97","96","96","100","100","100","100"
"Wilkinson Satellite Facility","102","100","100","102","102","102","102","102","102","99"
"Yazoo Satellite Facility","102","102","101","98","98","98","101","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,086","3,089","3,087","3,084","3,081","3,079","3,080","3,084","3,080"
"Bolivar County","294","292","294","294","294","293","294","293","294","292"
"Carroll County","280","280","280","280","280","280","280","280","280","278"
"George County","280","279","280","280","279","279","278","278","278","277"
"Holmes County","280","280","280","280","280","279","279","280","280","280"
"Issaquena County","274","276","276","275","275","275","272","273","274","274"
"Jefferson County","280","280","280","280","280","280","279","279","279","280"
"Kemper County","280","280","280","279","279","279","280","279","280","280"
"Leake County","280","280","280","280","279","279","279","280","280","280"
"Marion County","280","280","280","279","279","279","279","280","281","280"
"Stone County","280","279","279","280","279","278","279","279","279","279"
"Winston County","280","280","280","280","280","280","280","279","279","280"
"PRIVATE PRISONS","4,972","4,776","4,766","4,776","4,773","4,772","4,778","4,776","4,780","4,783"
"Delta","972","969","970","970","970","970","971","969","967","970"
"East Mississippi","1,000","889","882","888","888","888","887","887","887","887"
"Marshall County","1,000","997","993","992","991","991","996","994","994","994"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","925","926","929","928","927","928","930","937","935"
"Wilkinson County","1,000","996","995","997","996","996","996","996","995","997"
"RESTITUTION CENTERS","16","13","13","12","12","12","12","12","12","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","3","3","3","3","3","3","1"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","8","7","59","60","56","4","6","4","5"
"TOTALS","22,531","22,295","22,305","22,305","22,292","22,282","22,285","22,318","22,330","22,338"
"","","10-Oct-07","11-Oct-07","12-Oct-07","13-Oct-07","14-Oct-07","15-Oct-07","16-Oct-07","17-Oct-07","18-Oct-07"
