"Location","Capacity","19-May-16","","20-May-16 21-May-16 22-May-16 23-May-16 24-May-16 25-May-16 26-May-16 27-May-16","","","","","",""
"Mississippi State Penitentiary","3,590","3,382","3,383","3,382","3,383","3,377","3,396","3,398","3,393","3,415"
"Central Mississippi Correctional Facility","3,506","2,930","2,943","2,943","2,944","2,963","2,947","2,963","2,986","2,948"
"Youthful Offender Unit","58","32","31","31","31","31","31","30","31","32"
"CMCF TVC","","5","4","4","4","4","4","5","5","8"
"South Mississippi Correctional Institution","3,082","3,004","2,995","2,996","2,994","2,992","3,003","3,003","3,002","3,005"
"County Jails","1,986","1,472","1,463","1,463","1,463","1,447","1,430","1,427","1,428","1,446"
"COMMUNITY WORK CENTERS","1,848","1,168","1,151","1,151","1,146","1,166","1,161","1,160","1,167","1,187"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","23","21","21","21","22","22","22","22","22"
"Forrest Satellite Facility","96","78","74","74","74","78","78","77","78","75"
"George Satellite Facility","102","87","84","84","83","86","86","84","84","89"
"Harrison Satellite Facility","102","77","74","74","74","77","75","76","76","78"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC","82","70","75","75","74","75","72","72","71","82"
"Lefore TVC Support","20","19","18","18","18","19","19","19","19","19"
"Madison Satellite Facility","102","93","91","91","91","91","91","91","91","93"
"Noxubee Satellite Facility","92","92","86","86","86","90","90","90","92","92"
"Pike Satellite Facility","93","86","85","85","85","85","85","85","90","90"
"Quitman Satellite Facility","93","85","81","81","80","84","84","86","85","85"
"Rankin Satellite Facility","260","170","166","166","166","169","173","173","173","172"
"Flowood TVC","","30","34","34","34","34","34","34","33","34"
"Simpson TVC support","20","15","15","15","15","14","14","14","14","14"
"Simpson TVC","82","76","81","81","79","77","75","74","73","76"
"Washington Satellite Facility","102","101","101","101","101","101","99","99","99","99"
"Wilkinson Satellite Facility","102","66","65","65","65","64","64","64","67","67"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,410","3,413","3,413","3,411","3,413","3,413","3,410","3,408","3,407"
"Alcorn County","240","240","240","240","240","239","239","240","240","240"
"Bolivar County","369","291","290","290","290","292","292","293","292","291"
"Carroll County","280","240","240","240","240","240","239","238","239","239"
"Chickasaw County","300","240","240","240","240","240","240","238","240","240"
"George County","280","199","200","200","200","200","200","199","200","199"
"Holmes County","280","200","198","198","198","200","200","200","199","199"
"Issaquena County","274","240","240","240","239","240","240","240","240","240"
"Jefferson County","280","238","239","239","238","239","240","240","240","240"
"Kemper County","355","259","260","260","260","259","259","259","259","259"
"Leake County","280","197","199","199","199","199","199","200","197","197"
"Marion County","280","203","203","203","203","203","203","203","203","202"
"Stone County","280","199","200","200","200","200","200","199","199","198"
"Washington County","300","225","225","225","225","224","224","224","227","227"
"Winston County","280","199","200","200","200","199","200","199","198","198"
"Yazoo County","300","240","239","239","239","239","238","238","235","238"
"PRIVATE PRISONS","5,972","3,920","3,910","3,909","3,907","3,902","3,924","3,927","3,925","3,925"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,094","1,094","1,093","1,092","1,090","1,090","1,089","1,088","1,096"
"Marshall County","1,000","998","996","996","996","995","994","999","999","999"
"Walnut Grove","1,500","930","926","926","925","923","939","939","938","928"
"Wilkinson County","1,000","898","894","894","894","894","901","900","900","902"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","24,436","19,336","19,306","19,305","19,296","19,308","19,322","19,337","19,359","19,387"
"","","19-May-16","","20-May-16 21-May-16 22-May-16 23-May-16 24-May-16 25-May-16 26-May-16 27-May-16","","","","","",""
