"Location","Capacity","28-Aug-15","29-Aug-15","30-Aug-15","","31-Aug-15 Avg Population"
"Mississippi State Penitentiary","4,648","3,102","3,102","3,102","","3,100"
"MSP TVC","108","84","84","84","","86"
"Central Mississippi Correctional Facility","3,469","2,455","2,455","2,455","","2,476"
"Youthful Offender Unit","58","29","29","29","","24"
"CMCF TVC","158","129","129","129","","126"
"South Mississippi Correctional Institution","3,282","2,528","2,528","2,528","","2,526"
"SMCI TVC","0","96","96","96","","95"
"County Jails","2,006","1,071","1,071","1,071","","1,098"
"COMMUNITY WORK CENTERS","1,848","1,187","1,174","1,174","0","1,168"
"Alcorn Satellite Facility","92","91","91","91","","79"
"Bolivar Satellite Facility","102","66","66","66","","61"
"Forrest Satellite Facility","96","53","52","52","","53"
"George Satellite Facility","102","49","48","48","","47"
"Harrison Satellite Facility","102","50","49","49","","49"
"Jackson Satellite Facility","102","53","52","52","","59"
"Jefferson Satellite Facility","102","0","0","0","","0"
"Leflore Satellite Facility","102","74","73","73","","73"
"Madison Satellite Facility","102","59","58","58","","65"
"Noxubee Satellite Facility","92","75","74","74","","74"
"Pike Satellite Facility","93","81","80","80","","75"
"Quitman Satellite Facility","93","66","65","65","","70"
"Rankin Satellite Facility","260","182","182","182","","184"
"Simpson Satellite Facility","102","90","89","89","","86"
"Washington Satellite Facility","102","73","72","72","","69"
"Wilkinson Satellite Facility","102","53","52","52","","53"
"Yazoo Satellite Facility","102","72","71","71","","72"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,192","4,186","4,184","0","4,213"
"Alcorn County","300","301","300","300","","300"
"Bolivar County","369","348","347","347","","353"
"Carroll County","280","263","262","262","","271"
"Chickasaw County","300","298","297","297","","299"
"George County","280","267","266","266","","273"
"Holmes County","280","280","279","279","","270"
"Issaquena County","274","266","266","266","","263"
"Jefferson County","280","261","261","260","","265"
"Kemper County","355","335","335","334","","343"
"Leake County","280","267","267","267","","266"
"Marion County","280","264","264","264","","270"
"Stone County","280","280","280","280","","278"
"Washington County","300","209","209","209","","210"
"Winston County","280","267","267","267","","266"
"Yazoo County","300","286","286","286","","287"
"PRIVATE PRISONS","5,972","3,880","3,880","3,880","0","3,838"
"Delta","972","0","0","0","","0"
"East Mississippi","1,500","1,123","1,123","1,123","","1,128"
"Marshall County","1,000","997","997","997","","995"
"Walnut Grove","1,500","926","926","926","","922"
"Wilkinson County","1,000","834","834","834","","793"
"RESTITUTION CENTERS","16","11","11","11","0","12"
"Greenwood","6","4","4","4","","4"
"Hinds","6","4","4","4","","5"
"Pascagoula","4","3","3","3","","3"
"TOTALS","25,737","18,764","18,745","18,743","0","18,762"
