"Location","Capacity","10-Jul-16","11-Jul-16","12-Jul-16","13-Jul-16","14-Jul-16","15-Jul-16","16-Jul-16","17-Jul-16","18-Jul-16"
"Mississippi State Penitentiary","3,590","3,399","3,397","3,385","3,388","3,396","3,393","3,393","3,391","3,398"
"Central Mississippi Correctional Facility","3,506","3,085","3,123","3,152","3,197","3,192","3,180","3,180","3,178","3,181"
"Youthful Offender Unit","58","33","31","31","31","31","31","31","31","32"
"CMCF TVC","","8","8","8","8","8","13","13","13","11"
"South Mississippi Correctional Institution","3,082","2,990","2,983","2,978","2,983","2,982","2,992","2,993","2,992","2,997"
"County Jails","1,986","1,566","1,561","1,552","1,516","1,535","1,513","1,513","1,512","1,514"
"COMMUNITY WORK CENTERS","1,848","1,098","1,111","1,095","1,089","1,076","1,076","1,076","1,069","1,079"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","68","71","68","68","66","71","71","71","76"
"George Satellite Facility","102","91","92","91","91","90","80","80","80","81"
"Harrison Satellite Facility","102","71","70","68","69","68","67","67","67","68"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","60","57","53","52","50","65","65","59","56"
"Leflore TVC Support","20","19","19","19","19","19","18","18","18","19"
"Madison Satellite Facility","102","90","96","96","96","96","93","93","93","95"
"Noxubee Satellite Facility","92","81","87","87","87","85","84","84","84","83"
"Pike Satellite Facility","93","89","90","91","91","91","91","91","91","90"
"Quitman Satellite Facility","93","91","90","90","90","89","83","83","83","87"
"Rankin Satellite Facility","260","170","171","169","168","171","165","165","165","166"
"Flowood TVC","","27","27","26","25","26","27","27","27","26"
"Simpson TVC","82","63","63","61","57","52","62","62","61","60"
"Simpson TVC Support","20","16","16","16","16","16","15","15","15","15"
"Washington Satellite Facility","102","94","93","91","91","89","87","87","87","89"
"Wilkinson Satellite Facility","102","68","69","69","69","68","68","68","68","68"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,506","3,493","3,495","3,497","3,495","3,500","3,500","3,497","3,502"
"Alcorn County","240","239","240","240","239","238","239","239","239","238"
"Bolivar County","369","293","291","290","294","293","292","292","292","294"
"Carroll County","280","239","237","240","240","240","240","240","240","239"
"Chickasaw County","300","240","240","239","238","237","240","240","240","240"
"George County","280","200","198","198","197","197","200","200","200","200"
"Holmes County","280","197","197","200","200","200","200","200","199","199"
"Issaquena County","274","268","267","270","270","270","269","269","268","270"
"Jefferson County","280","270","269","270","268","266","265","265","265","271"
"Kemper County","355","260","260","258","257","259","258","258","258","260"
"Leake County","280","199","198","199","199","200","200","200","200","200"
"Marion County","280","200","199","198","198","199","198","198","197","196"
"Stone County","280","240","240","240","240","241","241","241","241","239"
"Washington County","300","222","221","220","220","220","220","220","220","219"
"Winston County","280","199","198","198","198","197","198","198","198","198"
"Yazoo County","300","240","238","235","239","238","240","240","240","239"
"PRIVATE PRISONS","5,972","3,868","3,863","3,850","3,849","3,846","3,846","3,847","3,845","3,851"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,141","1,140","1,138","1,135","1,134","1,146","1,147","1,146","1,153"
"Marshall County","1,000","999","999","997","998","997","1,001","1,001","1,001","1,001"
"Walnut Grove","1,500","830","827","818","815","814","812","812","811","811"
"Wilkinson County","1,000","898","897","897","901","901","887","887","887","886"
"RESTITUTION CENTERS","16","13","16","16","16","15","15","15","15","15"
"Greenwood","6","4","5","5","5","4","4","4","4","4"
"Hinds","6","5","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","5","5","5","5","5","5","5","5"
"TOTALS","24,436","19,566","19,586","19,562","19,574","19,576","19,559","19,561","19,543","19,580"
"","","10-Jul-16","11-Jul-16","12-Jul-16","13-Jul-16","14-Jul-16","15-Jul-16","16-Jul-16","17-Jul-16","18-Jul-16"
