"Location","Capacity","14-Jun-05","15-Jun-05","16-Jun-05","17-Jun-05","18-Jun-05","19-Jun-05","20-Jun-05","21-Jun-05","22-Jun-05","23-Jun-05","24-Jun-05","25-Jun-05","26-Jun-05"
"Mississippi State Penitentiary","4,630","4,579","4,604","4,603","4,610","4,611","4,611","4,629","4,622","4,610","4,624","4,617","4,609","4,606"
"Central Mississippi Correctional Facility","3,233","3,147","3,126","3,137","3,135","3,133","3,132","3,121","3,144","3,158","3,134","3,132","3,130","3,130"
"South Mississippi Correctional Institution","2,214","2,202","2,203","2,200","2,195","2,195","2,194","2,202","2,198","2,195","2,203","2,182","2,180","2,177"
"County Jails","2,329","1,699","1,709","1,671","1,647","1,647","1,647","1,653","1,655","1,660","1,687","1,686","1,686","1,686"
"COMMUNITY WORK CENTERS","1,816","1,685","1,682","1,678","1,613","1,610","1,610","1,667","1,667","1,676","1,672","1,621","1,615","1,615"
"Alcorn Satellite Facility","92","90","90","88","83","83","83","88","88","92","92","89","89","89"
"Bolivar Satellite Facility","102","94","95","100","93","93","93","98","97","99","99","93","93","93"
"Forrest Satellite Facility","96","91","91","95","94","94","94","93","92","92","92","92","92","91"
"George Satellite Facility","102","90","89","96","94","93","93","94","93","93","94","89","89","89"
"Harrison Satellite Facility","102","99","98","98","92","92","92","97","96","96","96","93","93","93"
"Jackson Satellite Facility","102","100","99","98","95","95","95","98","99","99","99","96","95","96"
"Jefferson Satellite Facility","102","82","84","78","74","74","74","77","76","76","75","77","77","77"
"Leflore Satellite Facility","102","100","100","97","91","90","90","96","95","95","95","88","88","88"
"Madison Satellite Facility","102","102","101","99","95","95","95","98","98","98","94","94","94","94"
"Noxubee Satellite Facility","92","89","88","86","83","83","83","86","86","88","88","83","83","83"
"Pike Satellite Facility","93","85","84","85","84","83","83","85","85","85","85","83","82","82"
"Quitman Satellite Facility","93","80","81","79","76","76","75","78","78","79","79","75","74","74"
"Rankin Satellite Facility","228","210","211","210","204","204","205","209","214","214","214","207","206","206"
"Simpson Satellite Facility","102","99","99","95","93","93","93","98","98","98","97","97","97","97"
"Washington Satellite Facility","102","92","90","91","88","88","88","89","89","89","90","89","88","88"
"Wilkinson Satellite Facility","102","84","84","86","79","79","79","86","86","86","87","84","83","83"
"Yazoo Satellite Facility","102","98","98","97","95","95","95","97","97","97","96","92","92","92"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,742","2,736","2,730","2,737","2,737","2,737","2,739","2,736","2,733","2,731","2,739","2,739","2,737"
"Bolivar County","250","250","250","249","250","250","250","250","250","250","250","250","250","250"
"Carroll County","250","250","249","249","249","249","249","250","250","250","249","249","249","249"
"George County","250","248","250","250","250","250","250","250","250","248","249","250","250","250"
"Holmes County","250","250","250","250","250","250","250","250","250","250","250","250","250","249"
"Issaquena County","250","248","247","242","249","249","249","249","248","246","245","249","249","248"
"Jefferson County","250","247","249","249","249","250","250","250","248","248","247","250","250","250"
"Kemper County","250","249","243","243","242","242","242","242","241","241","243","242","242","242"
"Leake County","250","250","250","250","250","249","249","250","250","250","250","250","250","250"
"Marion County","250","250","248","248","249","249","249","249","249","250","249","249","249","249"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","249","249","249","249","250","250","249","250","250","250"
"PRIVATE PRISONS","5,088","4,847","4,856","4,852","4,853","4,851","4,848","4,848","4,852","4,850","4,852","4,851","4,849","4,847"
"Delta","960","960","960","959","958","957","956","959","959","959","959","960","960","960"
"East Mississippi","1,000","872","871","871","874","874","873","873","872","872","875","875","875","875"
"Marshall County","1,000","993","993","994","993","992","992","993","995","994","993","995","994","994"
"Tallahatchie County","128","124","128","128","128","128","128","128","128","128","128","127","126","126"
"Walnut Grove","1,000","909","911","907","907","907","907","905","905","905","905","904","904","903"
"Wilkinson County","1,000","989","993","993","993","993","992","990","993","992","992","990","990","989"
"RESTITUTION CENTERS","16","15","15","15","15","15","15","15","15","15","15","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","4","5","65","65","65","6","5","4","5","62","61","60"
"TOTALS","22,082","20,928","20,940","20,896","20,875","20,869","20,864","20,885","20,899","20,906","20,928","20,909","20,888","20,877"
"","","14-Jun-05","15-Jun-05","16-Jun-05","17-Jun-05","18-Jun-05","19-Jun-05","20-Jun-05","21-Jun-05","22-Jun-05","23-Jun-05","24-Jun-05","25-Jun-05","26-Jun-05"
