"Location","Capacity","1-Oct-13","2-Oct-13","3-Oct-13","4-Oct-13","5-Oct-13","6-Oct-13","7-Oct-13","8-Oct-13","9-Oct-13"
"Mississippi State Penitentiary","4,648","3,372","3,373","3,386","3,375","3,372","3,370","3,367","3,363","3,369"
"Central Mississippi Correctional Facility","3,557","3,332","3,327","3,284","3,292","3,288","3,290","3,300","3,280","3,273"
"Youthful Offender Unit","42","38","38","39","39","39","39","39","39","40"
"South Mississippi Correctional Institution","3,282","3,226","3,229","3,230","3,229","3,226","3,226","3,230","3,232","3,230"
"County Jails","1,882","2,294","2,297","2,268","2,279","2,279","2,277","2,250","2,256","2,244"
"COMMUNITY WORK CENTERS","1,848","1,405","1,398","1,400","1,380","1,376","1,385","1,408","1,425","1,427"
"Alcorn Satellite Facility","92","91","91","87","87","87","87","83","87","86"
"Bolivar Satellite Facility","102","70","70","70","69","69","69","69","67","71"
"Forrest Satellite Facility","96","71","70","65","63","63","63","66","68","68"
"George Satellite Facility","102","63","63","61","62","62","62","63","63","63"
"Harrison Satellite Facility","102","84","84","87","81","81","81","87","86","84"
"Jackson Satellite Facility","102","75","74","69","67","65","66","67","68","72"
"Jefferson Satellite Facility","102","69","69","72","71","71","71","69","72","72"
"Leflore Satellite Facility","102","68","67","70","70","69","68","71","71","71"
"Madison Satellite Facility","102","77","77","76","76","76","76","75","75","75"
"Noxubee Satellite Facility","92","73","73","74","75","74","74","76","76","76"
"Pike Satellite Facility","93","93","93","93","90","90","90","93","93","93"
"Quitman Satellite Facility","93","76","74","81","81","81","81","83","83","86"
"Rankin Satellite Facility","260","215","214","216","215","215","217","229","229","224"
"Simpson Satellite Facility","102","101","101","100","99","99","101","100","102","102"
"Washington Satellite Facility","102","71","71","73","73","73","71","73","71","70"
"Wilkinson Satellite Facility","102","48","46","45","44","44","48","44","49","49"
"Yazoo Satellite Facility","102","60","61","61","57","57","60","60","65","65"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,432","4,430","4,431","4,425","4,415","4,432","4,416","4,427","4,427"
"Alcorn County","300","296","295","300","300","299","296","299","299","298"
"Bolivar County","369","368","368","366","365","365","368","365","369","367"
"Carroll County","280","280","280","279","278","278","280","279","280","279"
"Chickasaw County","300","298","300","298","300","300","298","299","299","300"
"George County","280","280","279","279","278","278","280","277","278","277"
"Holmes County","280","280","280","280","280","278","280","278","280","280"
"Issaquena County","274","273","274","274","272","271","273","272","274","273"
"Jefferson County","280","281","281","281","282","282","281","282","279","282"
"Kemper County","355","355","353","355","354","353","355","355","355","355"
"Leake County","280","280","280","280","280","280","280","274","279","277"
"Marion County","280","280","280","280","281","280","280","280","280","280"
"Stone County","280","281","281","281","281","281","281","281","281","281"
"Washington County","300","299","299","297","296","296","299","296","296","298"
"Winston County","280","280","279","280","278","277","280","279","278","280"
"Yazoo County","300","301","301","301","300","297","301","300","300","300"
"PRIVATE PRISONS","5,972","4,387","4,395","4,419","4,414","4,412","4,387","4,414","4,421","4,420"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,198","1,199","1,202","1,201","1,200","1,198","1,199","1,198","1,199"
"Marshall County","1,000","998","998","1,000","998","998","998","998","997","996"
"Walnut Grove","1,500","1,299","1,305","1,319","1,317","1,316","1,299","1,314","1,323","1,322"
"Wilkinson County","1,000","892","893","898","898","898","892","903","903","903"
"RESTITUTION CENTERS","16","10","10","11","11","11","10","11","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","3","3","3","2","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,496","22,497","22,468","22,444","22,418","22,416","22,435","22,454","22,441"
