"Location","Capacity","1-May-04","2-May-04","3-May-04","4-May-04","5-May-04","6-May-04","7-May-04","8-May-04","9-May-04","10-May-04","11-May-04","12-May-04","13-May-04"
"MS STATE PENITENTIARY (See note at bottom)","5,396","5,383","5,383","5,383","5,341","5,344","5,320","5,320","5,316","5,316","5,300","5,272","5,243","5,188"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,164","3,164","3,158","3,160","3,160","3,164","3,171","3,168","3,168","3,171","3,189","3,200","3,172"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,173","2,174","2,187","2,186","2,194","2,188","2,185","2,185","2,185","2,184","2,177","2,159","2,183"
"COUNTY JAILS","2,224","2,129","2,129","2,161","2,142","2,133","2,133","2,107","2,107","2,107","2,116","2,109","2,112","2,132"
"COMMUNITY WORK CENTERS","1,816","1,703","1,703","1,725","1,734","1,731","1,725","1,697","1,696","1,696","1,726","1,726","1,722","1,730"
"Alcorn Satellite Facility","92","90","90","90","89","89","89","86","86","86","90","89","92","92"
"Bolivar Satellite Facility","102","96","96","101","101","100","100","100","100","100","102","102","99","97"
"Forrest Satellite Facility","96","92","92","95","94","92","91","90","90","90","95","95","95","95"
"George Satellite Facility","102","95","95","97","98","96","96","95","95","95","97","97","100","100"
"Harrison Satellite Facility","102","100","100","100","100","100","98","96","96","96","97","102","100","99"
"Jackson Satellite Facility","102","93","93","93","95","95","94","98","98","98","100","101","99","97"
"Jefferson Satellite Facility","102","96","96","95","100","101","101","96","96","96","102","102","102","102"
"Leflore Satellite Facility","102","99","99","100","101","101","101","98","98","98","99","99","101","101"
"Madison Satellite Facility","102","101","101","101","102","102","102","99","99","99","101","100","100","102"
"Noxubee Satellite Facility","92","89","89","89","92","92","92","91","91","91","91","91","91","91"
"Pike Satellite Facility","93","71","71","71","71","71","71","71","71","71","71","71","71","71"
"Quitman Satellite Facility","93","80","80","79","79","79","79","78","78","78","79","79","79","80"
"Rankin Satellite Facility","228","212","212","214","213","217","216","212","211","211","214","212","212","211"
"Simpson Satellite Facility","102","102","102","102","102","102","102","99","99","99","98","97","99","98"
"Washington Satellite Facility","102","101","101","101","101","101","101","96","96","96","97","97","95","95"
"Wilkinson Satellite Facility","102","84","84","97","96","94","93","93","93","93","93","91","89","98"
"Yazoo Satellite Facility","102","102","102","100","100","99","99","99","99","99","100","101","98","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,745","2,745","2,734","2,742","2,746","2,742","2,742","2,742","2,742","2,749","2,747","2,743","2,741"
"Bolivar County","250","250","250","249","249","249","249","249","249","249","250","250","250","250"
"Carroll County","250","250","250","249","251","251","249","249","249","249","250","249","249","249"
"George County","250","250","250","248","250","250","249","249","249","249","250","250","249","249"
"Holmes County","250","249","249","248","249","249","250","250","250","250","249","249","250","250"
"Issaquena County","250","249","249","249","247","249","248","250","250","250","250","251","248","248"
"Jefferson County","250","250","250","250","249","250","250","250","250","250","250","250","248","248"
"Kemper County","250","250","250","248","248","250","250","249","249","249","250","249","249","249"
"Leake County","250","250","250","248","250","249","250","250","250","250","250","250","250","250"
"Marion County","250","248","248","247","250","250","249","249","249","249","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","249","250","250"
"Winston County","250","249","249","248","249","249","248","247","247","247","250","250","250","248"
"PRIVATE PRISONS","4,700","3,821","3,821","3,820","3,866","3,864","3,900","3,903","3,903","3,903","3,900","3,939","3,938","3,981"
"Delta       (Reopened 04-01-04)","950","395","395","395","439","438","482","480","480","480","478","522","522","568"
"East MS","1,000","725","725","724","724","723","723","729","729","729","729","728","728","727"
"Marshall County","1,000","994","994","992","993","995","995","995","995","995","994","993","993","992"
"Walnut Grove","750","716","716","714","715","714","708","705","705","705","705","703","700","701"
"Wilkinson County","1,000","991","991","995","995","994","992","994","994","994","994","993","995","993"
"RESITITUTION CENTERS","24","14","14","14","14","14","14","14","14","14","14","14","14","15"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5","6"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","28","27","9","9","7","8","39","39","39","7","7","7","7"
"TOTALS","22,363","21,165","21,165","21,196","21,199","21,198","21,199","21,183","21,175","21,175","21,172","21,185","21,143","21,154"
