"Location","Capacity","28-Mar-06","29-Mar-06","30-Mar-06","31-Mar-06"
"Mississippi State Penitentiary","4,529","4,397","4,413","4,406","4,418"
"Central Mississippi Correctional Facility","3,233","3,213","3,199","3,221","3,199"
"South Mississippi Correctional Institution","2,066","2,014","1,994","2,002","1,996"
"County Jails","2,167","1,718","1,759","1,768","1,808"
"COMMUNITY WORK CENTERS","1,816","1,675","1,681","1,688","1,710"
"Alcorn Satellite Facility","92","90","90","91","88"
"Bolivar Satellite Facility","102","94","92","95","97"
"Forrest Satellite Facility","96","92","91","91","91"
"George Satellite Facility","102","92","93","93","93"
"Harrison Satellite Facility","102","97","97","97","99"
"Jackson Satellite Facility","102","100","100","100","100"
"Jefferson Satellite Facility","102","82","91","90","94"
"Leflore Satellite Facility","102","95","91","92","89"
"Madison Satellite Facility","102","95","94","93","99"
"Noxubee Satellite Facility","92","78","83","83","87"
"Pike Satellite Facility","93","79","80","80","78"
"Quitman Satellite Facility","93","82","80","79","76"
"Rankin Satellite Facility","228","224","224","226","225"
"Simpson Satellite Facility","102","89","89","87","97"
"Washington Satellite Facility","102","94","94","99","99"
"Wilkinson Satellite Facility","102","99","99","100","101"
"Yazoo Satellite Facility","102","93","93","92","97"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,049","3,051","3,054","3,034"
"Bolivar County","294","293","293","293","294"
"Carroll County","280","279","280","280","280"
"George County","280","280","278","281","280"
"Holmes County","280","277","280","280","279"
"Issaquena County","274","274","274","274","274"
"Jefferson County","250","249","250","250","249"
"Kemper County","280","277","277","279","278"
"Leake County","280","280","280","280","280"
"Marion County","280","280","279","279","279"
"Stone County","280","280","280","278","279"
"Winston County","280","280","280","280","262"
"PRIVATE PRISONS","5,100","4,770","4,779","4,771","4,768"
"Delta","972","970","970","968","969"
"East Mississippi","1,000","863","863","863","863"
"Marshall County","1,000","995","994","994","992"
"Tallahatchie County","128","127","128","127","127"
"Walnut Grove","1,000","916","927","927","928"
"Wilkinson County","1,000","899","897","892","889"
"RESTITUTION CENTERS","16","12","12","12","12"
"Greenwood","6","3","3","3","3"
"Hinds","6","5","5","5","5"
"Pascagoula","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","11","12","11","21"
"TOTALS","21,991","20,864","20,905","20,938","20,971"
