"Location","Capacity","19-Nov-08","20-Nov-08","21-Nov-08","22-Nov-08","23-Nov-08","24-Nov-08","25-Nov-08","26-Nov-08","27-Nov-08"
"Mississippi State Penitentiary","4,435","3,834","3,862","3,870","3,860","3,859","3,882","3,889","3,868","3,864"
"Central Mississippi Correctional Facility","3,665","3,767","3,753","3,745","3,745","3,747","3,729","3,750","3,722","3,719"
"South Mississippi Correctional Institution","3,204","3,108","3,106","3,114","3,112","3,111","3,109","3,108","3,109","3,106"
"County Jails","1,790","1,835","1,841","1,849","1,849","1,849","1,820","1,815","1,814","1,813"
"COMMUNITY WORK CENTERS","1,848","1,804","1,803","1,813","1,808","1,808","1,808","1,807","1,822","1,822"
"Alcorn Satellite Facility","92","90","89","91","91","91","91","92","91","91"
"Bolivar Satellite Facility","102","100","99","102","102","102","102","101","101","101"
"Forrest Satellite Facility","96","94","94","94","94","94","93","93","95","95"
"George Satellite Facility","102","101","102","102","101","101","101","102","102","102"
"Harrison Satellite Facility","102","98","98","98","98","98","102","102","102","102"
"Jackson Satellite Facility","102","99","100","100","100","100","102","101","101","101"
"Jefferson Satellite Facility","102","102","100","100","99","99","101","101","101","101"
"Leflore Satellite Facility","102","101","101","101","101","101","101","101","101","101"
"Madison Satellite Facility","102","100","100","101","101","101","96","96","102","102"
"Noxubee Satellite Facility","92","92","92","92","91","91","90","90","91","91"
"Pike Satellite Facility","93","89","89","87","87","86","86","86","92","92"
"Quitman Satellite Facility","93","93","93","93","91","92","91","91","89","89"
"Rankin Satellite Facility","260","246","245","249","249","249","249","248","248","248"
"Simpson Satellite Facility","102","99","101","101","101","101","100","101","101","101"
"Washington Satellite Facility","102","99","99","102","102","102","102","102","102","102"
"Wilkinson Satellite Facility","102","101","99","98","98","98","99","99","102","102"
"Yazoo Satellite Facility","102","100","102","102","102","102","102","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,082","3,081","3,080","3,078","3,075","3,086","3,085","3,083","3,082"
"Bolivar County","294","292","292","290","290","290","294","294","294","294"
"Carroll County","280","281","280","280","280","280","280","280","280","280"
"George County","280","279","278","279","279","278","280","280","279","279"
"Holmes County","280","280","280","280","279","279","279","279","279","279"
"Issaquena County","274","272","273","273","273","273","274","273","271","271"
"Jefferson County","280","279","280","280","280","280","280","279","280","279"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","280","280","280","279","279","280","280","280","280"
"Marion County","280","280","280","280","280","278","279","280","280","280"
"Stone County","280","279","278","278","278","278","280","280","280","280"
"Winston County","280","280","280","280","280","280","280","280","280","280"
"PRIVATE PRISONS","5,972","5,522","5,529","5,536","5,533","5,529","5,532","5,534","5,571","5,570"
"Delta","972","969","968","971","970","969","973","973","972","972"
"East Mississippi","1,500","1,335","1,331","1,326","1,326","1,325","1,324","1,326","1,370","1,370"
"Marshall County","1,000","999","999","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,233","1,238","1,244","1,243","1,242","1,243","1,241","1,236","1,236"
"Wilkinson County","1,000","986","993","995","994","993","992","994","993","992"
"RESTITUTION CENTERS","16","14","14","13","13","13","13","13","12","12"
"Greenwood","6","5","5","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","8","10","7","9","8","9","9","14","15"
"TOTALS","24,024","22,980","23,005","23,033","23,013","23,005","22,994","23,016","23,021","23,009"
