"Location","Capacity","10-May-11","11-May-11","12-May-11","13-May-11","14-May-11","15-May-11","16-May-11","17-May-11","18-May-11"
"Mississippi State Penitentiary","3,356","3,160","3,170","3,158","3,140","3,140","3,140","3,145","3,149","3,148"
"Central Mississippi Correctional Facility","3,449","3,199","3,206","3,202","3,234","3,233","3,232","3,261","3,277","3,296"
"South Mississippi Correctional Institution","3,204","3,163","3,159","3,171","3,170","3,167","3,167","3,158","3,163","3,164"
"County Jails","1,680","1,857","1,867","1,822","1,791","1,791","1,791","1,794","1,766","1,767"
"COMMUNITY WORK CENTERS","1,848","1,468","1,479","1,516","1,485","1,486","1,485","1,507","1,495","1,498"
"Alcorn Satellite Facility","92","77","77","83","78","78","78","83","83","83"
"Bolivar Satellite Facility","102","69","69","80","78","78","78","78","76","76"
"Forrest Satellite Facility","96","85","83","83","79","79","79","83","82","85"
"George Satellite Facility","102","87","87","86","83","83","83","82","81","80"
"Harrison Satellite Facility","102","77","86","86","84","84","84","80","80","79"
"Jackson Satellite Facility","102","87","91","90","90","90","90","90","90","90"
"Jefferson Satellite Facility","102","69","69","81","80","80","79","80","80","78"
"Leflore Satellite Facility","102","80","79","91","88","88","88","88","88","87"
"Madison Satellite Facility","102","91","90","89","89","89","89","92","92","92"
"Noxubee Satellite Facility","92","78","78","78","76","76","76","78","76","76"
"Pike Satellite Facility","93","73","72","72","73","73","73","77","77","78"
"Quitman Satellite Facility","93","79","79","70","70","70","70","70","70","69"
"Rankin Satellite Facility","260","184","185","184","185","185","185","185","183","183"
"Simpson Satellite Facility","102","90","91","91","86","87","87","92","93","93"
"Washington Satellite Facility","102","76","75","86","82","82","82","84","83","83"
"Wilkinson Satellite Facility","102","80","80","78","77","77","77","77","76","76"
"Yazoo Satellite Facility","102","86","88","88","87","87","87","88","85","90"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,011","3,016","3,023","3,024","3,023","3,023","3,024","3,025","3,022"
"Bolivar County","294","235","235","235","234","234","234","234","234","234"
"Carroll County","280","224","224","224","224","224","224","224","224","223"
"Chickasaw County","300","237","237","246","250","250","250","250","250","250"
"George County","280","223","222","223","223","223","223","222","222","222"
"Holmes County","280","224","224","222","221","221","221","223","224","224"
"Issaquena County","274","218","219","218","218","218","218","219","219","217"
"Jefferson County","280","223","224","223","223","223","223","223","223","224"
"Kemper County","355","283","284","284","284","284","284","284","284","284"
"Leake County","280","222","224","223","222","222","222","223","224","224"
"Marion County","280","224","224","224","224","223","223","222","223","224"
"Stone County","280","224","224","224","224","224","224","223","222","220"
"Winston County","280","222","222","224","224","224","224","224","224","224"
"Yazoo County","300","252","253","253","253","253","253","253","252","252"
"PRIVATE PRISONS","5,972","5,157","5,157","5,152","5,150","5,150","5,147","5,145","5,151","5,142"
"Delta","972","901","900","899","899","899","899","901","902","901"
"East Mississippi","1,500","1,355","1,355","1,354","1,351","1,351","1,350","1,352","1,355","1,354"
"Marshall County","1,000","993","993","992","998","998","998","998","997","993"
"Walnut Grove","1,500","1,023","1,022","1,018","1,016","1,016","1,015","1,008","1,012","1,010"
"Wilkinson County","1,000","885","887","889","886","886","885","886","885","884"
"RESTITUTION CENTERS","16","6","6","6","6","5","5","8","8","8"
"Greenwood","6","3","3","3","4","3","3","6","6","6"
"Hinds","6","3","3","3","2","2","2","2","2","2"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","8","7","44","44","44","9","8","10"
"TOTALS","23,294","21,031","21,073","21,062","21,049","21,044","21,039","21,056","21,047","21,060"
