"Location","Capacity","28-Oct-07","29-Oct-07","30-Oct-07","31-Oct-07","","Avg Population"
"Mississippi State Penitentiary","4,527","4,356","4,365","4,360","4,363","","4,371"
"Central Mississippi Correctional Facility","3,425","3,501","3,492","3,491","3,509","","3,472"
"South Mississippi Correctional Institution","3,084","2,919","2,939","2,949","2,962","","2,904"
"County Jails","1,597","1,904","1,871","1,849","1,815","","1,903"
"COMMUNITY WORK CENTERS","1,816","1,716","1,770","1,782","1,783","","1,751"
"Alcorn Satellite Facility","92","87","91","91","92","","89"
"Bolivar Satellite Facility","102","94","100","101","102","","99"
"Forrest Satellite Facility","96","93","94","95","95","","93"
"George Satellite Facility","102","101","101","101","101","","99"
"Harrison Satellite Facility","102","99","101","101","100","","97"
"Jackson Satellite Facility","102","97","99","99","99","","99"
"Jefferson Satellite Facility","102","93","101","101","100","","99"
"Leflore Satellite Facility","102","95","100","99","98","","98"
"Madison Satellite Facility","102","99","96","97","98","","99"
"Noxubee Satellite Facility","92","89","92","92","91","","89"
"Pike Satellite Facility","93","85","88","89","92","","89"
"Quitman Satellite Facility","93","83","86","88","89","","87"
"Rankin Satellite Facility","228","219","224","224","224","","220"
"Simpson Satellite Facility","102","99","102","102","101","","100"
"Washington Satellite Facility","102","97","100","100","100","","100"
"Wilkinson Satellite Facility","102","94","98","101","101","","99"
"Yazoo Satellite Facility","102","92","97","101","100","","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,071","3,077","3,084","3,079","","3,080"
"Bolivar County","294","293","294","293","294","","293"
"Carroll County","280","276","279","281","281","","279"
"George County","280","277","277","277","277","","278"
"Holmes County","280","279","279","280","279","","280"
"Issaquena County","274","274","272","276","273","","274"
"Jefferson County","280","276","279","280","278","","279"
"Kemper County","280","280","280","280","280","","280"
"Leake County","280","279","278","279","280","","279"
"Marion County","280","280","280","280","280","","280"
"Stone County","280","278","279","278","277","","279"
"Winston County","280","279","280","280","280","","280"
"PRIVATE PRISONS","4,972","4,789","4,788","4,792","4,793","","4,779"
"Delta","972","970","971","971","970","","971"
"East Mississippi","1,000","888","887","889","889","","888"
"Marshall County","1,000","995","992","992","995","","994"
"Tallahatchie County","0","0","0","0","0","","0"
"Walnut Grove","1,000","940","946","949","944","","932"
"Wilkinson County","1,000","996","992","991","995","","995"
"RESTITUTION CENTERS","16","13","13","13","13","","12"
"Greenwood","6","5","5","5","5","","6"
"Hinds","6","5","5","5","5","","3"
"Pascagoula","4","3","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","","62","12","9","9","","29"
"TOTALS","22,531","22,336","22,332","22,334","22,331","","22,305"
"","","28-Oct-07","29-Oct-07","30-Oct-07","31-Oct-07","",""
