"Location","Capacity","1-Jun-10","2-Jun-10","3-Jun-10","4-Jun-10","5-Jun-10","6-Jun-10","7-Jun-10","8-Jun-10","9-Jun-10"
"Mississippi State Penitentiary","4,435","3,548","3,526","3,534","3,520","3,517","3,517","3,516","3,510","3,501"
"Central Mississippi Correctional Facility","3,449","3,257","3,262","3,236","3,215","3,211","3,209","3,222","3,209","3,227"
"South Mississippi Correctional Institution","3,204","3,134","3,133","3,138","3,150","3,145","3,145","3,154","3,162","3,174"
"County Jails","1,492","1,492","1,507","1,503","1,503","1,503","1,503","1,515","1,525","1,539"
"COMMUNITY WORK CENTERS","1,848","1,581","1,582","1,588","1,574","1,573","1,571","1,609","1,575","1,571"
"Alcorn Satellite Facility","92","77","77","76","71","71","70","73","69","69"
"Bolivar Satellite Facility","102","72","72","84","83","83","83","83","81","81"
"Forrest Satellite Facility","96","79","79","79","77","76","76","75","71","70"
"George Satellite Facility","102","80","79","77","74","74","74","80","78","78"
"Harrison Satellite Facility","102","74","75","75","72","72","72","72","72","72"
"Jackson Satellite Facility","102","78","78","78","79","79","79","83","83","83"
"Jefferson Satellite Facility","102","93","92","92","96","96","96","98","96","96"
"Leflore Satellite Facility","102","74","74","74","72","72","71","74","75","75"
"Madison Satellite Facility","102","99","99","100","97","97","97","99","96","96"
"Noxubee Satellite Facility","92","91","91","91","88","88","88","92","89","85"
"Pike Satellite Facility","93","85","85","84","85","85","85","88","88","89"
"Quitman Satellite Facility","93","78","80","81","85","85","85","85","85","84"
"Rankin Satellite Facility","260","236","235","234","236","236","236","239","235","236"
"Simpson Satellite Facility","102","100","99","99","98","98","98","102","100","96"
"Washington Satellite Facility","102","84","80","79","80","80","80","83","79","78"
"Wilkinson Satellite Facility","102","90","92","91","91","91","91","93","92","92"
"Yazoo Satellite Facility","102","91","95","94","90","90","90","90","86","91"
"REGIONAL CORRECTIONAL FACILITIES","3,138","2,522","2,522","2,528","2,530","2,525","2,525","2,529","2,527","2,531"
"Bolivar County","294","231","230","234","234","234","234","234","233","233"
"Carroll County","280","224","223","223","223","223","223","223","224","224"
"George County","280","221","223","223","224","224","224","223","224","224"
"Holmes County","280","224","224","224","224","224","224","224","223","224"
"Issaquena County","274","218","218","219","221","219","219","218","217","218"
"Jefferson County","280","224","224","224","224","224","224","224","223","224"
"Kemper County","330","284","284","284","281","280","280","285","286","285"
"Leake County","280","225","224","224","225","225","225","225","224","225"
"Marion County","280","224","223","223","224","224","224","224","224","224"
"Stone County","280","224","225","225","225","223","223","224","224","224"
"Winston County","280","223","224","225","225","225","225","225","225","226"
"PRIVATE PRISONS","5,972","5,304","5,307","5,307","5,301","5,299","5,298","5,297","5,297","5,296"
"Delta","972","900","898","901","901","901","901","901","901","900"
"East Mississippi","1,500","1,357","1,357","1,359","1,370","1,369","1,368","1,371","1,368","1,367"
"Marshall County","1,000","902","900","897","900","900","900","899","895","899"
"Walnut Grove","1,500","1,195","1,200","1,200","1,177","1,176","1,176","1,175","1,181","1,180"
"Wilkinson County","1,000","950","952","950","953","953","953","951","952","950"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","7"
"Greenwood","6","3","3","3","3","3","3","3","3","2"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","9","10","7","53","54","53","8","11","10"
"TOTALS","23,560","20,861","20,863","20,855","20,860","20,841","20,835","20,864","20,830","20,862"
"","","1-Jun-10","2-Jun-10","3-Jun-10","4-Jun-10","5-Jun-10","6-Jun-10","7-Jun-10","8-Jun-10","9-Jun-10"
