"Location","Capacity","1-Mar-02","2-Mar-02","3-Mar-02","4-Mar-02","5-Mar-02","6-Mar-02","7-Mar-02","8-Mar-02","9-Mar-02","10-Mar-02"
"MS STATE PENITENTIARY","5,551","5,288","5,285","5,284","5,295","5,285","5,286","5,287","5,278","5,278","5,275"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,927","2,927","2,925","2,914","2,934","2,936","2,930","2,930","2,930","2,929"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,007","2,007","2,007","2,003","1,996","1,996","2,013","2,010","2,010","2,010"
"COUNTY JAILS","2,137","1,597","1,599","1,599","1,605","1,613","1,605","1,625","1,611","1,613","1,613"
"COMMUNITY WORK CENTERS","1,328","1,243","1,243","1,243","1,274","1,272","1,273","1,274","1,242","1,242","1,242"
"Alcorn Satellite Facility","75","72","72","72","72","71","74","73","67","67","67"
"Bolivar Satellite Facility","75","72","72","72","73","73","73","73","72","72","72"
"Forrest Satellite Facility","75","72","72","72","74","74","74","74","73","73","73"
"George Satellite Facility","75","73","73","73","74","74","72","71","74","74","74"
"Harrison Satellite Facility","75","73","73","73","75","75","75","75","73","73","73"
"Jackson Satellite Facility","75","71","71","71","75","74","74","75","73","73","73"
"Jefferson Satellite Facility","75","66","66","66","70","70","70","73","70","70","70"
"Leflore Satellite Facility","75","73","73","73","74","74","74","74","71","71","71"
"Madison Satellite Facility","75","73","73","73","72","71","71","70","68","68","68"
"Noxubee Satellite Facility","75","72","72","72","74","74","73","73","71","71","71"
"Pike Satellite Facility","75","65","65","65","65","67","67","67","64","64","64"
"Quitman Satellite Facility","75","64","64","64","63","63","65","65","62","62","62"
"Rankin Satellite Facility","128","114","114","114","117","117","116","116","115","115","115"
"Simpson Satellite Facility","75","70","70","70","74","72","72","72","70","70","70"
"Washington Satellite Facility","75","69","69","69","74","75","75","75","74","74","74"
"Wilikinson Satellite Facility","75","70","70","70","75","75","75","75","73","73","73"
"Yazoo Satellite Facility","75","74","74","74","73","73","73","73","72","72","72"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,997","1,995","1,994","1,989","1,988","1,986","1,982","1,996","1,995","1,995"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","218","217","217","217","217","217","214","214","214","214"
"Holmes County","250","219","219","219","219","219","218","218","218","217","217"
"Issaquena County","250","218","217","217","214","214","213","214","218","218","218"
"Jefferson County","250","230","230","230","230","231","231","230","230","230","230"
"Kemper County","250","246","246","246","246","245","245","244","244","244","244"
"Leake County","250","216","216","216","216","216","216","216","218","218","218"
"Marion County","250","218","218","218","216","215","215","215","219","219","219"
"Stone County","250","217","217","217","217","217","217","217","217","217","217"
"Winston County","250","215","215","214","214","214","214","214","218","218","218"
"PRIVATE PRISONS","3,900","3,555","3,555","3,553","3,556","3,557","3,556","3,561","3,566","3,566","3,565"
"Delta","1,000","857","857","857","857","857","855","853","859","860","860"
"East MS","500","496","496","496","495","495","497","497","497","496","496"
"Marshall County","1,000","884","884","884","884","887","887","886","886","886","886"
"Walnut Grove","500","439","439","438","442","442","442","450","449","449","448"
"Wilkinson County","900","879","879","878","878","876","875","875","875","875","875"
"RESITITUTION CENTERS","24","15","15","15","15","15","15","15","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","3","3","3"
"Hinds","12","9","9","9","9","9","9","9","7","7","7"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","6","6","6","6","6","6","6"
"TOTALS","20,709","18,634","18,631","18,625","18,657","18,666","18,659","18,693","18,651","18,652","18,647"
