"Location","Capacity","28-Jul-11","29-Jul-11","30-Jul-11","31-Jul-11","Avg Population"
"Mississippi State Penitentiary","3,356","3,099","3,083","3,083","3,080","3,093"
"Central Mississippi Correctional Facility","3,449","3,222","3,219","3,212","3,211","3,258"
"South Mississippi Correctional Institution","3,204","3,134","3,143","3,143","3,143","3,134"
"County Jails","1,629","1,924","1,924","1,924","1,924","1,833"
"COMMUNITY WORK CENTERS","1,848","1,563","1,572","1,568","1,565","1,568"
"Alcorn Satellite Facility","92","79","79","79","79","83"
"Bolivar Satellite Facility","102","68","73","73","73","77"
"Forrest Satellite Facility","96","89","86","85","85","86"
"George Satellite Facility","102","84","84","83","83","81"
"Harrison Satellite Facility","102","88","92","91","91","87"
"Jackson Satellite Facility","102","89","92","92","91","88"
"Jefferson Satellite Facility","102","77","82","82","82","80"
"Leflore Satellite Facility","102","89","90","90","90","87"
"Madison Satellite Facility","102","94","98","98","98","93"
"Noxubee Satellite Facility","92","89","88","88","88","88"
"Pike Satellite Facility","93","93","91","91","91","87"
"Quitman Satellite Facility","93","84","82","81","81","87"
"Rankin Satellite Facility","260","198","197","197","196","197"
"Simpson Satellite Facility","102","96","95","95","95","95"
"Washington Satellite Facility","102","87","85","85","85","91"
"Wilkinson Satellite Facility","102","75","74","74","73","76"
"Yazoo Satellite Facility","102","84","84","84","84","87"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,270","3,274","3,272","3,267","3,273"
"Alcorn County","300","251","251","251","251","249"
"Bolivar County","294","234","235","234","234","235"
"Carroll County","280","224","224","224","223","224"
"Chickasaw County","300","248","247","247","247","248"
"George County","280","222","223","223","223","223"
"Holmes County","280","223","223","223","223","223"
"Issaquena County","274","219","220","220","219","219"
"Jefferson County","280","223","223","223","222","223"
"Kemper County","355","284","281","281","281","284"
"Leake County","280","224","226","225","225","224"
"Marion County","280","224","224","224","223","224"
"Stone County","280","224","224","224","224","224"
"Winston County","280","223","223","223","223","224"
"Yazoo County","300","247","250","250","249","251"
"PRIVATE PRISONS","5,972","5,141","5,138","5,134","5,131","5,116"
"Delta","972","900","902","900","900","899"
"East Mississippi","1,500","1,352","1,350","1,350","1,349","1,349"
"Marshall County","1,000","998","1,000","999","999","998"
"Walnut Grove","1,500","1,000","995","995","994","982"
"Wilkinson County","1,000","891","891","890","889","887"
"RESTITUTION CENTERS","16","9","9","9","9","10"
"Greenwood","6","6","6","6","6","6"
"Hinds","6","3","3","3","3","4"
"Pascagoula","4","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","5","28","31","32","15"
"TOTALS","23,543","21,372","21,395","21,381","21,367","21,304"
"","","28-Jul-11","29-Jul-11","30-Jul-11","31-Jul-11",""
