"Location","Capacity","1-Jun-12","2-Jun-12","3-Jun-12","4-Jun-12","5-Jun-12","6-Jun-12","7-Jun-12","8-Jun-12","9-Jun-12"
"Mississippi State Penitentiary","4,648","3,306","3,303","3,304","3,299","3,298","3,296","3,289","3,293","3,289"
"Central Mississippi Correctional Facility","3,665","3,077","3,075","3,075","3,104","3,091","3,111","3,144","3,158","3,158"
"South Mississippi Correctional Institution","3,282","3,165","3,165","3,162","3,165","3,167","3,179","3,177","3,179","3,180"
"County Jails","1,678","2,140","2,140","2,140","2,098","2,082","2,065","2,035","2,056","2,056"
"COMMUNITY WORK CENTERS","1,848","1,544","1,542","1,540","1,605","1,609","1,619","1,619","1,594","1,591"
"Alcorn Satellite Facility","92","90","90","90","90","91","91","91","90","90"
"Bolivar Satellite Facility","102","84","84","83","86","86","87","86","86","86"
"Forrest Satellite Facility","96","75","75","75","75","75","75","74","73","71"
"George Satellite Facility","102","92","92","92","92","92","92","92","89","89"
"Harrison Satellite Facility","102","80","80","80","84","84","84","84","81","81"
"Jackson Satellite Facility","102","81","81","81","84","83","83","83","81","81"
"Jefferson Satellite Facility","102","79","79","79","81","81","81","81","80","80"
"Leflore Satellite Facility","102","86","86","87","88","88","87","86","85","85"
"Madison Satellite Facility","102","90","90","90","90","89","96","98","97","97"
"Noxubee Satellite Facility","92","74","73","72","79","79","80","79","76","76"
"Pike Satellite Facility","93","92","92","92","92","93","93","93","90","90"
"Quitman Satellite Facility","93","90","89","88","87","87","88","90","89","88"
"Rankin Satellite Facility","260","194","194","194","228","232","232","232","230","230"
"Simpson Satellite Facility","102","95","95","95","100","100","100","99","97","97"
"Washington Satellite Facility","102","78","78","78","79","79","77","78","75","75"
"Wilkinson Satellite Facility","102","86","86","86","88","88","88","88","86","86"
"Yazoo Satellite Facility","102","78","78","78","82","82","85","85","89","89"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,288","4,286","4,285","4,282","4,318","4,318","4,360","4,349","4,348"
"Alcorn County","300","300","300","300","299","299","299","301","298","298"
"Bolivar County","369","293","293","293","294","331","331","368","368","368"
"Carroll County","280","279","279","279","279","279","278","279","279","279"
"Chickasaw County","300","300","299","299","299","297","296","299","299","299"
"George County","280","280","280","280","278","278","280","280","277","277"
"Holmes County","280","280","280","280","280","280","280","280","279","279"
"Issaquena County","274","275","275","274","275","274","274","274","274","274"
"Jefferson County","280","279","279","279","279","280","280","279","278","278"
"Kemper County","355","340","339","339","338","339","338","338","339","339"
"Leake County","280","279","279","279","279","279","280","280","280","280"
"Marion County","280","280","280","280","280","280","280","280","279","279"
"Stone County","280","279","279","279","279","279","280","280","280","280"
"Washington County","300","243","243","243","242","242","242","242","241","240"
"Winston County","280","281","281","281","281","281","280","280","278","278"
"Yazoo County","300","300","300","300","300","300","300","300","300","300"
"PRIVATE PRISONS","5,972","4,299","4,297","4,295","4,289","4,297","4,302","4,304","4,298","4,297"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,363","1,363","1,362","1,358","1,359","1,364","1,364","1,362","1,362"
"Marshall County","1,000","983","981","981","981","981","980","980","980","979"
"Walnut Grove","1,500","1,047","1,047","1,046","1,044","1,050","1,053","1,055","1,056","1,056"
"Wilkinson County","1,000","906","906","906","906","907","905","905","900","900"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","11","11","11"
"Greenwood","6","5","5","5","5","5","5","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","45","46","45","7","8","6","3","29","28"
"TOTALS","25,553","21,876","21,866","21,858","21,861","21,882","21,908","21,942","21,967","21,958"
