"Location","Capacity","12-Jun-14","13-Jun-14","14-Jun-14","15-Jun-14","16-Jun-14","17-Jun-14","18-Jun-14","19-Jun-14","20-Jun-14","21-Jun-14"
"Mississippi State Penitentiary","4,648","3,323","3,329","3,330","3,330","3,327","3,333","3,348","3,356","3,349","3,346"
"Central Mississippi Correctional Facility","3,665","2,710","2,673","2,683","2,683","2,685","2,688","2,684","2,675","2,652","2,653"
"Youthful Offender Unit","42","40","40","40","40","41","41","41","41","42","42"
"South Mississippi Correctional Institution","3,282","3,171","3,167","3,167","3,169","3,165","3,168","3,166","3,162","3,184","3,182"
"County Jails","2,020","1,647","1,760","1,762","1,760","1,729","1,733","1,731","1,725","1,735","1,735"
"COMMUNITY WORK CENTERS","1,848","1,148","1,128","1,125","1,125","1,129","1,122","1,122","1,121","1,120","1,118"
"Alcorn Satellite Facility","92","90","87","87","87","85","87","87","87","87","86"
"Bolivar Satellite Facility","102","43","42","41","41","40","39","39","40","40","40"
"Forrest Satellite Facility","96","50","52","52","52","51","50","50","47","49","49"
"George Satellite Facility","102","60","63","63","63","61","60","60","59","60","60"
"Harrison Satellite Facility","102","61","59","59","59","58","58","56","55","55","55"
"Jackson Satellite Facility","102","49","47","47","47","49","48","48","48","46","46"
"Jefferson Satellite Facility","102","53","50","49","49","50","48","47","48","51","51"
"Leflore Satellite Facility","102","54","52","51","51","51","51","49","50","51","51"
"Madison Satellite Facility","102","56","54","54","54","54","56","56","56","55","55"
"Noxubee Satellite Facility","92","71","67","67","67","71","71","78","77","76","76"
"Pike Satellite Facility","93","70","70","70","70","70","71","72","74","73","73"
"Quitman Satellite Facility","93","69","74","74","74","76","73","72","69","69","69"
"Rankin Satellite Facility","260","191","184","184","184","187","187","187","189","188","188"
"Simpson Satellite Facility","102","99","96","96","96","96","95","94","96","93","93"
"Washington Satellite Facility","102","47","47","47","47","46","45","45","45","47","47"
"Wilkinson Satellite Facility","102","38","36","36","36","38","38","38","37","37","37"
"Yazoo Satellite Facility","102","47","48","48","48","46","45","44","44","43","42"
"REGIONAL CORRECTIONAL FACILITIES","4,560","4,402","4,395","4,391","4,391","4,400","4,392","4,397","4,410","4,392","4,389"
"Alcorn County","360","301","300","298","298","298","297","297","297","294","294"
"Bolivar County","369","368","366","366","366","366","366","365","361","359","359"
"Carroll County","280","279","279","279","279","280","280","280","280","277","276"
"Chickasaw County","362","300","300","299","299","300","300","300","300","299","299"
"George County","280","279","279","278","278","276","279","277","278","280","280"
"Holmes County","280","279","277","277","277","279","279","280","279","279","279"
"Issaquena County","274","272","272","272","272","274","274","274","275","271","271"
"Jefferson County","280","279","277","277","277","275","275","275","278","277","277"
"Kemper County","355","355","354","354","354","352","351","353","353","351","350"
"Leake County","280","274","277","277","277","277","271","270","277","274","274"
"Marion County","280","280","280","280","280","279","279","280","280","282","281"
"Stone County","280","279","279","279","279","280","280","280","279","278","278"
"Washington County","300","280","280","280","280","291","291","290","295","295","295"
"Winston County","280","279","278","278","278","277","276","277","279","279","279"
"Yazoo County","300","298","297","297","297","296","294","299","299","297","297"
"PRIVATE PRISONS","5000","4296","4301","4297","4297","4291","4293","4289","4284","4283","4279"
"East Mississippi","1,500","1,201","1,199","1,197","1,197","1,197","1,198","1,198","1,198","1,203","1,203"
"Marshall County","1,000","999","1,000","1000","1,000","998","998","996","996","999","997"
"Walnut Grove","1,500","1,240","1,248","1,246","1,246","1,242","1,246","1,244","1,241","1,237","1,235"
"Wilkinson County","1,000","856","854","854","854","854","851","851","849","844","844"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13","12"
"Greenwood","6","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2"
"TOTALS","25,081","20,750","20,806","20,808","20,808","20,780","20,783","20,791","20,787","20,770","20,756"
