"Location","Capacity","27-Jul-03","28-Jul-03","29-Jul-03","30-Jul-03","31-Jul-03"
"MS STATE PENITENTIARY","5,768","5,682","5,678","5,680","5,710","5,694"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,183","3,204","3,195","3,191","3,191"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,152","2,149","2,145","2,143","2,152"
"COUNTY JAILS","2,176","1,974","1,972","1,982","1,969","1,961"
"COMMUNITY WORK CENTERS","1,816","1,344","1,391","1,388","1,392","1,398"
"Alcorn Satellite Facility","92","84","85","85","85","85"
"Bolivar Satellite Facility","102","64","67","66","66","66"
"Forrest Satellite Facility","96","72","75","75","75","75"
"George Satellite Facility","102","86","90","89","89","87"
"Harrison Satellite Facility","102","69","73","73","74","73"
"Jackson Satellite Facility","102","69","72","72","72","72"
"Jefferson Satellite Facility","102","77","77","77","77","77"
"Leflore Satellite Facility","102","84","88","88","88","88"
"Madison Satellite Facility","102","88","95","97","97","97"
"Noxubee Satellite Facility","92","66","69","69","75","75"
"Pike Satellite Facility","93","51","53","53","53","53"
"Quitman Satellite Facility","93","62","64","62","62","62"
"Rankin Satellite Facility","228","163","166","168","167","177"
"Simpson Satellite Facility","102","79","82","79","80","80"
"Washington Satellite Facility","102","83","85","85","84","84"
"Wilkinson Satellite Facility","102","61","62","62","60","59"
"Yazoo Satellite Facility","102","86","88","88","88","88"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,581","2,582","2,586","2,583","2,579"
"Bolivar County","250","236","236","236","236","235"
"Carroll County","250","234","234","235","234","234"
"George County (opened on May 10th)","250","234","235","235","235","235"
"Holmes County","250","235","234","234","235","235"
"Issaquena County","250","235","235","236","235","234"
"Jefferson County","250","235","235","235","234","234"
"Kemper County","250","235","235","235","234","234"
"Leake County","250","235","235","235","235","235"
"Marion County","250","235","235","235","235","234"
"Stone County","250","234","235","236","236","236"
"Winston County","250","233","233","234","234","233"
"PRIVATE PRISONS","3,750","3,448","3,448","3,457","3,455","3,463"
"East MS","1,000","727","727","729","728","728"
"Marshall County","1,000","994","991","995","995","994"
"Walnut Grove","750","736","739","738","738","748"
"Wilkinson County","1,000","991","991","995","994","993"
"RESITITUTION CENTERS","24","16","16","16","16","16"
"Greenwood","6","5","5","5","5","5"
"Hinds","12","8","8","8","8","8"
"Pascagoula","6","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","6","6","6","6"
"E-CODE","","49","4","5","6","6"
"TOTALS","21,737","20,434","20,450","20,460","20,471","20,466"
