"Location","Capacity","19-Dec-10","20-Dec-10","21-Dec-10","22-Dec-10","23-Dec-10","24-Dec-10","25-Dec-10","26-Dec-10","27-Dec-10"
"Mississippi State Penitentiary","4,435","3,252","3,262","3,257","3,264","3,270","3,266","3,266","3,264","3,261"
"Central Mississippi Correctional Facility","3,449","3,213","3,239","3,220","3,214","3,217","3,217","3,218","3,216","3,215"
"South Mississippi Correctional Institution","3,204","3,177","3,175","3,186","3,179","3,185","3,183","3,183","3,182","3,181"
"County Jails","1,543","1,664","1,663","1,643","1,644","1,655","1,653","1,653","1,653","1,653"
"COMMUNITY WORK CENTERS","1,848","1,585","1,568","1,547","1,545","1,537","1,537","1,535","1,535","1,534"
"Alcorn Satellite Facility","92","80","79","79","79","78","78","78","78","78"
"Bolivar Satellite Facility","102","83","83","81","81","81","81","81","81","81"
"Forrest Satellite Facility","96","73","72","71","73","72","72","72","72","71"
"George Satellite Facility","102","86","86","85","84","84","84","84","84","84"
"Harrison Satellite Facility","102","75","75","75","73","73","73","73","73","73"
"Jackson Satellite Facility","102","84","84","82","81","81","81","81","81","81"
"Jefferson Satellite Facility","102","97","97","93","93","93","93","93","93","93"
"Leflore Satellite Facility","102","83","82","80","80","80","80","79","79","79"
"Madison Satellite Facility","102","101","96","99","99","98","98","98","98","98"
"Noxubee Satellite Facility","92","92","91","90","90","90","90","90","90","90"
"Pike Satellite Facility","93","86","84","84","84","82","81","81","81","81"
"Quitman Satellite Facility","93","67","71","71","71","71","71","71","71","71"
"Rankin Satellite Facility","260","217","214","208","203","200","201","200","200","200"
"Simpson Satellite Facility","102","101","101","95","95","95","95","95","95","95"
"Washington Satellite Facility","102","84","84","84","89","89","89","89","89","89"
"Wilkinson Satellite Facility","102","84","81","85","85","85","85","85","85","85"
"Yazoo Satellite Facility","102","92","88","85","85","85","85","85","85","85"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,000","3,000","3,004","3,006","3,010","3,009","3,007","3,007","3,005"
"Bolivar County","294","235","234","234","234","234","234","234","234","234"
"Carroll County","280","223","222","222","224","223","223","223","223","223"
"Chickasaw County","300","236","235","239","238","238","238","238","238","238"
"George County","280","224","224","224","224","225","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","218","222","219","217","217","217","216","216","216"
"Jefferson County","280","223","222","223","224","225","225","225","225","224"
"Kemper County","355","284","284","285","284","284","284","284","284","284"
"Leake County","280","225","226","226","227","229","229","228","228","227"
"Marion County","280","224","224","224","223","224","224","224","224","224"
"Stone County","280","221","222","221","223","223","223","223","223","223"
"Winston County","280","222","220","223","223","223","223","223","223","223"
"Yazoo County","300","241","241","240","241","241","241","241","241","241"
"PRIVATE PRISONS","5,972","5,240","5,235","5,250","5,256","5,257","5,255","5,254","5,253","5,249"
"Delta","972","900","899","902","902","900","900","900","899","899"
"East Mississippi","1,500","1,359","1,359","1,361","1,364","1,368","1,367","1,367","1,367","1,366"
"Marshall County","1,000","903","903","903","903","900","900","900","900","900"
"Walnut Grove","1,500","1,195","1,187","1,197","1,200","1,202","1,201","1,200","1,200","1,198"
"Wilkinson County","1,000","883","887","887","887","887","887","887","887","886"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","8"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","15","12","14","15","12","11","8","9","9"
"TOTALS","24,236","21,159","21,167","21,134","21,136","21,156","21,144","21,137","21,132","21,120"
"","","19-Dec-10","20-Dec-10","21-Dec-10","22-Dec-10","23-Dec-10","24-Dec-10","25-Dec-10","26-Dec-10","27-Dec-10"
