"Location","Capacity","1-Oct-02","2-Oct-02","3-Oct-02","4-Oct-02","5-Oct-02","6-Oct-02","7-Oct-02","8-Oct-02","9-Oct-02","10-Oct-02"
"MS STATE PENITENTIARY","5,551","5,330","5,328","5,338","5,341","5,339","5,337","5,330","5,321","5,320","5,328"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,993","3,010","3,012","3,037","3,036","3,037","3,063","3,082","3,105","3,111"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,031","2,027","2,032","2,030","2,028","2,029","2,030","2,028","1,982","1,947"
"COUNTY JAILS","2,113","1,894","1,866","1,853","1,836","1,836","1,836","1,814","1,807","1,813","1,804"
"COMMUNITY WORK CENTERS","1,350","1,293","1,306","1,306","1,256","1,256","1,257","1,296","1,301","1,296","1,299"
"Alcorn Satellite Facility","75","71","72","73","71","71","71","73","73","73","73"
"Bolivar Satellite Facility","75","72","72","72","72","72","72","71","75","74","74"
"Forrest Satellite Facility","75","74","74","74","69","69","69","74","74","72","72"
"George Satellite Facility","75","74","74","74","71","71","71","73","73","73","73"
"Harrison Satellite Facility","75","71","71","70","68","68","68","70","71","71","75"
"Jackson Satellite Facility","75","75","75","75","69","69","69","74","74","74","74"
"Jefferson Satellite Facility","75","75","75","75","75","75","75","75","72","71","72"
"Leflore Satellite Facility","75","67","74","74","74","74","74","75","74","74","74"
"Madison Satellite Facility","75","75","75","75","73","73","73","74","75","75","75"
"Noxubee Satellite Facility","75","72","72","72","66","66","66","71","71","72","72"
"Pike Satellite Facility","75","69","74","74","72","72","72","71","72","71","71"
"Quitman Satellite Facility","75","66","66","66","65","65","65","65","68","67","67"
"Rankin Satellite Facility","150","140","140","140","135","135","136","137","137","138","138"
"Simpson Satellite Facility","75","72","73","73","72","72","72","74","74","74","73"
"Washington Satellite Facility","75","72","71","71","65","65","65","72","72","72","72"
"Wilkinson Satellite Facility","75","73","73","73","71","71","71","72","72","72","72"
"Yazoo Satellite Facility","75","75","75","75","68","68","68","75","74","73","72"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,145","2,169","2,198","2,228","2,226","2,226","2,305","2,333","2,397","2,428"
"Bolivar County (re-opened 10-07-02)","250","0","0","0","0","0","0","35","67","115","149"
"Carroll County","250","227","225","226","228","228","228","227","226","228","227"
"George County (opened on May 10th)","250","201","200","200","201","200","200","227","227","228","227"
"Holmes County","250","227","227","227","227","227","227","227","226","227","227"
"Issaquena County","250","202","203","203","230","230","230","230","227","226","225"
"Jefferson County","250","228","226","227","228","228","228","227","227","229","229"
"Kemper County","250","201","201","228","228","228","228","228","229","229","229"
"Leake County","250","202","230","230","230","230","230","230","230","230","230"
"Marion County","250","229","229","229","229","229","229","229","229","229","228"
"Stone County","250","227","227","227","226","226","226","227","227","228","229"
"Winston County","250","201","201","201","201","200","200","218","218","228","228"
"PRIVATE PRISONS","4,750","3,629","3,610","3,582","3,539","3,539","3,538","3,452","3,439","3,404","3,401"
"Delta (closed 10-09-02)","1,000","229","201","173","134","135","135","51","50","0","0"
"East MS","1,000","712","711","712","711","711","711","709","709","708","707"
"Marshall County","1,000","995","994","994","993","993","992","997","992","995","993"
"Walnut Grove","750","705","711","710","709","709","709","707","707","712","712"
"Wilkinson County","1,000","988","993","993","992","991","991","988","981","989","989"
"RESITITUTION CENTERS","24","12","12","12","9","9","9","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","12","7","7","7","4","4","4","7","7","7","7"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5"
"TOTALS","21,857","19,332","19,333","19,338","19,281","19,274","19,274","19,307","19,328","19,334","19,335"
