"Location","Capacity","19-Sep-10","20-Sep-10","21-Sep-10","22-Sep-10","23-Sep-10","24-Sep-10","25-Sep-10","26-Sep-10","27-Sep-10"
"Mississippi State Penitentiary","4,435","3,382","3,352","3,350","3,312","3,303","3,257","3,258","3,257","3,227"
"Central Mississippi Correctional Facility","3,449","3,097","3,136","3,124","3,142","3,132","3,078","3,078","3,078","3,085"
"South Mississippi Correctional Institution","3,204","3,168","3,155","3,168","3,177","3,173","3,175","3,173","3,172","3,168"
"County Jails","1,483","1,707","1,697","1,686","1,673","1,679","1,724","1,724","1,724","1,696"
"COMMUNITY WORK CENTERS","1,848","1,523","1,567","1,560","1,548","1,521","1,478","1,477","1,477","1,520"
"Alcorn Satellite Facility","92","73","73","73","73","71","71","71","71","71"
"Bolivar Satellite Facility","102","79","78","78","78","78","75","75","75","78"
"Forrest Satellite Facility","96","64","64","65","65","63","65","65","65","69"
"George Satellite Facility","102","89","92","92","92","91","89","89","89","91"
"Harrison Satellite Facility","102","83","91","91","89","86","84","84","84","86"
"Jackson Satellite Facility","102","76","77","77","78","77","68","68","68","77"
"Jefferson Satellite Facility","102","74","78","78","78","78","80","80","80","81"
"Leflore Satellite Facility","102","81","86","86","85","83","75","75","75","83"
"Madison Satellite Facility","102","95","94","94","92","90","92","92","92","92"
"Noxubee Satellite Facility","92","84","90","87","85","85","79","79","79","85"
"Pike Satellite Facility","93","86","86","84","84","82","79","79","79","79"
"Quitman Satellite Facility","93","78","79","82","82","81","81","81","81","82"
"Rankin Satellite Facility","260","224","227","228","224","221","217","217","217","218"
"Simpson Satellite Facility","102","90","96","95","94","93","90","90","90","93"
"Washington Satellite Facility","102","78","83","83","83","81","77","77","77","79"
"Wilkinson Satellite Facility","102","71","73","70","70","66","65","65","65","66"
"Yazoo Satellite Facility","102","98","100","97","96","95","91","90","90","90"
"REGIONAL CORRECTIONAL FACILITIES","3,463","2,685","2,738","2,811","2,859","2,902","2,960","2,957","2,957","3,005"
"Bolivar County","294","235","235","235","235","234","234","233","233","233"
"Carroll County","280","223","224","224","224","223","224","224","224","224"
"Chickasaw County","300","90","139","139","190","188","238","238","238","238"
"George County","280","225","225","225","224","224","224","224","224","224"
"Holmes County","280","223","224","222","223","223","225","224","224","224"
"Issaquena County","274","219","219","220","220","220","220","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","224","224","224"
"Kemper County","355","285","285","285","285","284","285","285","285","285"
"Leake County","280","225","225","225","224","224","225","225","225","225"
"Marion County","280","224","223","224","223","222","224","224","224","224"
"Stone County","280","222","222","224","223","223","224","224","224","223"
"Winston County","280","220","223","225","225","224","224","224","224","224"
"Yazoo County","300","70","70","139","139","189","189","189","189","238"
"PRIVATE PRISONS","5,972","5,322","5,303","5,286","5,287","5,285","5,279","5,276","5,275","5,271"
"Delta","972","901","902","901","901","901","901","901","901","900"
"East Mississippi","1,500","1,361","1,361","1,362","1,365","1,365","1,366","1,366","1,366","1,365"
"Marshall County","1,000","913","892","872","871","870","870","870","870","869"
"Walnut Grove","1,500","1,194","1,196","1,200","1,199","1,198","1,191","1,189","1,188","1,186"
"Wilkinson County","1,000","953","952","951","951","951","951","950","950","951"
"RESTITUTION CENTERS","16","9","8","8","7","7","6","6","6","7"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","3","3","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","1","1","1","2"
"GOVERNOR'S MANSION","6","6","6","5","5","5","5","5","5","5"
"E-CODE","0","53","17","13","9","9","62","62","61","9"
"TOTALS","23,876","20,952","20,979","21,011","21,019","21,016","21,024","21,016","21,012","20,993"
