"Location","Capacity","1-Oct-08","2-Oct-08","3-Oct-08","4-Oct-08","5-Oct-08","6-Oct-08","7-Oct-08","8-Oct-08","9-Oct-08"
"Mississippi State Penitentiary","4,627","4,033","4,038","4,034","4,031","4,031","4,043","4,051","3,998","4,016"
"Central Mississippi Correctional Facility","3,665","3,655","3,689","3,682","3,682","3,680","3,674","3,649","3,683","3,671"
"South Mississippi Correctional Institution","3,204","3,099","3,087","3,061","3,061","3,061","3,081","3,070","3,080","3,073"
"County Jails","1,808","2,217","2,200","2,208","2,208","2,208","2,181","2,193","2,185","2,179"
"COMMUNITY WORK CENTERS","1,848","1,803","1,808","1,748","1,744","1,740","1,797","1,807","1,807","1,815"
"Alcorn Satellite Facility","92","89","89","89","89","89","91","91","91","91"
"Bolivar Satellite Facility","102","99","101","98","98","98","101","101","100","100"
"Forrest Satellite Facility","96","96","95","90","90","90","95","93","93","95"
"George Satellite Facility","102","100","100","95","94","94","98","102","102","102"
"Harrison Satellite Facility","102","102","102","98","98","98","102","102","102","102"
"Jackson Satellite Facility","102","102","100","94","94","93","100","102","102","102"
"Jefferson Satellite Facility","102","97","97","98","98","98","99","98","100","100"
"Leflore Satellite Facility","102","98","100","95","95","96","100","100","101","99"
"Madison Satellite Facility","102","101","100","98","98","95","94","102","101","100"
"Noxubee Satellite Facility","92","91","92","88","88","88","92","92","91","91"
"Pike Satellite Facility","93","91","90","90","89","88","90","91","91","91"
"Quitman Satellite Facility","93","93","93","84","83","83","88","87","87","91"
"Rankin Satellite Facility","260","243","244","241","240","240","246","246","246","248"
"Simpson Satellite Facility","102","100","102","99","99","99","99","100","97","100"
"Washington Satellite Facility","102","100","102","93","93","93","102","102","101","101"
"Wilkinson Satellite Facility","102","100","100","98","98","98","99","97","100","101"
"Yazoo Satellite Facility","102","101","101","100","100","100","101","101","102","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,077","3,082","3,077","3,076","3,074","3,074","3,082","3,075","3,083"
"Bolivar County","294","293","292","292","292","292","293","294","293","294"
"Carroll County","280","279","279","280","280","279","277","277","278","281"
"George County","280","277","279","276","276","276","275","277","277","277"
"Holmes County","280","280","280","280","279","279","279","279","276","276"
"Issaquena County","274","271","274","273","273","273","274","274","274","275"
"Jefferson County","280","280","280","278","278","277","277","279","280","280"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","277","279","280","280","280","280","281","276","280"
"Marion County","280","281","281","281","281","281","281","281","281","281"
"Stone County","280","280","279","279","279","279","279","280","280","279"
"Winston County","280","279","279","278","278","278","279","280","280","280"
"PRIVATE PRISONS","5,972","5,056","5,058","5,083","5,079","5,078","5,082","5,095","5,137","5,156"
"Delta","972","972","971","971","971","970","970","970","970","970"
"East Mississippi","1,500","943","942","946","945","945","943","945","982","996"
"Marshall County","1,000","1,000","1,000","1,001","1,000","1,000","998","998","1,000","998"
"Walnut Grove","1,500","1,150","1,152","1,170","1,168","1,168","1,178","1,189","1,193","1,197"
"Wilkinson County","1,000","991","993","995","995","995","993","993","992","995"
"RESTITUTION CENTERS","16","14","15","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","3","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","7","8","67","66","65","8","9","9","0"
"TOTALS","24,234","22,967","22,991","22,982","22,969","22,959","22,962","22,978","22,996","23,015"
"","","1-Oct-08","2-Oct-08","3-Oct-08","4-Oct-08","5-Oct-08","6-Oct-08","7-Oct-08","8-Oct-08","9-Oct-08"
