"Location","Capacity","13-Feb-04","14-Feb-04","15-Feb-04","16-Feb-04","17-Feb-04","18-Feb-04","19-Feb-04","20-Feb-04","21-Feb-04","22-Feb-04","23-Feb-04","24-Feb-04"
"MS STATE PENITENTIARY","5,768","5,666","5,663","5,662","5,664","5,663","5,651","5,659","5,649","5,648","5,648","5,668","5,662"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,118","3,116","3,113","3,114","3,124","3,153","3,177","3,161","3,160","3,160","3,144","3,132"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,060","2,057","2,058","2,057","2,054","2,071","2,070","2,079","2,081","2,081","2,070","2,083"
"COUNTY JAILS","2,176","2,066","2,066","2,066","2,070","2,081","2,088","2,085","2,103","2,103","2,103","2,117","2,131"
"COMMUNITY WORK CENTERS","1,816","1,527","1,527","1,527","1,602","1,594","1,593","1,595","1,549","1,548","1,545","1,580","1,597"
"Alcorn Satellite Facility","92","82","82","82","91","91","91","91","90","90","90","91","91"
"Bolivar Satellite Facility","102","88","88","89","95","95","94","94","90","90","90","94","95"
"Forrest Satellite Facility","96","89","89","89","96","96","95","95","90","90","90","94","93"
"George Satellite Facility","102","69","69","69","76","76","76","75","72","72","72","72","72"
"Harrison Satellite Facility","102","85","85","85","87","87","86","85","81","81","81","85","91"
"Jackson Satellite Facility","102","76","76","75","76","77","77","76","76","76","75","73","73"
"Jefferson Satellite Facility","102","77","77","77","81","79","82","82","80","78","78","79","79"
"Leflore Satellite Facility","102","95","95","95","101","99","100","102","97","97","97","102","102"
"Madison Satellite Facility","102","99","99","99","102","102","102","102","100","100","100","101","101"
"Noxubee Satellite Facility","92","85","85","85","91","91","92","91","91","91","89","89","92"
"Pike Satellite Facility","93","55","55","55","55","55","55","55","53","53","53","55","56"
"Quitman Satellite Facility","93","77","77","77","81","79","82","82","81","81","81","82","82"
"Rankin Satellite Facility","228","193","193","193","200","200","200","205","201","201","202","208","208"
"Simpson Satellite Facility","102","97","97","97","100","99","97","97","90","91","90","93","93"
"Washington Satellite Facility","102","92","92","92","99","98","98","97","93","93","93","97","101"
"Wilkinson Satellite Facility","102","67","67","67","70","70","67","67","65","65","65","66","66"
"Yazoo Satellite Facility","102","101","101","101","101","100","99","99","99","99","99","99","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,743","2,743","2,741","2,737","2,743","2,740","2,741","2,740","2,740","2,740","2,742"
"Bolivar County","250","249","248","248","248","246","247","247","250","250","250","250","248"
"Carroll County","250","248","248","248","248","248","248","248","248","248","248","249","250"
"George County (opened on May 10th)","250","249","249","249","249","249","249","248","249","248","248","247","247"
"Holmes County","250","250","250","250","250","250","250","249","249","250","250","250","250"
"Issaquena County","250","248","248","248","246","244","250","250","249","249","249","249","250"
"Jefferson County","250","250","250","250","250","250","250","249","249","249","249","249","249"
"Kemper County","250","250","250","250","250","250","250","250","249","249","249","249","249"
"Leake County","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250","249","249","249","248","248","248","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","250","250","250","250","249","249","249","249","249"
"PRIVATE PRISONS","3,750","3,428","3,428","3,426","3,425","3,424","3,422","3,422","3,430","3,429","3,428","3,425","3,438"
"East MS","1,000","730","730","730","729","728","728","728","726","726","726","724","724"
"Marshall County","1,000","987","987","985","985","989","987","988","994","994","994","993","993"
"Walnut Grove","750","720","720","720","720","716","716","715","717","717","717","717","726"
"Wilkinson County","1,000","991","991","991","991","991","991","991","993","992","991","991","995"
"RESITITUTION CENTERS","24","12","12","12","13","13","14","14","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","82","84","84","5","6","7","6","58","57","55","0","8"
"TOTALS","21,737","20,708","20,701","20,696","20,696","20,701","20,747","20,773","20,789","20,785","20,779","20,763","20,812"
