"Location","Capacity","1-Mar-15","2-Mar-15","3-Mar-15","4-Mar-15","5-Mar-15","6-Mar-15","7-Mar-15","8-Mar-15","9-Mar-15"
"Mississippi State Penitentiary","4,648","3,102","3,111","3,107","3,104","3,101","3,091","3,087","3,087","3,091"
"MSP TVC","108","100","99","93","92","91","90","88","88","88"
"Central Mississippi Correctional Facility","3,469","2,355","2,368","2,376","2,378","2,383","2,357","2,354","2,354","2,352"
"Youthful Offender Unit","58","23","22","22","22","22","22","22","22","22"
"CMCF TVC","158","88","87","101","101","109","111","111","110","120"
"South Mississippi Correctional Institution","3,282","2,458","2,457","2,454","2,442","2,422","2,430","2,430","2,428","2,434"
"SMCI TVC","0","99","99","98","93","98","98","98","94","94"
"County Jails","1,995","1,487","1,513","1,513","1,560","1,552","1,552","1,552","1,548","1,570"
"COMMUNITY WORK CENTERS","1,848","1,027","1,042","1,043","1,054","1,057","1,039","1,038","1,038","1,052"
"Alcorn Satellite Facility","92","49","49","49","49","49","49","49","49","49"
"Bolivar Satellite Facility","102","52","52","52","52","51","50","50","50","50"
"Forrest Satellite Facility","96","43","45","45","46","48","47","47","47","50"
"George Satellite Facility","102","48","49","49","49","50","51","51","51","50"
"Harrison Satellite Facility","102","43","46","46","47","47","46","46","46","48"
"Jackson Satellite Facility","102","55","55","55","55","53","52","51","51","52"
"Jefferson Satellite Facility","102","46","45","45","45","44","43","43","43","44"
"Leflore Satellite Facility","102","47","47","46","45","45","44","44","44","46"
"Madison Satellite Facility","102","51","51","51","52","59","59","59","59","57"
"Noxubee Satellite Facility","92","60","61","61","60","60","56","56","56","60"
"Pike Satellite Facility","93","85","86","86","82","81","79","79","79","79"
"Quitman Satellite Facility","93","56","56","56","56","56","54","54","54","54"
"Rankin Satellite Facility","260","159","163","166","166","165","163","163","163","163"
"Simpson Satellite Facility","102","92","92","92","99","98","96","96","96","98"
"Washington Satellite Facility","102","46","45","44","52","52","52","52","52","52"
"Wilkinson Satellite Facility","102","48","51","51","51","51","53","53","53","52"
"Yazoo Satellite Facility","102","47","49","49","48","48","45","45","45","48"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,212","4,210","4,200","4,191","4,188","4,188","4,188","4,188","4,178"
"Alcorn County","300","300","300","300","300","300","300","300","300","300"
"Bolivar County","369","355","354","354","353","353","353","353","353","352"
"Carroll County","280","274","274","274","270","270","269","269","269","267"
"Chickasaw County","300","297","300","300","300","300","297","297","297","300"
"George County","280","262","259","259","259","259","260","260","260","260"
"Holmes County","280","266","266","264","265","264","262","262","262","263"
"Issaquena County","274","258","257","257","256","256","256","256","256","257"
"Jefferson County","280","262","262","261","266","266","265","265","265","266"
"Kemper County","355","334","338","336","337","338","338","338","338","336"
"Leake County","280","259","256","254","251","250","252","252","252","251"
"Marion County","280","269","269","269","267","266","265","265","265","263"
"Stone County","280","277","276","276","276","276","276","276","276","274"
"Washington County","300","252","252","252","252","252","256","256","256","252"
"Winston County","280","257","256","255","254","253","254","254","254","251"
"Yazoo County","300","290","291","289","285","285","285","285","285","286"
"PRIVATE PRISONS","5,972","3,949","3,948","3,963","3,973","3,969","3,978","3,978","3,978","3,979"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,176","1,176","1,181","1,181","1,179","1,183","1,183","1,183","1,181"
"Marshall County","1,000","994","994","994","992","991","991","991","991","991"
"Walnut Grove","1,500","893","892","902","914","915","921","921","921","924"
"Wilkinson County","1,000","886","886","886","886","884","883","883","883","883"
"RESTITUTION CENTERS","16","5","5","5","5","5","4","4","4","5"
"Greenwood","6","3","3","3","3","3","2","2","2","3"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,726","18,905","18,961","18,975","19,015","18,997","18,960","18,950","18,939","18,985"
